CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,County,ENROLL
80,6093,7018115,3787425,3435425,125000,227000,985824,397074,1410603,1021803,834264,0,0,0,105000,18.8,62000,169.6,51600,106,120000,6.3,Jersey City Global CS,Hudson,K. Charter,C,,,1,Hudson,424.0
80,6103,19554918,10515322,9984010,414880,116432,2617413,1812650,4120158,3338451,2302025,0,0,0,500000,12.3,65000,116.6,67500,129.6,97000,11.7,Empowerment Academy Charter School,Hudson,K. Charter,C,,,1,Hudson,1166.0
80,6105,13714646,7450763,6719053,355663,376047,1542939,1226473,3259879,1223066,1461065,0,0,0,19000,15.5,68900,167.6,71003,279.3,116000,19.7,Hudson Arts And Science  Charter School,Hudson,K. Charter,C,,,1,Hudson,838.0
80,6420,4328311,2746097,2635468,24634,85995,417846,164594,699168,447239,465200,0,0,0,0,10.4,64939,144,76789,144,125000,14.8,Elysian CS Of Hoboken,Hudson,K. Charter,C,,,1,Hudson,288.0
80,6720,5138835,2781606,2587506,74100,120000,355619,246779,900071,759489,1101538,0,0,0,0,13.5,62315,129.6,69039,59.6,108923,4.9,Hoboken CS,Hudson,K. Charter,C,,,1,Hudson,298.0
80,6910,9250677,5296473,5126473,85000,85000,1781761,1484261,1351980,862680,283500,0,0,0,62500,20.9,72435,36.6,68087,195,144375,14.7,Jersey City Comm. CS,Hudson,K. Charter,C,,,1,Hudson,585.0
80,6915,9229845,5090198,4445198,305000,340000,1370824,870824,1623661,1007661,1145162,0,0,0,3209053,17.7,57579,315,57087,126,122109,7.5,Jersey City Golden Door Charter School,Hudson,K. Charter,C,,,1,Hudson,630.0
80,7115,9266178,6141150,5506353,267000,367797,1145547,521047,1678231,1160369,301250,0,0,0,60000,13.3,62563,158,77388,316,144142,25.8,Learning Community CS,Hudson,K. Charter,C,,,1,Hudson,632.0
80,7830,4479934,2596440,2246440,180000,170000,566191,151191,780339,365339,536964,0,0,0,25000,17.1,93800,136.5,79575,,,,Soaring Heights CS,Hudson,K. Charter,C,,,1,Hudson,273.0
80,7898,1580473,822608,703542,11880,107186,0,0,675450,429066,0,0,0,0,0,5.5,54250,22,60000,22,110000,5,Kindle Education Public Charter,Hudson,K. Charter,C,,,1,Hudson,66.0
80,8060,9194852,5180039,4757589,115000,307450,1131557,726057,1458832,1266811,1424423,0,0,0,70400,11.7,69987,77.8,62176,70,111798,6.9,University Academy CS,Hudson,K. Charter,C,,,1,Hudson,420.0
80,6017,18470058,9124991,8493035,349284,282672,1908092,1260485,6036670,5220506,1400306,0,0,0,0,17.9,76850,97.6,72500,51.1,119025,3.4,Foundation Academy CS,Mercer,K. Charter,C,,,1,Mercer,1074.0
80,6025,7760324,4580558,3770692,264900,544966,908481,554946,1718223,1268701,553062,0,0,0,37500,11.7,67500,140.7,66950,211,98780,19.5,Paul Robeson Humanities  Charter School,Mercer,K. Charter,C,,,1,Mercer,422.0
80,6183,10521055,5066050,4536200,178100,351750,2742246,1847324,1776758,1347908,936000,0,0,0,0,29.3,61360,100,56000,75,120000,3.3,Trenton Stem-To-Civics CS,Mercer,K. Charter,C,,,1,Mercer,600.0
80,6810,1900285,1072473,950873,63000,58600,232182,134482,457930,389280,137700,0,0,0,0,11.7,61391,60,35000,45,66725,4.6,International Charter School,Mercer,K. Charter,C,,,1,Mercer,108.0
80,7500,7245401,4064224,3756574,173250,134400,911672,721872,1272006,1066756,997500,0,0,0,0,13,60900,227.5,56430,75.8,93450,6.2,Pace CS Of Hamilton,Mercer,K. Charter,C,,,1,Mercer,455.0
80,7540,7119146,4476079,4217849,142000,116230,804248,337288,1269591,938496,222615,0,0,0,5000,11,80000,424,85940,141.3,145000,13.1,Princeton CS,Mercer,K. Charter,C,,,1,Mercer,424.0
80,7895,8294705,4829333,4181330,323943,324060,1190788,701032,1582005,866318,677579,0,0,0,0,23.7,69000,64.3,65000,37.5,100320,2.2,Achievers Early College Prep Charter Sch,Mercer,K. Charter,C,,,1,Mercer,450.0
