GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,36645,0.635,0.221,0.139,0,0,0.005,8.9,86,129,0.2481
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,27352,0.53,0.33,0.079,0.003,0.055,0.003,10.2,105.7,63.4,0.1514
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,30063,0.554,0.339,0.106,0.001,0,0,9.3,153,76.5,0.2288
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,25376,0.478,0.459,0.063,0,0,0,4.6,41.5,83,0.1446
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,22976,0.638,0.29,0.072,0,0,0,10.3,72.2,97.5,0.1718
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,24638,0.42,0.416,0.122,0.038,0,0.004,0,122,61,0.0902
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,22862,0.564,0.174,0.123,0,0.139,0,10.5,47.8,44,0.0818
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,30495,0.238,0.651,0.017,0.009,0.084,0.001,11.7,51.8,93.3,0.1903
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,30806,0.423,0.524,0.051,0.003,0,0,6.2,48,96,0.1042
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,38073,0.216,0.714,0.044,0.027,0,0,5.8,78.2,43,0.1047
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,30196,0.284,0.591,0.026,0.04,0.058,0.001,7.1,45.1,105.3,0.1329
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,31154,0.246,0.677,0.031,0.023,0.023,0,9.1,71.9,124.7,0.0963
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,38910,0.227,0.621,0.038,0.029,0.086,0,9.1,57.4,143.5,0.1533
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,34102,0.321,0.614,0.04,0.023,0.003,0,8,57,76,0.1842
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,32706,0.373,0.597,0.023,0,0,0.007,8.4,47.7,117.7,0.1615
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,28714,0.296,0.624,0.032,0.024,0.024,0,8.7,50.1,103.7,0.1222
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,39314,0.207,0.664,0.033,0.025,0.072,0,6.5,49.2,59,0.1186
