CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,County
80,6665,4826137,2077238,1981754,67950,27534,0,0,1847903,1458248,900996,0,0,0,0,Gray CS,Essex,K. Charter,C,,,1,337.2,18.7,73597,112.3,95024,168.5,203768,10.5,Essex
80,7021,,,,,,,,,,,,,,,People's Achieve Community Charter Schoo,Essex,K. Charter,C,,,1,,,,,,,,,Essex
80,7210,24221077,11790560,11482327,104681,203552,392331,275085,8531397,6582519,3506788,0,0,0,5490,Marion P. Thomas CS,Essex,K. Charter,C,,,1,1282.2,183.1,70000,,,1282,95000,7,Essex
80,7290,5791977,2426739,2265452,97430,63857,0,0,1925914,1601778,1439324,668400,0,0,79834,New Horizons Comm. CS,Essex,K. Charter,C,,,1,382.9,14.7,77125,191.5,64250,76.6,125000,5.6,Essex
80,7320,104824566,36331746,27869509,5310581,3151656,0,0,51713896,23777869,16778924,0,0,0,1946244,North Star Academy Charter School,Essex,K. Charter,C,,,1,6399.5,27.2,79900,278.3,72200,581.8,157600,23.5,Essex
80,7325,101117497,33325274,28785817,2438616,2100841,0,0,52121478,32016568,15670745,0,0,0,211744,Team Academy Charter School,Essex,K. Charter,C,,,1,6041.2,22.4,78120,215.8,78981,6041,111120,298,Essex
80,7730,10619997,5068692,4367927,480780,219985,1000857,883937,1817930,1494603,2671238,823926,0,61280,0,Robert Treat Academy CS,Essex,K. Charter,C,,,1,694.8,18.6,75306,158,76235,204.4,90429,12.3,Essex
80,7735,8582792,3789099,3715124,49088,24887,755020,755020,2891466,2450182,1147208,162979,0,0,0,Maria L. Varisco-Rogers CS,Essex,K. Charter,C,,,1,558,11.9,58520,186,78012,55.8,131494,5,Essex
80,6030,5622886,2666999,2420807,103928,142264,0,0,1376806,1102509,1412660,734039,166421,0,0,The Ethical Community Charter School,Hudson,K. Charter,C,,,1,372.5,19.6,53108,124.3,65508,74.6,103628,4.4,Hudson
80,6036,5296065,3206709,2893899,84974,227836,0,0,1000648,800190,1088708,177173,0,0,0,Hola Hoboken Dual Lang CS,Hudson,K. Charter,C,,,1,423,26.4,62643,423,78000,423,100000,17,Hudson
