CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,County,ENROLL
3,2710,17801231,9824268,9217895,283330,323043,3426762,2241625,2337664,1861214,2120867,1099429,0,63245,55320,9.6,73819,99.9,74289,99.9,122500,11.4,Little Ferry Boro,Bergen,D. K-8 / 751 +,2,CD,,1,Bergen,891.0
3,2740,55004872,29871038,28302513,818525,750000,11951788,8417402,4874258,4082803,6967205,2757304,0,1340583,210000,12.6,65449,76.5,72977,130.1,148157,12,Lodi Borough,Bergen,F. K-12 / 1801 - 3500,3,B,,1,Bergen,3163.9
3,2860,42894144,24681446,23685090,756333,240023,6633675,5640652,5237908,4521652,4656291,2702939,215000,1248216,0,13.8,86030,54.4,85530,153.7,168683,14,Lyndhurst Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen,2619.0
3,2900,64007101,33864652,31458545,977493,1428614,14310900,10709989,7145504,5187082,6624842,962299,0,1936765,0,10.1,83016,62.6,81937,92.8,143918,10.6,Mahwah Twp,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen,2835.1
3,3060,16016730,10208191,9582157,541034,85000,2431416,1864308,1548846,1236088,1654420,882557,0,81847,0,12.5,66499,79.4,73850,200.2,136792,18.5,Maywood Boro,Bergen,D. K-8 / 751 +,2,FG,,1,Bergen,970.0
3,3170,21908840,12596353,12186771,258222,151360,3735330,2960611,2348615,2134611,2252344,1414189,0,832828,0,8.4,66200,47.1,87250,109.5,175826,15.4,Midland Park Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen,902.0
3,3330,18398382,11646640,11239990,308150,98500,2860190,2157890,2153775,1936175,1597646,356146,0,137381,0,10.8,83758,75,85247,121.9,157139,12.9,Montvale Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,955.0
3,3350,7389188,4038936,3828475,157461,53000,1780256,681336,681183,482233,825363,407613,0,54668,0,10,68707,180,83653,120,115581,12.7,Moonachie Boro,Bergen,B. K-8 / 0 - 400,2,B,,1,Bergen,373.0
3,3550,41270287,22876732,21942940,698452,235340,6214803,4547170,5463429,4821205,5276607,2594051,0,1226653,376000,12.2,76381,66.1,81521,145.4,154725,14.1,New Milford Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,Bergen,2131.9
3,3600,36616921,21630294,19597363,1254000,778931,4973055,3649498,3953369,3238784,5055519,2221045,0,910672,131000,12.9,69650,68.8,58750,128.9,130174,11.9,North Arlington Boro,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen,2020.0
3,3700,28139440,16114607,15089710,678432,346465,4410042,4047512,2287319,1878649,3495937,1592365,10000,1743834,1032500,11.2,92084,69.7,105464,84.1,136000,8.7,Northern Highlands Regional High School,Bergen,H. 7-12 / 9-12,5,J,,1,Bergen,1304.0
3,3710,54798572,31741223,29282103,530066,1929054,9758209,8203273,5168181,4295657,5108311,2774602,0,3020930,0,9.7,119285,35,105535,83.1,161572,10.9,Northern Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen,2228.5
3,3730,10572208,6215286,6019451,179555,16280,2115057,1633723,1208449,913070,911464,305050,0,113425,0,10.1,85402,67.1,77964,134.3,149669,15.3,Northvale Boro,Bergen,C. K-8 / 401 - 750,2,FG,,1,Bergen,527.0
3,3740,10866450,6271437,5887221,302123,82093,2094661,1493400,1269715,1083168,1155698,610143,17000,57938,41842,11.1,64401,52.8,82432,116.2,127500,12.7,Norwood Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen,595.0
3,3760,31982748,18669130,17980484,598330,90316,6255491,4302938,3334520,2897989,3385460,1751996,0,256889,5640,10,89849,45.9,89591,93.4,152175,11.4,Oakland Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,1307.0
3,3850,16433481,9883319,9373987,283327,226005,2910678,2531331,1725344,1409601,1762083,614337,0,152056,0,11.6,94400,57.4,99157,108.3,133200,11.2,Old Tappan Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,757.0
3,3870,12895637,7611292,7128342,247390,235560,2378544,1778804,1416941,1204421,1460563,739586,0,28298,51752,12.5,75257,77.3,95869,110.4,140000,10.3,Oradell Boro,Bergen,A. K-6,1,I,,1,Bergen,799.0
3,3910,28317150,17747888,16939197,404731,403960,3964548,2937277,3182079,2438440,2757211,1439310,0,644151,25000,11.2,74363,61.7,69600,219.9,116460,23.3,Palisades Park,Bergen,E. K-12 / 0 - 1800,3,CD,,1,Bergen,1797.0
3,3930,83973147,46287057,43749674,2227271,310112,14284230,11117596,8791268,7783378,12861738,7667045,0,1456995,86043,10.6,77280,51,86292,136.5,175904,15.6,Paramus Boro,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen,3567.0
3,3940,31727609,16671370,15970752,491298,209320,7724024,6572746,3042023,2643219,3021456,1631117,0,1239019,250000,9.6,82731,47.7,86978,72.8,153554,9.1,Park Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,I,,1,Bergen,1176.0
3,3960,51468186,28583187,26583265,530933,1468989,8602518,7194989,4528607,3926447,6903600,3356727,0,2827409,0,9.8,116240,49.9,103775,86.1,158588,10.5,Pascack Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen,1726.5
3,4300,51000984,26010055,24170986,653653,1185416,9227138,7663046,5010348,3948449,6946258,3042258,0,3717330,50000,9.7,85647,62.6,84668,69.6,147884,8.3,Ramapo-Indian Hill Reg,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen,1943.5
3,4310,64893953,38681777,37217871,1211676,252230,10446618,8119204,5311558,4011657,8420254,4183867,50000,1857517,0,9.5,99592,48.3,102220,108.3,160956,13.6,Ramsey Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen,2411.0
3,4370,39664874,21675497,20783319,293324,598854,9917229,9068908,3870255,2871436,3288726,1459361,0,814868,28000,10.3,83462,40.8,102421,99.4,141817,12.1,Ridgefield Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen,1574.5
3,4380,46535708,28209594,25380747,2390167,438680,7040285,5747501,5196698,3719883,4302951,424316,25000,1382467,190000,10.4,78674,56.7,77114,120,147352,13.6,Ridgefield Park Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen,2060.0
3,4390,108540389,64131362,61247682,1515984,1367696,21338593,17692222,9169887,7117349,11978362,849473,0,1850197,5000,12.2,97767,67.8,100133,171.6,167886,16.6,Ridgewood Village,Bergen,G. K-12 / 3501 +,3,J,,1,Bergen,5642.9
3,4405,33483270,20199662,18785646,586281,827735,4239529,3655343,3939793,3285687,3474046,1749020,0,1622699,0,11.3,101381,79.1,106092,121.7,166933,12.3,River Dell Regional,Bergen,H. 7-12 / 9-12,4,I,,1,Bergen,1610.0
3,4410,22237398,14878442,13829091,749221,300130,2967304,2547000,2346293,2099495,1982657,1092181,0,42862,0,12.2,71788,56.7,87075,119,175550,11.8,River Edge Boro,Bergen,A. K-6,1,I,,1,Bergen,1211.0
3,4430,23612240,13773375,12815964,563593,393818,4399506,3295457,2652965,2316985,2599353,1469328,0,187041,60000,9.9,101740,59.9,81575,141.3,144879,16.6,River Vale Twp,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,1011.0
3,4470,10281363,6178101,5741744,183250,253107,1942654,1588629,1127805,877656,952096,493848,0,76073,0,9.9,84283,51.3,78342,98.3,125000,11.8,Rochelle Park Twp,Bergen,C. K-8 / 401 - 750,2,FG,,1,Bergen,522.0
3,4600,44503338,25984716,24621892,731685,631139,6100545,5428863,6270085,5348270,4980379,1831406,0,1061302,622500,11.2,78643,69,101299,130.8,170672,13.6,Rutherford Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen,2464.5
3,4610,34091702,18142747,17266348,305010,571389,6303168,5175029,4212129,3468979,4543841,1835928,0,817298,45000,12.1,71462,45.2,77708,139,143500,14.6,Saddle Brook Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen,1764.5
3,4620,5807833,2844037,2470803,118346,254888,1762393,1009298,325232,170175,873135,457320,0,0,0,8,77545,38.3,92408,28.8,126511,4.4,Saddle River School District,Bergen,A. K-6,1,J,,1,Bergen,124.0
3,4870,5938255,3514553,3102678,86000,325875,941257,710292,474686,368734,837789,427198,27253,142717,0,9.5,83930,125.5,78105,50.2,88730,5.7,South Hackensack Twp,Bergen,B. K-8 / 0 - 400,2,CD,,1,Bergen,248.0
3,5150,86434356,47160752,41813587,1916253,3430912,19362155,13954972,7795469,6536055,10649313,3573386,0,1330657,146324,9.9,83400,54.1,95000,91.9,132910,11,Teaneck Twp,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen,3686.1
3,5160,73690313,43992657,40545313,1738400,1708944,12793934,10089820,8391795,7333380,6647013,4016443,50000,1767013,107000,11,90289,68.3,91289,146.6,164480,15.5,Tenafly Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen,3458.0
3,5330,26908053,15841750,14714305,1090495,36950,4529989,4154824,2807281,2273181,3515586,1862425,0,213448,345000,9.5,71993,52,97945,109.2,172252,13.6,Upper Saddle River Boro,Bergen,D. K-8 / 751 +,2,J,,1,Bergen,1145.0
3,5410,31995239,19952299,19494156,270400,187743,4215236,3654541,4053305,3518418,2815927,1549010,0,933198,273000,10.7,82270,67.3,84370,131.9,159696,14.3,Waldwick Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen,1544.5
3,5430,20293916,10545788,10213063,329425,3300,3152163,2806101,2135354,1785594,3690072,936336,0,770540,273500,13.5,69737,79.2,77137,132.9,131007,11.6,Wallington Boro,Bergen,E. K-12 / 0 - 1800,3,B,,1,Bergen,1261.0
3,5755,59413631,32311242,30779557,994785,536900,12473109,9123371,6474394,5232679,6633024,3050717,0,1462491,388900,10.8,86890,63.2,83770,116.1,153748,12.6,Westwood Regional,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen,2831.0
3,5830,20351396,11867318,11423349,370061,73908,3079002,2348387,2801795,2369951,1912580,1135478,0,675250,0,11.8,73341,63,69973,155,132695,15.6,Wood-Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,Bergen,1235.0
