CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY
Bergen,3960,Pascack Valley Regional,74485998,1869,39849,45,80126395,1776,45109,45,"G. G9-12|7-12,9-12"
Bergen,4300,Ramapo-Indian Hill Reg,74868505,2127,35203,34,82014553,2017,40672,40,"G. G9-12|7-12,9-12"
Bergen,4310,Ramsey Boro,86928138,2589,33578,72,93051520,2517,36968,74,"M. K-12|K-12,1800-3500"
Bergen,4370,Ridgefield Boro,50918189,1569,32446,42,50050520,1593,31411,38,"L. K-12|K-12,0-1800"
Bergen,4380,Ridgefield Park Twp,62953877,2091,30101,62,59410265,2083,28526,42,"M. K-12|K-12,1800-3500"
Bergen,4390,Ridgewood Village,138921574,5626,24693,17,147686170,5564,26542,28,"N. K-12|K-12,3500+"
Bergen,4405,River Dell Regional,46020118,1610,28579,13,49883887,1618,30828,13,"F. G7-12|7-12,9-12"
Bergen,4410,River Edge Boro,26691698,1178,22652,7,28064882,1173,23931,16,A. K-6|K-6
Bergen,4430,River Vale Twp,37122048,1036,35827,76,33394614,1030,32424,66,"E. K-8|K-8,751+"
Bergen,4470,Rochelle Park Twp,16998323,666,25515,24,18872965,648,29137,40,"J. K-12|K-8,401-750"
Bergen,4500,Rockleigh,645162,25,25806,10,623163,23,27094,10,K-12|Non-Operating
Bergen,4600,Rutherford Boro,56463588,2483,22740,5,68322373,2506,27259,36,"M. K-12|K-12,1800-3500"
Bergen,4610,Saddle Brook Twp,48224221,1727,27921,49,50303195,1820,27639,39,"M. K-12|K-12,1800-3500"
Bergen,4620,Saddle River Boro,11369230,331,34361,54,12225118,310,39393,55,H. K-12|K-6
Bergen,4870,South Hackensack Twp,11712323,364,32180,59,12325104,332,37130,63,"I. K-12|K-8,0-400"
Bergen,5150,Teaneck Twp,136259757,3751,36328,93,141766952,3857,36755,91,"N. K-12|K-12,3500+"
Bergen,5160,Tenafly Boro,99868122,3572,27956,50,104767683,3561,29423,49,"M. K-12|K-12,1800-3500"
Bergen,5330,Upper Saddle River Boro,30638621,1133,27032,43,32423289,1124,28858,46,"E. K-8|K-8,751+"
Bergen,5410,Waldwick Boro,41192089,1617,25482,16,46624266,1591,29313,27,"L. K-12|K-12,0-1800"
Bergen,5430,Wallington Boro,29115372,1245,23381,4,29381244,1231,23869,5,"L. K-12|K-12,0-1800"
Bergen,5755,Westwood Regional,73683177,2800,26320,38,80723174,2815,28672,44,"M. K-12|K-12,1800-3500"
Bergen,5830,Wood-Ridge Boro,29758520,1252,23777,6,31796548,1216,26155,11,"L. K-12|K-12,0-1800"
Bergen,5880,Woodcliff Lake Boro,20435835,727,28125,48,21479790,749,28677,45,"E. K-8|K-8,751+"
Bergen,5920,Wyckoff Twp,54124717,2012,26907,41,57465622,2029,28320,42,"E. K-8|K-8,751+"
Bergen,6013,Bergen Arts And Sciences,22330119,1200,18607,16,25185361,1247,20190,24,O. Charter
Bergen,6430,Englewood On The Palisad,6672526,311,21462,35,7595570,303,25060,60,O. Charter
Bergen,7890,Teaneck Community Cs,8007565,349,22938,47,8980035,358,25070,61,O. Charter
Burlington,200,Bass River Twp,1803455,78,23121,7,1506268,105,14345,1,K-6|Non-Operating
Burlington,380,Beverly City,11820595,427,27671,35,13553591,437,31018,43,"I. K-12|K-8,0-400"
