CONAME,DISTNAME,DIST,GENERAL_CURR_EXP,L76400,GRANTS_ENTITLE,L92180,DEBT_SERVICE,SDA_DEBT_SERVICE,EXP23,TOTENR2A,PP23
Camden,Haddon Twp,1890,20541.895683,179.6726934,1063.6066522,306.66838907,986.19774679,639.67447115,50916751.27,2146.7814208,23718
Camden,Haddonfield Boro,1900,18581.10206,184.14620125,1036.3886892,350.27357846,1335.1946801,298.28049755,60276431.05,2766.8287293,21785
Camden,Hi Nella,2130,24110.991071,0,226.85714286,0,0,0,2725839,112,24338
Camden,Laurel Springs Boro,2540,21013.04049,129.21987539,1321.3766292,110.08868602,727.88177511,0,7458974,320.10555556,23302
Camden,Lawnside Boro,2560,22365.121561,1770.5783157,3581.203013,817.22017293,604.83187609,643.91953364,13587572.61,456.22099448,29783
Camden,Lindenwold Boro,2670,19613.442571,1643.5064956,2316.6797265,902.52652951,677.72345859,170.43771394,79826044.24,3152.15,25324
Camden,Magnolia Boro,2890,23718.143291,1933.3600221,2203.8495306,469.65240199,641.08227499,641.12056599,11915256.41,402.44444444,29607
Camden,Merchantville Boro,3110,21159.829918,1212.2527945,1257.402848,221.13352767,290.1977644,70.026183336,12827173.65,529.81111111,24211
Camden,Mount Ephraim Boro,3420,19738.955025,1381.0590353,3748.0754017,420.11698318,947.93498435,361.47284078,15763814.92,592.67777778,26598
Camden,Oaklyn Boro,3770,19225.888614,251.31746203,2615.9217925,424.9981687,431.33685231,20.439510934,11846089.11,515.72222222,22970
Camden,Pennsauken Twp,4060,22801.324934,584.52175478,2271.8793473,735.98449187,505.48003339,96.367944546,131676985.6,4877.7277778,26996
Camden,Pine Hill Boro,4110,23131.203093,1684.2788014,2003.421266,771.35637049,0,86.075817808,54048654.03,1952.8833333,27676
Camden,Runnemede Boro,4590,20911.237725,437.9483192,2953.550424,407.85440896,0,252.64303382,20689666.95,828.80555556,24963
Camden,Somerdale Boro,4790,23516.854965,356.08248703,1597.2368584,589.05941946,503.36354381,81.387728751,11922591.2,447.47777778,26644
Camden,Sterling High School Dist,5035,22795.763034,2495.5514204,1279.0978291,589.4638355,279.39589864,376.09470368,25052117.5,900.65745856,27815
Camden,Stratford Boro,5080,21608.17236,702.09853512,1180.2019634,462.92351448,472.19792654,367.44346433,22519653.94,908.30555556,24793
Camden,Voorhees Twp,5400,22356.164316,880.37238263,1202.2280141,461.73054882,317.77055323,87.137529204,76540409.98,3024.6666667,25305
Camden,Waterford Twp,5560,20072.169185,130.0109995,2315.8718662,309.01668604,0,283.49727295,37118650.42,1606.1333333,23111
Camden,Winslow Twp,5820,24366.98967,95.674372465,2006.9845789,600.85923971,0,59.235161591,132032471.09,4866.7055556,27130
Camden,Woodlynne Boro,5900,20066.206414,1678.9478284,6217.51289,606.72376125,0,613.61358035,16697056.01,572.15,29183
Camden,Hope Community Cs,6086,19880.988679,1428.9509434,6775.1245283,1035.7207547,0,0,3858504,132.5,29121
Camden,Camden’s Promise Charter School,6107,19583.172544,699.24325037,4363.0933955,902.04423534,0,0,58100246,2274.2,25548
Camden,Leap Academy University Cs,7109,15380.386715,867.62836345,4445.8527233,1257.3066424,0,0,33774077,1538.6,21951
Cape May,Avalon Boro,170,37480.284549,2757.476935,1434.6858308,781.05176265,0,1188.8890745,4993174.12,114.41111111,43642
Cape May,Cape May City,710,27516.063433,96.7039801,5939.9502488,779.24751244,0,124.21909204,5540554.43,160.8,34456
Cape May,Cape May Co Special Serv,715,62435.834754,987.19612789,1165.3514214,857.37132729,0,540.35920649,16132504.82,244.48333333,65986
Cape May,Cape May County Vocational School D,720,29906.131822,4960.0347348,3016.8057165,597.58689092,0,304.38759609,23561463.39,607.48989899,38785
Cape May,Cape May Point,730,49027,0,0,0,0,0,49027,1,49027
Cape May,Dennis Twp,1080,20853.303658,608.84286082,5434.5572658,289.84761123,0,595.99922102,22191621,798.76111111,27783
Cape May,Lower Cape May Regional,2820,27982.58431,3267.9771116,3478.7229687,704.27060375,762.39766136,292.48736801,43964110.53,1204.8777778,36488
Cape May,Lower Twp,2840,20833.929494,938.32615887,5856.6310209,748.85608772,619.34795414,25.830592687,42700456.69,1471.2666667,29023
Cape May,Middle Twp,3130,20876.752715,52.788113025,2959.2772426,463.32179975,614.71297813,316.12019938,66615998.77,2634.8166667,25283
Cape May,North Wildwood City,3680,46149.296686,16.645975802,4806.8474487,561.81588638,1767.6880589,101.50016307,11280068.09,211.22222222,53404
