CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,3350,5323537,2942503,2823179,74336,44988,1092052,354586,566595,450450,667858,299840,27974,22777,5260,304,Moonachie Boro,Bergen,B. K-8 / 0 - 400,2,B,,1,Bergen
3,3550,29288785,15461628,14601112,670825,189691,4602554,3942460,4182705,3549298,3981112,2172724,0,970124,244589,1990,New Milford Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,Bergen
3,3600,19997827,11359310,10910109,278643,170558,2596114,1583525,2839470,2383707,2480604,1232923,0,671349,4398,1768,North Arlington Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen
3,3700,24613597,14547986,11954775,2175114,418097,3389205,2881803,2215954,1605104,3029641,1277371,2001,1396146,224026,1337,Northern Highlands Reg,Bergen,H. 7-12 / 9-12,5,J,,1,Bergen
3,3710,44748637,25659135,24462828,663783,532524,6781543,5845164,5352050,4280296,4499235,2752457,49148,2384007,52530,2499,Northern Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen
3,3730,7926988,4669890,4345063,254087,70740,1412673,937876,887078,704658,853692,285406,1500,95512,60971,524,Northvale Boro,Bergen,C. K-8 / 401 - 750,2,FG,,1,Bergen
3,3740,8247431,5017806,4678104,334151,5551,1395272,1106043,890107,544662,891633,570653,0,52613,0,571,Norwood Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen
3,3760,24502275,14942743,14103930,694059,144754,3940732,3304693,3078399,2671967,2344819,1506285,0,142503,190895,1471,Oakland Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
3,3850,10751524,6901208,6528568,297555,75085,1437382,1122886,1271662,1095981,1072794,292503,0,68478,7511,712,Old Tappan Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen
3,3870,9866386,5881543,5450197,308984,122362,1602773,1230295,1317327,1139124,1023396,599159,0,41347,0,757,Oradell Boro,Bergen,A. K-6,1,I,,1,Bergen
3,3910,21399482,14198570,13537606,439368,221596,2147345,1736635,2728949,2127946,1769300,998102,0,446637,60791,1635,Palisades Park,Bergen,E. K-12 / 0 - 1800,3,CD,,1,Bergen
3,3930,66559184,36922879,34889775,1982988,50116,9944358,8337448,7403062,6770267,10520744,5837668,0,1378768,346838,3894,Paramus Boro,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen
3,3940,23006745,12772523,11958070,692552,121901,4859757,3972876,2554014,2213401,1990615,1036222,0,814701,148399,1210,Park Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,I,,1,Bergen
3,3960,39273126,22289544,19753734,460484,2075326,6501342,5765319,3991963,3398458,4258879,2454517,0,2216499,511098,2059,Pascack Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen
3,4300,39119262,20863399,19181583,596077,1085739,6029449,5526773,4226219,3413445,5102368,2411353,0,2841033,144935,2284,Ramapo-Indian Hill Reg,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen
3,4310,48049891,28661068,27832854,640668,187546,8474023,6649222,4029698,3135045,5534423,2924651,28099,1286599,501948,2831,Ramsey Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen
3,4370,33565472,19596727,18502259,727350,367118,6762839,6223541,3586511,2827266,2835989,1251072,0,693755,458521,1717,Ridgefield Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen
3,4380,34418892,20226642,20010651,203025,12966,5475585,5326763,3832578,2958147,3543170,1621292,180000,947231,3400,2403,Ridgefield Park Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen
3,4390,80503180,47154420,44689859,1401559,1063002,15356395,12408936,7706132,6689962,8629134,449773,0,1493006,170927,5655,Ridgewood Village,Bergen,G. K-12 / 3501 +,3,J,,1,Bergen
3,4405,26109536,15120957,13894985,692624,533348,3610450,3065449,3455192,3081458,2696434,1345529,4416,1214813,92414,1644,River Dell Regional,Bergen,H. 7-12 / 9-12,4,I,,1,Bergen
3,4410,15505463,10865746,10211052,322190,332504,1754932,1567388,1609283,1386676,1272417,646809,0,0,9499,1177,River Edge Boro,Bergen,A. K-6,1,I,,1,Bergen
3,4430,17982541,10486338,9845080,270714,370544,2889969,2355925,2448735,2064029,1997572,1167402,0,159927,25768,1182,River Vale Twp,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
3,4470,7495055,4802998,4409595,340968,52435,960142,712075,931732,471483,759777,417613,0,40406,40779,497,Rochelle Park Twp,Bergen,C. K-8 / 401 - 750,2,FG,,1,Bergen
3,4600,34441029,21198142,20031320,588576,578246,4499194,3762151,3880623,3224333,3842431,1712303,60155,881609,160687,2466,Rutherford Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen
3,4610,25355477,13614447,12628324,324778,661345,5285273,4540473,2873737,2316432,2894545,1637758,0,621379,45793,1716,Saddle Brook Twp,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen
3,4620,4476522,2264322,2185010,41569,37743,1408099,1228459,351045,270990,423038,241796,0,23299,0,175,Saddle River Boro,Bergen,A. K-6,1,J,,1,Bergen
3,4870,4627177,2617747,2383014,70966,163767,791855,412621,357275,275671,744580,459667,13076,86140,12684,249,South Hackensack Twp,Bergen,B. K-8 / 0 - 400,2,CD,,1,Bergen
