GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,37,27|81,0.003,86,52|81,0.006,51,41|81,0.003
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,12,3|81,8E-4
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,178,73|81,0.012,132,63|81,0.008,165,79|81,0.009
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,147,68|81,0.009,132,63|81,0.008,100,65|81,0.005
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,7,4|81,47E-5,13,9|81,0.001,30,20|81,0.002
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,168,72|81,0.005,79,50|81,0.002,92,64|81,0.002
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,44,32|81,0.001,27,23|81,74E-5,11,2|81,25E-5
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,164,70|81,0.006,135,65|81,0.005,129,76|81,0.005
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,65,41|81,0.002,51,37|81,0.002,46,35|81,0.002
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,8,6|81,5E-4,7,3|81,39E-5,42,31|81,0.002
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,118,60|81,0.006,105,57|81,0.006,120,72|81,0.006
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,48,35|81,0.003,9,5|81,51E-5,23,10|81,0.001
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,23,17|81,0.002,24,20|81,0.002,23,10|81,0.001
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,12,8|81,91E-5,8,4|81,55E-5,12,3|81,8E-4
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,51,36|81,0.003,25,21|81,0.002,37,25|81,0.002
B. K-8 / 0 - 400,Gloucester,1830,Greenwich Twp,273,77|81,0.013,239,74|81,0.011,56,47|81,0.002
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,45,33|81,0.004,272,76|81,0.022,53,42|81,0.003
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,144,67|81,0.006,46,33|81,0.002,44,33|81,0.002
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,118,60|81,0.005,78,49|81,0.003,125,75|81,0.005
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,98,52|81,0.003,22,19|81,89E-5,34,23|81,0.001
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,16,10|81,87E-5,10,6|81,55E-5,16,6|81,8E-4
B. K-8 / 0 - 400,Hunterdon,1040,Delaware Twp,70,46|81,0.003,42,31|81,0.002,54,44|81,0.002
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,25,18|81,0.001,19,16|81,87E-5,21,9|81,97E-5
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,35,26|81,0.002,43,32|81,0.002,38,28|81,0.002
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,482,79|81,0.024,13,9|81,54E-5,18,7|81,76E-5
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro,127,64|81,0.005,324,77|81,0.012,102,66|81,0.004
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,64,40|81,0.003,58,43|81,0.003,122,74|81,0.006
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,37,27|81,0.002,21,18|81,0.001,59,49|81,0.003
