GROUP,CONAME,DIST,DISTNAME,PP17,RK17,PCT17,SBA7,PP27,RK27,PCT27,SBB7,PP37,RK37,PCT37,SBC7
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,4101,71|81,0.247,0.9039,3221,60|81,0.181,0.8977,2851,47|81,0.16,0.8127
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,2589,50|81,0.173,0.7564,2609,45|81,0.172,0.7329,4045,70|81,0.19,0.7015
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,1305,8|81,0.1,0.7218,1327,10|81,0.088,0.6784,1419,7|81,0.092,0.6468
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,797,1|81,0.051,0.6871,746,1|81,0.049,0.6727,1039,2|81,0.061,0.7307
B. K-8 / 0 - 400,Gloucester,1830,Greenwich Twp,2459,48|81,0.121,0.7585,2742,49|81,0.124,0.7264,2907,48|81,0.123,0.7586
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,1459,11|81,0.124,0.784,1589,12|81,0.13,0.8341,2314,33|81,0.142,0.7068
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,4372,73|81,0.191,0.8742,4553,74|81,0.203,0.8798,4694,75|81,0.182,0.8438
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,3392,65|81,0.149,0.8482,3369,65|81,0.145,0.8533,3511,62|81,0.13,0.7911
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,3565,66|81,0.117,0.6063,2522,43|81,0.101,0.6718,2743,43|81,0.092,0.5583
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,2680,52|81,0.148,0.7873,3111,58|81,0.167,0.8397,3038,52|81,0.149,0.781
B. K-8 / 0 - 400,Hunterdon,1040,Delaware Twp,2791,56|81,0.134,0.8245,2701,47|81,0.118,0.7134,2715,41|81,0.112,0.7376
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,3033,60|81,0.151,0.8599,3297,62|81,0.15,0.8642,3372,57|81,0.152,0.8438
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,2013,28|81,0.109,0.5198,1870,22|81,0.091,0.4359,1545,11|81,0.067,0.3662
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,3582,67|81,0.175,0.9301,4029,71|81,0.174,0.8053,4078,71|81,0.17,0.8035
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro,4693,77|81,0.171,0.6656,4253,72|81,0.153,0.5757,4641,74|81,0.162,0.6338
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,3375,64|81,0.168,0.7964,3611,68|81,0.168,0.7801,3736,66|81,0.169,0.7331
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,2692,54|81,0.159,0.9597,3040,57|81,0.174,0.9759,3577,64|81,0.157,0.8761
B. K-8 / 0 - 400,Hunterdon,5270,Union Twp,2739,55|81,0.152,0.8295,3286,61|81,0.167,0.8484,3391,58|81,0.15,0.8095
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,4795,78|81,0.2,0.9257,4373,73|81,0.191,0.8771,4517,73|81,0.184,0.91
