CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,COUNTY,enrol1
80,6105,9779277,4364906,3758306,454618,151982,418913,255531,2300637,1058375,2493023,557364,0,201797,101306,Hudson Arts And Science  Charter School,Hudson,K. Charter,C,,,1,799.8,Hudson,
80,6420,3948628,2679099,2562941,26110,90048,0,0,471726,354488,797803,283562,0,0,0,Elysian Cs Of Hoboken,Hudson,K. Charter,C,,,1,287.9,Hudson,
80,6720,4328443,2259403,2147429,82548,29426,588113,400122,788559,567413,692367,0,0,0,0,Hoboken Cs,Hudson,K. Charter,C,,,1,297.1,Hudson,
80,6910,5711752,3146633,3066612,33197,46824,0,0,2098158,1531671,354363,0,110000,0,19777,Jersey City Comm. Cs,Hudson,K. Charter,C,,,1,580.1,Hudson,
80,6915,6311206,3560896,3306881,144893,109122,253262,148664,801819,575084,1695229,503780,0,0,56485,Jersey City Golden Door Charter School,Hudson,K. Charter,C,,,1,559.6,Hudson,
80,7115,6756770,3698062,3336615,117550,243897,613983,566265,1255919,938715,1188806,316226,0,0,15393,Learning Community Cs,Hudson,K. Charter,C,,,1,591.9,Hudson,
80,7830,2768838,1394453,1330879,31162,32412,590426,397896,783959,261854,0,0,0,0,0,Soaring Heights Cs,Hudson,K. Charter,C,,,1,269,Hudson,
80,8060,6682248,3698079,3443198,89091,165790,1081723,1081723,828762,734967,1073683,0,0,0,0,University Academy Cs,Hudson,K. Charter,C,,,1,425.9,Hudson,
80,6017,13565762,7411967,6590475,564576,256916,559741,424347,3722504,3146531,1855902,277331,0,0,161025,Foundation Academy Cs,Mercer,K. Charter,C,,,1,1071.3,Mercer,
80,6025,5412580,3062695,2450860,181233,430602,0,0,1220473,907263,1101762,260763,27650,0,0,Paul Robeson Humanities  Charter School,Mercer,K. Charter,C,,,1,375,Mercer,
80,6183,8270871,3129655,2844788,165629,119238,0,0,3829349,3336829,1203280,0,108587,0,4250,Trenton Stem-To-Civics Cs,Mercer,K. Charter,C,,,1,597.5,Mercer,
80,6810,1303754,866522,737819,30270,98433,0,0,327108,292612,110124,0,0,0,0,International Charter School,Mercer,K. Charter,C,,,1,90,Mercer,
80,7500,4421233,2659133,2509249,91540,58344,208482,204654,817794,680762,735824,0,0,0,0,Pace Cs Of Hamilton,Mercer,K. Charter,C,,,1,378,Mercer,
80,7540,6015759,4020940,3773853,147808,99279,107874,69316,1247809,800359,624546,72511,11586,3004,0,Princeton Cs,Mercer,K. Charter,C,,,1,422.5,Mercer,
80,7895,2144643,861550,703642,88510,69398,0,0,597826,407430,509643,150645,0,0,29665,Achievers Early College Prep Charter Sch,Mercer,K. Charter,C,,,1,167.8,Mercer,
80,8140,4125748,2506921,2211470,159074,136377,234741,220551,1050638,807067,333448,184659,0,0,0,Village Cs,Mercer,K. Charter,C,,,1,358,Mercer,
80,6032,8135988,4344257,3673280,239946,431031,852917,778857,1514114,1190237,1404249,655161,0,20451,40717,Academy For Urban Leadership Charter Sch,Middlesex,K. Charter,C,,,1,548.9,Middlesex,
80,6041,6168548,3924182,3646354,114490,163338,0,0,1234412,1032190,1009954,0,0,0,5118,Hatikvah International Cs,Middlesex,K. Charter,C,,,1,517.5,Middlesex,
80,6635,5035602,3217184,3185082,30210,1892,0,0,1675499,1257111,128323,0,14596,0,0,Greater Brunswick Cs,Middlesex,K. Charter,C,,,1,393.6,Middlesex,
80,7896,1936890,868584,846462,2943,19179,187058,165701,310572,250586,570676,106330,0,0,0,Middlesex Charter School,Middlesex,K. Charter,C,,,1,183.9,Middlesex,
80,6010,3108882,1532034,1465614,12105,54315,469425,469425,538420,434931,545504,30974,23500,0,7262,Academy Charter High School,Monmouth,K. Charter,C,,,1,176.7,Monmouth,
80,6740,2980147,1593350,1475117,40546,77687,0,0,787372,613677,599424,267164,0,0,18529,Hope Academy Cs,Monmouth,K. Charter,C,,,1,252.7,Monmouth,
80,7720,2982208,1661406,1571254,32002,58150,338367,300912,655111,396043,252497,148775,13397,61246,0,The Red Bank Cs,Monmouth,K. Charter,C,,,1,175.9,Monmouth,
80,7891,5079031,3103640,2424578,220125,458937,0,0,1063007,504696,912384,147257,0,0,0,College Achieve Greater Asbury Park Char,Monmouth,K. Charter,C,,,1,307.2,Monmouth,
80,8050,3727417,1803143,1665362,44304,93477,425525,346746,727419,573069,740681,50334,0,30648,0,Unity Cs,Morris,K. Charter,C,,,1,233.2,Morris,
80,7893,3515894,1683151,1512635,133511,37005,0,0,1065631,818044,670530,0,96582,0,14548,Ocean Academy Charter School,Ocean,K. Charter,C,,,1,269.5,Ocean,
80,6021,12533319,5127715,4758155,338628,30932,0,0,2852522,2202276,4553082,1375153,0,0,281187,Community Charter School Of Paterso,Passaic,K. Charter,C,,,1,900,Passaic,
80,6079,6415519,2586308,1997951,109767,478590,929509,674727,1344773,903387,1546899,568120,8031,0,79567,John P Holland Charter School,Passaic,K. Charter,C,,,1,402.1,Passaic,
80,6080,18283013,8464208,7776392,518717,169099,1123230,1028244,4611631,2159776,3648548,1098866,0,435396,219881,Passaic Arts And Science Charter School,Passaic,K. Charter,C,,,1,1569.4,Passaic,
80,6096,11084233,4763296,4482534,169408,111354,682345,544140,2586825,1224229,2782180,658823,0,269588,74244,Paterson Arts And Science Charter School,Passaic,K. Charter,C,,,1,844.4,Passaic,
80,6106,3580605,1932885,1894954,27411,10520,0,0,581918,458678,1065802,175919,0,0,0,Philip’s Charter School Of Paterson,Passaic,K. Charter,C,,,1,285,Passaic,
80,6230,2105748,1110836,1043585,21693,45558,0,0,622750,288268,372161,54077,0,0,0,Classical Academy Charter School Of Clif,Passaic,K. Charter,C,,,1,166.5,Passaic,
80,7503,18736710,9391926,8971287,214827,205812,1089538,970146,3225195,2688755,4584550,1110029,0,443550,103137,Paterson Cs For Sci/Tech,Passaic,K. Charter,C,,,1,1487,Passaic,
80,7892,9391529,5836298,3361994,206329,2267975,0,0,1393846,688378,2161384,260129,0,0,0,College Achieve Paterson Charter School,Passaic,K. Charter,C,,,1,712,Passaic,
80,7897,1211020,635194,581348,35650,18196,0,0,386975,172501,180057,0,8794,0,0,Creativity Colaboratory Charter School,Salem,K. Charter,C,,,1,93.6,Salem,
80,6018,12333658,6419113,5889892,305019,224202,873556,702359,2093470,1734357,2915383,592892,0,32137,138119,Central Jersey College Prep Charter Scho,Somerset,K. Charter,C,,,1,1015.1,Somerset,
80,6081,5879866,2911577,2606948,209413,95216,257613,212690,1208085,1093475,1502591,297323,0,0,0,Thomas Edison Energysmart Charter School,Somerset,K. Charter,C,,,1,553.8,Somerset,
80,7850,3461541,2269805,2209876,47952,11977,287999,258482,591163,465463,250274,112863,0,62301,0,Sussex County Technology Charter School,Sussex,K. Charter,C,,,1,222.8,Sussex,
80,6033,3370848,1719069,1490383,112086,116600,84115,50298,855149,709080,586125,0,0,0,0,The Barack Obama Green Charter High Scho,Union,K. Charter,C,,,1,233.8,Union,
80,6101,14815320,8124005,6478834,328786,1316385,0,0,3227463,1471281,3268916,103814,194936,0,0,College Achieve Central Charter School,Union,K. Charter,C,,,1,1185.4,Union,
80,6102,3305709,1982277,1735148,220480,26649,0,0,647775,546262,675657,230395,0,0,10029,Cresthaven Academy Charter School,Union,K. Charter,C,,,1,298.3,Union,
80,7600,3374067,1849712,1785505,42875,21332,299979,111030,899374,615017,309466,0,0,14989,52382,Queen City Academy Cs,Union,K. Charter,C,,,1,322.4,Union,
80,8010,4549505,2553739,2139431,114519,299789,0,0,935971,513062,1059795,48276,0,0,0,Union County Teams Cs,Union,K. Charter,C,,,1,383.4,Union,
80,7727,1990227,1281419,1240410,29509,11500,0,0,532970,430623,175838,0,0,0,254,Ridge And Valley Cs,Warren,K. Charter,C,,,1,132.5,Warren,
