CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY,ENROLL
80,8065,12930725,6480067,5985756,426085,68226,2273602,1285847,2220056,1723232,1114857,0,0,0,189197,11.4,57242,171,65000,57,105500,5.3,University Heights Cs,Essex,K. Charter,C,,,1,Essex,684.0
80,6030,5518679,2990382,2699611,175250,115521,1191742,788762,930555,688245,406000,0,0,0,0,12.2,47444,183,63250,91.5,90000,8,The Ethical Community Charter School,Hudson,K. Charter,C,,,1,Hudson,366.0
80,6036,5333483,2833164,2503175,165917,164072,515338,300328,1290031,1086331,694950,0,0,0,0,26,57264,416,82400,416,91052,17,Hola Hoboken Dual Lang Cs,Hudson,K. Charter,C,,,1,Hudson,416.0
80,6064,6287087,3509855,2944855,260000,305000,738731,713731,1297729,801729,720772,0,0,0,50000,14.7,56750,127.7,56750,127.7,125460,9.7,Dr Lena Edwards Academic Charter School,Hudson,K. Charter,C,,,1,Hudson,383.0
80,6082,16412846,7809316,7748842,12481,47993,2993438,2742236,2663898,2081994,2946194,0,0,0,30000,15,63500,179.4,63125,159.4,87000,11.5,Beloved Community Charter School,Hudson,K. Charter,C,,,1,Hudson,1434.9
80,6093,5508211,2977896,2668696,192200,117000,712945,354895,1045825,611205,741545,0,0,0,30000,14,47360,153.7,68000,153.7,105000,12,Jersey City Global Cs,Hudson,K. Charter,C,,,1,Hudson,461.0
80,6103,12163673,6763141,6353751,135738,273652,1759296,1374988,2024843,1569436,1616393,0,0,0,526164,12.4,59000,153.3,66500,115,79000,10,Empowerment Academy Charter School,Hudson,K. Charter,C,,,1,Hudson,920.0
80,6105,10878862,5359734,4659880,518533,181321,1320186,1016242,2566220,1002345,1632723,0,0,0,151825,14.8,56300,400.5,60152,801,92394,56,Hudson Arts And Science  Charter School,Hudson,K. Charter,C,,,1,Hudson,801.0
80,6420,4157015,2594227,2474707,18000,101520,491815,380015,599773,461026,471200,0,0,0,0,11.2,57859,144,72119,288,140000,27.7,Elysian Cs Of Hoboken,Hudson,K. Charter,C,,,1,Hudson,288.0
80,6720,4935123,2402939,2185351,145488,72100,588056,393201,1034837,724988,909291,0,0,0,0,10.6,59500,129.6,60700,59.6,100243,6.1,Hoboken Cs,Hudson,K. Charter,C,,,1,Hudson,298.0
80,6910,8360514,4707503,4511503,110000,86000,1536127,1328627,1301421,818121,278500,0,0,0,88500,18.4,60508,140.5,45309,147.5,111591,9.1,Jersey City Comm. Cs,Hudson,K. Charter,C,,,1,Hudson,590.0
80,6915,7687657,4147666,3567666,250000,330000,1132666,730166,1324178,869178,1083148,0,0,0,70000,15.1,52994,202.3,54669,121.4,126952,8.6,Jersey City Golden Door Charter School,Hudson,K. Charter,C,,,1,Hudson,607.0
80,7115,6573639,4305604,3863652,159650,282302,890120,491920,1164914,719139,213000,0,0,0,40000,14.2,56713,210.7,59913,210.7,110352,15.9,Learning Community Cs,Hudson,K. Charter,C,,,1,Hudson,632.0
80,7830,3917273,2490960,2235960,140000,115000,408580,144580,557733,307733,460000,0,0,0,0,17.1,59623,203.1,65279,325,120280,20.6,Soaring Heights Cs,Hudson,K. Charter,C,,,1,Hudson,325.0
80,8060,7822500,4299837,3959837,85000,255000,1361115,1151115,1111548,934048,1050000,0,0,0,115000,12.6,50833,81.5,58052,76.5,102148,7,University Academy Cs,Hudson,K. Charter,C,,,1,Hudson,440.0
80,6017,16155801,7938424,7371296,301278,265850,1901377,1064142,4954735,4492443,1361265,0,0,0,0,16.8,63090,218.4,67000,121.3,130836,7.8,Foundation Academy Cs,Mercer,K. Charter,C,,,1,Mercer,1092.0
80,6025,6432923,3715224,3006462,264900,443862,891549,642014,1319338,916645,506811,0,0,0,37500,11.8,63654,107.5,62500,215,102542,20.3,Paul Robeson Humanities  Charter School,Mercer,K. Charter,C,,,1,Mercer,430.0
80,6183,9523243,4583489,4010489,338000,235000,3043442,2279534,986601,664816,909711,0,0,0,17500,17.6,53560,75,58000,75,145000,5.3,Trenton Stem-To-Civics Cs,Mercer,K. Charter,C,,,1,Mercer,600.0
80,6810,1319173,721794,643294,29000,49500,142621,76681,344718,293768,110040,0,0,0,0,9.4,57761,88,58811,88,110480,10.4,International Charter School,Mercer,K. Charter,C,,,1,Mercer,88.0
80,7500,6263167,3447927,3184967,155000,107960,535626,400126,1188613,1054113,1091000,0,0,0,0,12.2,55672,439,72100,109.8,103875,9.3,Pace Cs Of Hamilton,Mercer,K. Charter,C,,,1,Mercer,439.0
80,7540,6706023,4356352,4168232,142000,46120,623459,248154,1210141,862528,148855,0,0,0,432930,10.9,71216,528.8,81007,141,141171,13.2,Princeton Cs,Mercer,K. Charter,C,,,1,Mercer,423.0
80,7895,4793579,2725026,2499026,176000,50000,636086,462824,1056632,804962,375836,0,0,0,6700,16.9,57000,71,60000,71,93000,5.2,Achievers Early College Prep Charter Sch,Mercer,K. Charter,C,,,1,Mercer,355.0
80,8140,5018810,2868395,2454851,238794,174750,758125,424875,1108344,992209,143400,0,0,0,0,10.7,57000,176,80000,88,150000,8.8,Village Cs,Mercer,K. Charter,C,,,1,Mercer,352.0
80,6032,7889246,4304352,3707850,275870,320632,1189163,1006590,1913337,1422938,482394,0,0,0,51100,12,57075,78,59184,117,118000,11.3,Academy For Urban Leadership Charter Sch,Middlesex,K. Charter,C,,,1,Middlesex,468.0
80,6041,7397224,4432330,4327691,73367,31272,529917,363956,1054977,863248,1380000,0,0,0,160000,13,60975,95.4,42000,191.7,122004,16.7,Hatikvah International Cs,Middlesex,K. Charter,C,,,1,Middlesex,575.0
80,6635,6572619,4056798,3922398,101900,32500,694362,602612,1221056,892355,149500,0,0,0,0,11.5,60123,99,67048,99,120000,9.6,Greater Brunswick Cs,Middlesex,K. Charter,C,,,1,Middlesex,396.0
80,7896,4441706,2276545,2224032,4135,48378,697051,492917,815876,601920,652234,0,0,0,0,16.1,52000,122.3,59000,144.5,30522,10.2,Middlesex Charter School,Middlesex,K. Charter,C,,,1,Middlesex,318.0
80,6010,3381159,1668275,1556043,56380,55852,680532,492025,598327,550429,434026,0,0,0,13759,10.1,63533,38.8,65300,79.5,112579,9.9,Academy Charter High School,Monmouth,K. Charter,C,,,1,Monmouth,167.0
80,6740,3598152,1838176,1620890,96898,120388,493377,267380,962218,663768,171144,0,0,0,51026,11,55350,128.9,28000,86,93250,8.5,Hope Academy Cs,Monmouth,K. Charter,C,,,1,Monmouth,259.0
80,7720,2738930,1415499,1339049,34450,42000,494945,364425,631410,532017,70814,0,0,0,25000,10.3,50552,29.7,46805,89.1,111923,11.7,The Red Bank Cs,Monmouth,K. Charter,C,,,1,Monmouth,196.0
80,7891,7351860,4143826,3249615,362550,531661,1052929,742929,1462105,657316,635000,0,0,0,125000,12,58000,72.2,55250,108.3,100500,10.5,College Achieve Greater Asbury Park Char,Monmouth,K. Charter,C,,,1,Monmouth,433.0
80,8050,4268673,2370112,2207112,57500,105500,663093,496243,763393,607039,472075,0,0,0,50000,8.9,54682,74.7,64840,54.3,105342,6.8,Unity Cs,Morris,K. Charter,C,,,1,Morris,239.0
80,7893,6859610,3560153,2813858,456295,290000,802794,290794,1214663,837663,1282000,0,0,0,575000,13.1,45000,210,50000,140,65000,11.3,Ocean Academy Charter School,Ocean,K. Charter,C,,,1,Ocean,420.0
80,6021,18035270,9494154,4690154,4718000,86000,2489720,1804750,3236991,2546751,2814405,0,0,0,75279,9.8,58101,,,150,106090,15.3,Community Charter School Of Paterso,Passaic,K. Charter,C,,,1,Passaic,900.0
80,6079,8261401,3774656,3222156,180000,372500,1141147,1032547,1085359,499079,2260239,0,0,0,0,17.7,53800,295.7,71300,123.6,127700,7.4,John P Holland Charter School,Passaic,K. Charter,C,,,1,Passaic,618.0
80,6080,22307147,12318619,11168003,795360,355256,2910091,2261099,5939560,2646737,1138877,0,0,0,119250,15.1,56000,260.3,63000,911,109442,64,Passaic Arts And Science Charter School,Passaic,K. Charter,C,,,1,Passaic,1822.0
80,6096,13910172,7101050,6310626,482821,307603,1938375,1589888,3542830,1576102,1327917,0,0,0,421661,13.8,55300,127.2,62347,954,104886,76.5,Paterson Arts And Science Charter School,Passaic,K. Charter,C,,,1,Passaic,954.0
80,6106,6445714,3193679,3045629,115050,33000,1126661,784593,1244375,887760,880999,0,0,0,0,14,55193,122,63360,80.2,82500,6.4,Philip’s Charter School Of Paterson,Passaic,K. Charter,C,,,1,Passaic,433.0
80,6230,2151525,1068375,1006935,46327,15113,223868,177978,479748,296000,379534,0,0,0,0,12.1,44402,85,44792,85,74250,8,Classical Academy Charter School Of Clif,Passaic,K. Charter,C,,,1,Passaic,170.0
80,7503,24717905,12611054,11864318,424725,322011,4789442,3753246,3864967,3084978,3351650,0,0,0,590600,11.4,56825,78.5,64325,135.6,105320,13.6,Paterson Cs For Sci/Tech,Passaic,K. Charter,C,,,1,Passaic,1492.0
80,7892,17945929,9579964,6892211,780000,1907753,2075989,1305989,3460976,1846405,2749000,0,0,0,327700,15.7,61000,290,62750,89.2,103320,6,College Achieve Paterson Charter School,Passaic,K. Charter,C,,,1,Passaic,1160.0
