CO,CONAME,DIST,DISTNAME,LEG_DIST
5,BURLINGTON,3920,PALMYRA BORO,7
5,BURLINGTON,4040,PEMBERTON TWP (PEMBERTON BORO),8
5,BURLINGTON,4050,PEMBERTON TWP,8
5,BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,8
5,BURLINGTON,4450,RIVERSIDE TWP,7
5,BURLINGTON,4460,RIVERTON,7
5,BURLINGTON,4740,SHAMONG TWP,8
5,BURLINGTON,4930,SOUTHAMPTON TWP,8
5,BURLINGTON,5010,SPRINGFIELD TWP,8
5,BURLINGTON,5130,TABERNACLE TWP,8
5,BURLINGTON,5490,WASHINGTON TWP,8
5,BURLINGTON,5720,WESTAMPTON,8
5,BURLINGTON,5805,WILLINGBORO TWP,7
5,BURLINGTON,5890,WOODLAND TWP,8
7,CAMDEN,150,AUDUBON BORO,5
7,CAMDEN,150,AUDUBON BORO,6
7,CAMDEN,160,AUDUBON BORO (AUDUBON PARK),6
7,CAMDEN,190,BARRINGTON BORO,5
7,CAMDEN,260,BELLMAWR BORO,5
7,CAMDEN,330,BERLIN BORO,6
7,CAMDEN,340,BERLIN TWP,6
7,CAMDEN,390,BLACK HORSE PIKE REGIONAL,4
7,CAMDEN,390,BLACK HORSE PIKE REGIONAL,5
7,CAMDEN,580,BROOKLAWN BORO,5
7,CAMDEN,680,CAMDEN CITY,5
7,CAMDEN,700,CAMDEN COUNTY VOCATIONAL,4
7,CAMDEN,700,CAMDEN COUNTY VOCATIONAL,5
7,CAMDEN,700,CAMDEN COUNTY VOCATIONAL,6
7,CAMDEN,800,CHERRY HILL TWP,6
7,CAMDEN,810,CHESILHURST,4
7,CAMDEN,880,CLEMENTON BORO,6
7,CAMDEN,940,COLLINGSWOOD BORO,5
7,CAMDEN,1255,EASTERN CAMDEN COUNTY REG,6
7,CAMDEN,1720,GIBBSBORO BORO,6
7,CAMDEN,1770,GLOUCESTER CITY,5
7,CAMDEN,1780,GLOUCESTER TWP,4
7,CAMDEN,1880,HADDON HEIGHTS BORO,5
7,CAMDEN,1890,HADDON TWP,6
7,CAMDEN,1900,HADDONFIELD,6
7,CAMDEN,2130,HI NELLA,6
7,CAMDEN,2540,LAUREL SPRINGS BORO,6
7,CAMDEN,2560,LAWNSIDE BORO,6
7,CAMDEN,2670,LINDENWOLD BORO,6
7,CAMDEN,2890,MAGNOLIA BORO,6
7,CAMDEN,3110,MERCHANTVILLE BORO,5
7,CAMDEN,3420,MOUNT EPHRAIM BORO,5
7,CAMDEN,3770,OAKLYN BORO,6
7,CAMDEN,4060,PENNSAUKEN TWP,5
7,CAMDEN,4110,PINE HILL BORO,6
7,CAMDEN,4590,RUNNEMEDE BORO,5
7,CAMDEN,4790,SOMERDALE BORO,6
7,CAMDEN,5035,STERLING HIGH SCHOOL DIST,6
7,CAMDEN,5080,STRATFORD BORO,6
7,CAMDEN,5140,HADDONFIELD (TAVISTOCK),6
7,CAMDEN,5400,VOORHEES TWP,6
7,CAMDEN,5560,WATERFORD TWP,4
7,CAMDEN,5820,WINSLOW TWP,4
7,CAMDEN,5900,WOODLYNNE BORO,5
9,CAPE MAY,170,AVALON BORO,1
9,CAPE MAY,710,CAPE MAY CITY,1
9,CAPE MAY,720,CAPE MAY CO VOCATIONAL,1
9,CAPE MAY,730,CAPE MAY POINT,1
9,CAPE MAY,1080,DENNIS TWP,1
9,CAPE MAY,2820,LOWER CAPE MAY REGIONAL,1
9,CAPE MAY,2840,LOWER TWP,1
9,CAPE MAY,3130,MIDDLE TWP,1
9,CAPE MAY,3680,NORTH WILDWOOD CITY,1
9,CAPE MAY,3780,OCEAN CITY,1
9,CAPE MAY,4700,SEA ISLE CITY,1
9,CAPE MAY,5060,STONE HARBOR BORO,1
9,CAPE MAY,5340,UPPER TWP,1
9,CAPE MAY,5610,WEST CAPE MAY BORO,1
9,CAPE MAY,5700,WEST WILDWOOD,1
9,CAPE MAY,5790,WILDWOOD CITY,1
9,CAPE MAY,5800,WILDWOOD CREST BORO,1
9,CAPE MAY,5840,WOODBINE BORO,1
11,CUMBERLAND,540,BRIDGETON CITY,1
11,CUMBERLAND,950,COMMERCIAL TWP,1
11,CUMBERLAND,995,CUMBERLAND CO VOCATIONAL,1
11,CUMBERLAND,995,CUMBERLAND CO VOCATIONAL,3
11,CUMBERLAND,997,CUMBERLAND REGIONAL,1
11,CUMBERLAND,997,CUMBERLAND REGIONAL,3
11,CUMBERLAND,1020,DEERFIELD TWP,3
11,CUMBERLAND,1120,DOWNE TWP,1
11,CUMBERLAND,1460,FAIRFIELD TWP,1
11,CUMBERLAND,1820,GREENWICH TWP,3
11,CUMBERLAND,2270,HOPEWELL TWP,3
11,CUMBERLAND,2570,LAWRENCE TWP,1
11,CUMBERLAND,3050,MAURICE RIVER TWP,1
11,CUMBERLAND,3230,MILLVILLE CITY,1
11,CUMBERLAND,4750,HOPEWELL TWP (SHILOH BORO),3
11,CUMBERLAND,5070,STOW CREEK TWP,3
11,CUMBERLAND,5300,UPPER DEERFIELD TWP,3
11,CUMBERLAND,5390,VINELAND CITY,1
13,ESSEX,250,BELLEVILLE TOWN,34
13,ESSEX,410,BLOOMFIELD TWP,34
13,ESSEX,660,CALDWELL-WEST CALDWELL,40
13,ESSEX,760,CEDAR GROVE TWP,40
13,ESSEX,1210,EAST ORANGE,34
13,ESSEX,1390,ESSEX CO VOC-TECH,27
13,ESSEX,1390,ESSEX CO VOC-TECH,28
13,ESSEX,1390,ESSEX CO VOC-TECH,29
13,ESSEX,1390,ESSEX CO VOC-TECH,34
13,ESSEX,1390,ESSEX CO VOC-TECH,40
13,ESSEX,1400,ESSEX FELLS BORO,40
13,ESSEX,1465,FAIRFIELD TWP,40
13,ESSEX,1750,GLEN RIDGE BORO,34
13,ESSEX,2330,IRVINGTON TOWNSHIP,28
13,ESSEX,2730,LIVINGSTON TWP,27
13,ESSEX,3190,MILLBURN TWP,27
13,ESSEX,3310,MONTCLAIR TOWN,27
13,ESSEX,3570,NEWARK CITY,28
13,ESSEX,3570,NEWARK CITY,29
13,ESSEX,3630,NORTH CALDWELL BORO,40
13,ESSEX,3750,NUTLEY TOWN,34
13,ESSEX,3880,CITY OF ORANGE TWP,34
13,ESSEX,4530,ROSELAND BORO,27
13,ESSEX,4900,SOUTH ORANGE-MAPLEWOOD,28
13,ESSEX,5370,VERONA BORO,40
13,ESSEX,5630,WEST ESSEX REGIONAL,27
13,ESSEX,5630,WEST ESSEX REGIONAL,40
13,ESSEX,5680,WEST ORANGE TOWN,27
15,GLOUCESTER,860,CLAYTON BORO,3
15,GLOUCESTER,870,CLEARVIEW REGIONAL,3
15,GLOUCESTER,1100,DEPTFORD TWP,5
15,GLOUCESTER,1180,EAST GREENWICH TWP,3
15,GLOUCESTER,1330,ELK TWP,3
15,GLOUCESTER,1590,FRANKLIN TWP,4
15,GLOUCESTER,1715,GATEWAY REGIONAL,3
15,GLOUCESTER,1715,GATEWAY REGIONAL,5
15,GLOUCESTER,1730,GLASSBORO,3
15,GLOUCESTER,1775,GLOUCESTER CO VOCATIONAL,3
15,GLOUCESTER,1775,GLOUCESTER CO VOCATIONAL,4
15,GLOUCESTER,1775,GLOUCESTER CO VOCATIONAL,5
15,GLOUCESTER,1830,GREENWICH TWP,3
15,GLOUCESTER,2070,HARRISON TWP,3
15,GLOUCESTER,2440,KINGSWAY REGIONAL,3
15,GLOUCESTER,2750,LOGAN TWP,3
15,GLOUCESTER,2990,MANTUA TWP,3
15,GLOUCESTER,3280,MONROE TWP,4
15,GLOUCESTER,3490,NATIONAL PARK BORO,3
15,GLOUCESTER,3580,NEWFIELD BORO,4
15,GLOUCESTER,4020,PAULSBORO BORO,3
15,GLOUCESTER,4140,PITMAN BORO,3
15,GLOUCESTER,4880,SOUTH HARRISON TWP,3
15,GLOUCESTER,4940,DELSEA REGIONAL H.S DIST.,3
15,GLOUCESTER,4940,DELSEA REGIONAL H.S DIST.,4
15,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,3
15,GLOUCESTER,5500,WASHINGTON TWP,4
15,GLOUCESTER,5590,WENONAH BORO,3
15,GLOUCESTER,5620,WEST DEPTFORD TWP,3
15,GLOUCESTER,5740,WESTVILLE BORO,3
15,GLOUCESTER,5860,WOODBURY CITY,5
15,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,5
17,HUDSON,220,BAYONNE CITY,31
17,HUDSON,1200,EAST NEWARK BORO,29
17,HUDSON,1850,GUTTENBERG TOWN,33
17,HUDSON,2060,HARRISON TOWN,29
17,HUDSON,2210,HOBOKEN CITY,32
17,HUDSON,2295,HUDSON COUNTY VOCATIONAL,29
17,HUDSON,2295,HUDSON COUNTY VOCATIONAL,31
17,HUDSON,2295,HUDSON COUNTY VOCATIONAL,32
17,HUDSON,2295,HUDSON COUNTY VOCATIONAL,33
17,HUDSON,2390,JERSEY CITY,31
17,HUDSON,2390,JERSEY CITY,32
17,HUDSON,2410,KEARNY TOWN,31
17,HUDSON,3610,NORTH BERGEN TWP,33
17,HUDSON,4730,SECAUCUS TOWN,33
17,HUDSON,5240,UNION CITY,33
17,HUDSON,5580,WEEHAWKEN TWP,33
17,HUDSON,5670,WEST NEW YORK TOWN,33
19,HUNTERDON,20,ALEXANDRIA TWP,23
19,HUNTERDON,370,BETHLEHEM TWP,23
19,HUNTERDON,430,BLOOMSBURY BORO,23
19,HUNTERDON,670,CALIFON BORO,23
19,HUNTERDON,910,CLINTON TOWN,16
19,HUNTERDON,910,CLINTON TOWN,23
19,HUNTERDON,920,CLINTON TWP,16
19,HUNTERDON,1040,DELAWARE TWP,15
19,HUNTERDON,1050,DELAWARE VALLEY REGIONAL,15
19,HUNTERDON,1050,DELAWARE VALLEY REGIONAL,23
19,HUNTERDON,1160,EAST AMWELL TWP,15
19,HUNTERDON,1376,SOUTH-HUNTERDON,15
19,HUNTERDON,1510,FLEMINGTON-RARITAN REG,16
19,HUNTERDON,1600,FRANKLIN TWP,23
19,HUNTERDON,1680,FRENCHTOWN BORO,15
19,HUNTERDON,1740,CLINTON TOWN (GLEN GARDNER),23
19,HUNTERDON,1970,HAMPTON BORO,23
19,HUNTERDON,2140,HIGH BRIDGE BORO,16
19,HUNTERDON,2220,HOLLAND TWP,23
19,HUNTERDON,2300,HUNTERDON CENTRAL REG,15
19,HUNTERDON,2300,HUNTERDON CENTRAL REG,16
19,HUNTERDON,2308,HUNTERDON CO VOCATIONAL,15
19,HUNTERDON,2308,HUNTERDON CO VOCATIONAL,16
19,HUNTERDON,2308,HUNTERDON CO VOCATIONAL,23
19,HUNTERDON,2450,KINGWOOD TWP,15
19,HUNTERDON,2590,LEBANON BORO,16
19,HUNTERDON,2600,LEBANON TWP,23
19,HUNTERDON,3180,MILFORD BORO,23
19,HUNTERDON,3660,N HUNT/VOORHEES REGIONAL,16
19,HUNTERDON,3660,N HUNT/VOORHEES REGIONAL,23
19,HUNTERDON,4350,READINGTON TWP,16
19,HUNTERDON,5180,TEWKSBURY TWP,23
19,HUNTERDON,5270,UNION TWP,23
21,MERCER,1245,EAST WINDSOR REGIONAL,14
21,MERCER,1430,EWING TWP,15
21,MERCER,1950,HAMILTON TWP,14
21,MERCER,2280,HOPEWELL VALLEY REGIONAL,15
21,MERCER,2580,LAWRENCE TWP,15
21,MERCER,3105,MERCER COUNTY VOCATIONAL,14
21,MERCER,3105,MERCER COUNTY VOCATIONAL,15
21,MERCER,3105,MERCER COUNTY VOCATIONAL,16
21,MERCER,4255,PRINCETON,16
21,MERCER,5210,TRENTON CITY,15
21,MERCER,5510,ROBBINSVILLE TWP,14
21,MERCER,5715,W WINDSOR-PLAINSBORO REG,14
21,MERCER,5715,W WINDSOR-PLAINSBORO REG,15
23,MIDDLESEX,750,CARTERET BORO,19
23,MIDDLESEX,970,CRANBURY TWP,14
23,MIDDLESEX,1140,DUNELLEN BORO,21
23,MIDDLESEX,1170,EAST BRUNSWICK TWP,18
23,MIDDLESEX,1290,EDISON TWP,18
23,MIDDLESEX,2110,SPOTSWOOD (HELMETTA),12
23,MIDDLESEX,2150,HIGHLAND PARK BORO,18
23,MIDDLESEX,2370,JAMESBURG BORO,14
23,MIDDLESEX,3120,METUCHEN BORO,18
23,MIDDLESEX,3140,MIDDLESEX BORO,21
23,MIDDLESEX,3150,MIDDLESEX CO VOCATIONAL,12
23,MIDDLESEX,3150,MIDDLESEX CO VOCATIONAL,14
23,MIDDLESEX,3150,MIDDLESEX CO VOCATIONAL,16
23,MIDDLESEX,3150,MIDDLESEX CO VOCATIONAL,17
23,MIDDLESEX,3150,MIDDLESEX CO VOCATIONAL,18
23,MIDDLESEX,3150,MIDDLESEX CO VOCATIONAL,19
23,MIDDLESEX,3150,MIDDLESEX CO VOCATIONAL,21
23,MIDDLESEX,3220,MILLTOWN BORO,18
23,MIDDLESEX,3290,MONROE TWP,14
23,MIDDLESEX,3530,NEW BRUNSWICK CITY,17
23,MIDDLESEX,3620,NORTH BRUNSWICK TWP,17
23,MIDDLESEX,3845,OLD BRIDGE TWP,12
23,MIDDLESEX,4090,PERTH AMBOY CITY,19
23,MIDDLESEX,4130,PISCATAWAY TWP,17
23,MIDDLESEX,4660,SAYREVILLE BORO,19
23,MIDDLESEX,4830,SOUTH AMBOY CITY,19
23,MIDDLESEX,4860,SOUTH BRUNSWICK TWP,16
23,MIDDLESEX,4910,SOUTH PLAINFIELD BORO,18
23,MIDDLESEX,4920,SOUTH RIVER BORO,18
23,MIDDLESEX,4970,SPOTSWOOD,12
23,MIDDLESEX,5850,WOODBRIDGE TWP,19
25,MONMOUTH,50,ALLENHURST,11
25,MONMOUTH,100,ASBURY PARK CITY,11
25,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,13
25,MONMOUTH,180,AVON BORO,30
25,MONMOUTH,270,BELMAR BORO,30
25,MONMOUTH,500,BRADLEY BEACH BORO,11
25,MONMOUTH,560,BRIELLE BORO,10
25,MONMOUTH,945,COLTS NECK TWP,11
25,MONMOUTH,1000,DEAL BORO,11
25,MONMOUTH,1260,EATONTOWN BORO,11
25,MONMOUTH,1440,FAIR HAVEN BORO,11
25,MONMOUTH,1456,HENRY HUDSON REGIONAL,13
25,MONMOUTH,1490,FARMINGDALE BORO,30
25,MONMOUTH,1640,FREEHOLD BORO,11
25,MONMOUTH,1650,FREEHOLD REGIONAL,11
25,MONMOUTH,1650,FREEHOLD REGIONAL,12
25,MONMOUTH,1650,FREEHOLD REGIONAL,13
25,MONMOUTH,1650,FREEHOLD REGIONAL,30
25,MONMOUTH,1660,FREEHOLD TWP,11
25,MONMOUTH,2105,HAZLET TWP,13
25,MONMOUTH,2160,HIGHLANDS BORO,13
25,MONMOUTH,2230,HOLMDEL TWP,13
25,MONMOUTH,2290,HOWELL TWP,30
25,MONMOUTH,2320,INTERLAKEN,11
25,MONMOUTH,2400,KEANSBURG BORO,13
25,MONMOUTH,2430,KEYPORT BORO,13
25,MONMOUTH,2720,LITTLE SILVER BORO,13
25,MONMOUTH,2770,LONG BRANCH CITY,11
25,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,12
25,MONMOUTH,2930,MANASQUAN BORO,10
25,MONMOUTH,3030,MARLBORO TWP,13
25,MONMOUTH,3040,MATAWAN-ABERDEEN REGIONAL,12
25,MONMOUTH,3040,MATAWAN-ABERDEEN REGIONAL,13
25,MONMOUTH,3160,MIDDLETOWN TWP,13
25,MONMOUTH,3200,MILLSTONE TWP,12
25,MONMOUTH,3250,MONMOUTH BEACH BORO,13
25,MONMOUTH,3260,MONMOUTH CO VOCATIONAL,10
25,MONMOUTH,3260,MONMOUTH CO VOCATIONAL,11
25,MONMOUTH,3260,MONMOUTH CO VOCATIONAL,12
25,MONMOUTH,3260,MONMOUTH CO VOCATIONAL,13
25,MONMOUTH,3260,MONMOUTH CO VOCATIONAL,30
25,MONMOUTH,3270,MONMOUTH REGIONAL,11
25,MONMOUTH,3500,NEPTUNE CITY,11
25,MONMOUTH,3510,NEPTUNE TWP,11
25,MONMOUTH,3810,OCEAN TWP,11
25,MONMOUTH,3830,OCEANPORT BORO,13
25,MONMOUTH,4360,RED BANK BORO,11
25,MONMOUTH,4365,RED BANK REGIONAL,11
25,MONMOUTH,4365,RED BANK REGIONAL,13
25,MONMOUTH,4520,ROOSEVELT BORO,12
25,MONMOUTH,4570,RUMSON BORO,13
25,MONMOUTH,4580,RUMSON-FAIR HAVEN REG,11
25,MONMOUTH,4580,RUMSON-FAIR Haven Reg,13
25,MONMOUTH,4680,OCEANPORT BORO (SEA BRIGHT),13
25,MONMOUTH,4690,SEA GIRT BORO,10
25,MONMOUTH,4760,SHORE REGIONAL,13
25,MONMOUTH,4770,SHREWSBURY BORO,11
25,MONMOUTH,4840,LAKE COMO,30
25,MONMOUTH,4980,SPRING LAKE BORO,10
25,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,10
25,MONMOUTH,5185,TINTON FALLS,11
25,MONMOUTH,5230,UNION BEACH,13
25,MONMOUTH,5310,UPPER FREEHOLD REGIONAL,12
25,MONMOUTH,5420,WALL TWP,30
25,MONMOUTH,5640,WEST LONG BRANCH BORO,13
25,MONMOUTH,5645,LOCH ARBOUR,11
27,MORRIS,450,BOONTON TOWN,26
27,MORRIS,460,BOONTON TWP,25
27,MORRIS,630,BUTLER BORO,25
27,MORRIS,785,SCH DIST OF THE CHATHAMS,21
27,MORRIS,820,CHESTER TWP,24
27,MORRIS,1090,DENVILLE TWP,26
27,MORRIS,1110,DOVER TOWN,25
27,MORRIS,1190,EAST HANOVER TWP,26
27,MORRIS,1530,FLORHAM PARK BORO,26
27,MORRIS,1990,HANOVER PARK REGIONAL,26
27,MORRIS,2000,HANOVER TWP,26
27,MORRIS,2010,HARDING TOWNSHIP,25
27,MORRIS,2380,JEFFERSON TWP,25
27,MORRIS,2460,KINNELON BORO,25
27,MORRIS,2650,LINCOLN PARK BORO,26
27,MORRIS,2870,MADISON BORO,25
27,MORRIS,3090,MENDHAM BORO,25
27,MORRIS,3100,MENDHAM TWP,25
27,MORRIS,3240,MINE HILL TWP,25
27,MORRIS,3340,MONTVILLE TWP,26
27,MORRIS,3365,MORRIS COUNTY VOCATIONAL,21
27,MORRIS,3365,MORRIS COUNTY VOCATIONAL,24
27,MORRIS,3365,MORRIS COUNTY VOCATIONAL,25
27,MORRIS,3365,MORRIS COUNTY VOCATIONAL,26
27,MORRIS,3370,MORRIS HILLS REGIONAL,25
27,MORRIS,3370,MORRIS HILLS REGIONAL,26
27,MORRIS,3380,MORRIS PLAINS BORO,26
27,MORRIS,3385,MORRIS SCHOOL DISTRICT,25
27,MORRIS,3410,MOUNT ARLINGTON BORO,25
27,MORRIS,3450,MOUNT OLIVE TWP,24
27,MORRIS,3460,MOUNTAIN LAKES BORO,26
27,MORRIS,3520,NETCONG BORO,24
27,MORRIS,3950,PARSIPPANY-TROY HILLS TWP,26
27,MORRIS,4000,LONG HILL TWP,21
27,MORRIS,4080,PEQUANNOCK TWP,26
27,MORRIS,4330,RANDOLPH TWP,25
27,MORRIS,4440,RIVERDALE BORO,26
27,MORRIS,4480,ROCKAWAY BORO,25
27,MORRIS,4490,ROCKAWAY TWP,25
27,MORRIS,4560,ROXBURY TWP,24
27,MORRIS,5380,DOVER TOWN (VICTORY GARDENS),25
27,MORRIS,5520,WASHINGTON TWP,24
27,MORRIS,5660,WEST MORRIS REGIONAL,24
27,MORRIS,5660,WEST MORRIS REGIONAL,25
27,MORRIS,5770,WHARTON BORO,25
29,OCEAN,185,BARNEGAT TWP,9
29,OCEAN,210,BAY HEAD BORO,10
29,OCEAN,230,BEACH HAVEN BORO,9
29,OCEAN,320,BERKELEY TWP,9
29,OCEAN,530,BRICK TWP,10
29,OCEAN,770,CENTRAL REGIONAL,9
29,OCEAN,770,CENTRAL REGIONAL,10
29,OCEAN,1150,EAGLESWOOD TWP,9
29,OCEAN,2350,ISLAND HEIGHTS BORO,10
29,OCEAN,2360,JACKSON TWP,12
29,OCEAN,2480,LACEY TWP,9
29,OCEAN,2500,LAKEHURST BORO,9
29,OCEAN,2520,LAKEWOOD TWP,30
29,OCEAN,2550,LAVALLETTE BORO,10
29,OCEAN,2690,LITTLE EGG HARBOR TWP,9
