GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
H. 7-12 / 9-12,BURLINGTON,3690,NORTHERN BURLINGTON REG,12984,5|46,13673,7|46,14248,6|46,2105,2024,2100,
H. 7-12 / 9-12,BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,11973,3|46,12805,3|46,13746,3|46,2066,2034,2103,
H. 7-12 / 9-12,CAMDEN,390,BLACK HORSE PIKE REGIONAL,13376,8|46,13992,9|46,15719,11|46,3752,3705,3728,
H. 7-12 / 9-12,CAMDEN,1255,EASTERN CAMDEN COUNTY REG,14483,11|46,14268,10|46,15420,10|46,1994,2023,2038,
H. 7-12 / 9-12,CAMDEN,5035,STERLING HIGH SCHOOL DIST,13774,9|46,13680,8|46,15300,9|46,954,966,961,
H. 7-12 / 9-12,CAPE MAY,2820,LOWER CAPE MAY REGIONAL,16370,29|46,17209,32|46,18626,34|46,1406,1354,1381,
H. 7-12 / 9-12,CUMBERLAND,997,CUMBERLAND REGIONAL,12963,4|46,13383,4|46,14137,4|46,1255,1217,1208,
H. 7-12 / 9-12,ESSEX,5630,WEST ESSEX REGIONAL,17253,34|46,16818,28|46,18057,30|46,1646,1711,1727,
H. 7-12 / 9-12,GLOUCESTER,870,CLEARVIEW REGIONAL,11283,2|46,11559,2|46,12747,2|46,2424,2403,2390,
H. 7-12 / 9-12,GLOUCESTER,1715,GATEWAY REGIONAL,16329,27|46,16704,26|46,17893,27|46,926,915,944,
H. 7-12 / 9-12,GLOUCESTER,2440,KINGSWAY REGIONAL,10268,1|46,10436,1|46,10362,1|46,2522,2556,2694,
H. 7-12 / 9-12,GLOUCESTER,4940,DELSEA REGIONAL H.S DIST.,13780,10|46,14715,12|46,15990,16|46,1695,1608,1638,
H. 7-12 / 9-12,HUNTERDON,1050,DELAWARE VALLEY REGIONAL,16335,28|46,17340,33|46,18848,36|46,894,880,846,
H. 7-12 / 9-12,HUNTERDON,2300,HUNTERDON CENTRAL REG,15433,22|46,15555,21|46,17593,24|46,2924,2935,2938,
H. 7-12 / 9-12,HUNTERDON,3660,N HUNT/VOORHEES REGIONAL,15273,19|46,15330,18|46,18378,33|46,2813,2790,2657,
H. 7-12 / 9-12,MONMOUTH,1650,FREEHOLD REGIONAL,13060,6|46,13470,5|46,14797,7|46,11066,10908,10813,
H. 7-12 / 9-12,MONMOUTH,2120,HENRY HUDSON REGIONAL,20757,46|46,19882,43|46,23179,46|46,307,295,303,
H. 7-12 / 9-12,MONMOUTH,3270,MONMOUTH REGIONAL,20183,45|46,19952,44|46,21239,45|46,948,984,978,
H. 7-12 / 9-12,MONMOUTH,4365,RED BANK REGIONAL,17790,38|46,18286,38|46,19074,38|46,1201,1185,1210,
H. 7-12 / 9-12,MONMOUTH,4580,RUMSON-FAIR HAVEN REG,15452,23|46,14851,13|46,16280,17|46,936,987,985,
H. 7-12 / 9-12,MONMOUTH,4760,SHORE REGIONAL,19232,43|46,19619,42|46,18833,35|46,615,610,634,
H. 7-12 / 9-12,MORRIS,1990,HANOVER PARK REGIONAL,15454,24|46,16069,24|46,17393,22|46,1599,1527,1562,
H. 7-12 / 9-12,MORRIS,3370,MORRIS HILLS REGIONAL,17441,36|46,17893,36|46,17750,25|46,2777,2726,2944,
H. 7-12 / 9-12,MORRIS,5660,WEST MORRIS REGIONAL,14754,16|46,15348,19|46,16648,19|46,2659,2598,2522,
H. 7-12 / 9-12,OCEAN,770,CENTRAL REGIONAL,14577,13|46,14652,11|46,15075,8|46,1923,1973,1985,
H. 7-12 / 9-12,OCEAN,4105,PINELANDS REGIONAL,17256,35|46,17363,34|46,18201,32|46,1564,1550,1557,
H. 7-12 / 9-12,OCEAN,4950,SOUTHERN REGIONAL,15341,21|46,15999,23|46,17402,23|46,2923,2862,2849,
H. 7-12 / 9-12,PASSAIC,2510,LAKELAND REGIONAL,18351,39|46,19016,40|46,20388,42|46,999,990,968,
H. 7-12 / 9-12,PASSAIC,3980,PASSAIC CO MANCHESTER REG,13151,7|46,13590,6|46,14201,5|46,912,871,853,
H. 7-12 / 9-12,PASSAIC,3990,PASSAIC VALLEY REGIONAL,14652,15|46,16167,25|46,16489,18|46,1340,1256,1336,
