GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,44.9,70|75,71403,14|75,54.8,65|75,70707,12|75
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,332,N.A.,80492,N.A.,400,1|75,132525,70|75
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,188,8|75,100025,44|75,388,2|75,500,1|75
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,13.6,75|75,95509,40|75,14.3,72|75,97419,33|75
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,67.5,60|75,100364,46|75,63.3,59|75,107772,50|75
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,22.7,74|75,95509,40|75,25,71|75,97419,33|75
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,78.8,51|75,94457,37|75,70.9,57|75,96346,31|75
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,67.2,61|75,67072,12|75,114,24|75,90352,28|75
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,108.3,31|75,102000,51|75,110,26|75,105060,47|75
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,180,9|75,96101,42|75,185,6|75,98023,36|75
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,30,73|75,105138,54|75,31,70|75,107500,48|75
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,56,67|75,105138,54|75,61.5,61|75,107500,48|75
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,77.4,53|75,58128,8|75,255.1,3|75,58791,5|75
B. K-8 / 0 - 400,HUNTERDON,370,BETHLEHEM TWP,86.2,45|75,91000,33|75,72.4,55|75,94640,30|75
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,120,23|75,95000,38|75,108,27|75,97565,35|75
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,51.4,69|75,54930,5|75,43.5,68|75,54980,4|75
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,107.3,32|75,127500,71|75,104.7,29|75,132100,68|75
B. K-8 / 0 - 400,HUNTERDON,1040,DELAWARE TWP,111.7,N.A.,93503,N.A.,129.3,19|75,82922,20|75
B. K-8 / 0 - 400,HUNTERDON,1160,EAST AMWELL TWP,108.4,30|75,117394,65|75,104.5,31|75,117394,61|75
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,100.3,39|75,91800,35|75,97.3,36|75,120000,63|75
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,140,16|75,100940,48|75,129,20|75,105000,45|75
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,40.7,71|75,84650,27|75,47,67|75,86500,24|75
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,85.9,46|75,95000,38|75,78.4,48|75,101990,41|75
B. K-8 / 0 - 400,HUNTERDON,2450,KINGWOOD TWP,107.2,33|75,121069,69|75,157.3,10|75,127598,66|75
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,73.6,58|75,64121,11|75,62.8,60|75,64121,7|75
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,52.5,68|75,57900,7|75,,N.R.,,N.R.
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,84.9,47|75,77150,19|75,71.8,56|75,104151,44|75
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,75,56|75,110325,60|75,75,53|75,113636,59|75
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,83,48|75,100591,47|75,80.6,45|75,102603,42|75
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,126.7,20|75,89175,31|75,100.4,32|75,90000,27|75
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,145.2,13|75,130000,73|75,129.6,18|75,132500,69|75
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,61.2,63|75,104525,53|75,58.8,63|75,108400,51|75
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,103.5,34|75,102121,52|75,65.3,58|75,111973,56|75
