CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
80,6017,13232711,7210869,6489845,386546,334478,613416,467952,3585264,2951371,1754459,296255,0,54389,49673,Foundation Academy Cs,Mercer,K. Charter,C,,,1,1044,13.4,61627,208.8,59338,208.8,127618,16.6,Mercer
80,6025,5408011,2968232,2367321,149357,451554,0,0,1532342,1219388,876749,20105,30689,0,0,Paul Robeson Humanities  Charter School,Mercer,K. Charter,C,,,1,375,,,,,,,,Mercer
80,6183,9453569,3726725,2891396,486088,349241,0,0,3922978,3249417,1696389,0,107477,0,25230,Trenton Stem-To-Civics Cs,Mercer,K. Charter,C,,,1,565.4,16.6,54000,188.3,80000,188.3,135000,12.3,Mercer
80,6810,1285493,643275,584645,29353,29277,139632,110706,352821,291872,149765,0,0,0,0,International Charter School,Mercer,K. Charter,C,,,1,89.6,10.7,53557,90,54332,90,110480,9.4,Mercer
80,7500,4265402,2577205,2414378,118089,44738,236325,222538,637782,521669,814090,0,0,0,79473,Pace Cs Of Hamilton,Mercer,K. Charter,C,,,1,339,12.6,53000,339,65000,169.5,112499,14,Mercer
80,7540,6260137,3913323,3631720,184475,97128,167969,122966,1478619,811391,663940,68039,31430,4856,2300,Princeton Cs,Mercer,K. Charter,C,,,1,421.8,10.8,65000,527.5,75785,140.7,132070,13.3,Mercer
80,7895,981848,454001,391904,21826,40271,0,0,418233,231155,109614,0,0,0,0,Achievers Early College Prep Charter Sch,Mercer,K. Charter,C,,,1,72,14.4,50000,45.6,19320,24,75000,2.2,Mercer
80,8140,4334877,2687653,2288201,226412,173040,269649,255122,843979,756928,533596,167429,0,0,0,Village Cs,Mercer,K. Charter,C,,,1,360,10.6,55000,120,72000,90,137000,9.3,Mercer
80,6032,7911148,4196200,3512782,180507,502911,871374,734022,1549388,1203599,1187173,460404,0,107013,113236,Academy For Urban Leadership Charter Sch,Middlesex,K. Charter,C,,,1,552.1,10.6,53000,78.9,53000,78.9,105000,8.4,Middlesex
80,6041,5816568,3717535,3460993,78767,177775,0,0,1188772,939801,910261,0,0,0,31899,Hatikvah International Cs,Middlesex,K. Charter,C,,,1,489.3,12.7,53522,100.8,31000,163,89604,14.5,Middlesex
80,6635,5202990,3258663,2528132,42269,688262,0,0,1764079,1273086,180248,0,0,0,0,Greater Brunswick Cs,Middlesex,K. Charter,C,,,1,392.4,11.2,57298,126.5,47188,98,92832,9.6,Middlesex
80,7896,1129997,553723,507217,28894,17612,52072,41410,209291,96403,314912,67202,0,0,44857,Middlesex Charter School,Middlesex,K. Charter,C,,,1,89,8.5,46000,80.9,23006,445,7820,58,Middlesex
