Group,Coname,Dist,Distname,PP18,RK18, PCT18 ,PP28,RK28, PCT28 ,PP38,RK38, PCT38 
B. K–8/0–400,Bergen,3350,Moonachie Boro,1526,12|75, 0.087 ,1817,23|75, 0.101 ,1898,29|77, 0.097 
B. K–8/0–400,Bergen,4870,South Hackensack Twp,1400,6|75, 0.084 ,1416,3|75, 0.082 ,1450,6|77, 0.077 
B. K–8/0–400,Burlington,380,Beverly City,1737,21|75, 0.104 ,1620,12|75, 0.098 ,1738,16|77, 0.097 
B. K–8/0–400,Burlington,3540,New Hanover Twp,1375,4|75, 0.065 ,1649,15|75, 0.073 ,1304,3|77, 0.056 
B. K–8/0–400,Burlington,4460,Riverton,1652,13|75, 0.122 ,1796,17|75, 0.123 ,1919,32|77, 0.124 
B. K–8/0–400,Burlington,5890,Woodland Twp,2476,1|75, 0.135 ,2382,70|75, 0.126 ,1909,31|77, 0.105 
B. K–8/0–400,Camden,580,Brooklawn Boro,1423,7|75, 0.099 ,1388,1|75, 0.098 ,1421,5|77, 0.099 
B. K–8/0–400,Camden,1720,Gibbsboro Boro,1515,10|75, 0.100 ,1576,8|75, 0.103 ,1639,9|77, 0.104 
B. K–8/0–400,Camden,2560,Lawnside Boro,1520,11|75, 0.113 ,1951,39|75, 0.126 ,1815,19|77, 0.123 
B. K–8/0–400,Camden,2890,Magnolia Boro,1765,28|75, 0.115 ,1932,36|75, 0.111 ,2129,57|77, 0.107 
B. K–8/0–400,Camden,5900,Woodlynne Boro,1820,27|75, 0.139 ,1552,6|75, 0.112 ,2089,51|77, 0.116 
B. K–8/0–400,Cape May,170,Avalon Boro,2242,63|75, 0.057 ,2188,62|75, 0.066 ,2134,59|77, 0.068 
B. K–8/0–400,Cape May,3680,North Wildwood City,2711,72|75, 0.086 ,1974,43|75, 0.067 ,2036,43|77, 0.057 
B. K–8/0–400,Cape May,5060,Stone Harbor Boro,1988,44|75, 0.079 ,2019,48|75, 0.084 ,2095,52|77, 0.084 
B. K–8/0–400,Cape May,5800,Wildwood Crest Boro,1312,3|75, 0.056 ,1444,4|75, 0.056 ,1243,2|77, 0.046 
B. K–8/0–400,Cape May,5840,Woodbine Boro,2089,56|75, 0.129 ,1942,37|75, 0.119 ,1861,24|77, 0.118 
B. K–8/0–400,Cumberland,1020,Deerfield Twp,1768,23|75, 0.125 ,1986,45|75, 0.118 ,1951,36|77, 0.116 
B. K–8/0–400,Cumberland,1120,Downe Twp,1507,9|75, 0.092 ,1607,9|75, 0.093 ,1670,13|77, 0.090 
B. K–8/0–400,Cumberland,1820,Greenwich Twp,2025,49|75, 0.094 ,1870,29|75, 0.087 ,1157,1|77, 0.071 
B. K–8/0–400,Cumberland,5070,Stow Creek Twp,1695,17|75, 0.106 ,1921,34|75, 0.122 ,1777,18|77, 0.111 
B. K–8/0–400,Hudson,1200,East Newark Boro,1966,38|75, 0.158 ,2039,49|75, 0.168 ,1346,4|77, 0.140 
B. K–8/0–400,Hunterdon,370,Bethlehem Twp,2024,48|75, 0.095 ,2328,67|75, 0.097 ,2056,46|77, 0.087 
B. K–8/0–400,Hunterdon,430,Bloomsbury Boro,2822,74|75, 0.128 ,2349,69|75, 0.114 ,2139,63|77, 0.093 
B. K–8/0–400,Hunterdon,670,Califon Boro,1891,33|75, 0.067 ,1924,35|75, 0.061 ,1885,28|77, 0.053 
B. K–8/0–400,Hunterdon,910,Clinton-Glen Gardner,1819,26|75, 0.103 ,1807,19|75, 0.096 ,1849,23|77, 0.095 
B. K–8/0–400,Hunterdon,1040,Delaware Twp,1903,34|75, 0.098 ,2129,57|75, 0.101 ,2141,64|77, 0.090 
B. K–8/0–400,Hunterdon,1160,East Amwell Twp,2084,55|75, 0.108 ,2080,53|75, 0.106 ,2131,58|77, 0.101 
B. K–8/0–400,Hunterdon,1600,Franklin Twp,2107,57|75, 0.122 ,2166,60|75, 0.113 ,2098,53|77, 0.101 
B. K–8/0–400,Hunterdon,1680,Frenchtown Boro,2033,50|75, 0.096 ,1979,44|75, 0.093 ,2016,42|77, 0.094 
B. K–8/0–400,Hunterdon,1970,Hampton Boro,1380,5|75, 0.067 ,1639,13|75, 0.073 ,1998,40|77, 0.078 
B. K–8/0–400,Hunterdon,2140,High Bridge Boro,1727,19|75, 0.086 ,1646,14|75, 0.082 ,1745,17|77, 0.082 
B. K–8/0–400,Hunterdon,2450,Kingwood Twp,1885,32|75, 0.105 ,1837,26|75, 0.102 ,2059,47|77, 0.096 
B. K–8/0–400,Hunterdon,3180,Milford Boro,2261,64|75, 0.085 ,1748,16|75, 0.071 ,1905,30|77, 0.092 
B. K–8/0–400,Monmouth,180,Avon Boro,1826,28|75, 0.095 ,1967,40|75, 0.097 ,1818,21|77, 0.088 
B. K–8/0–400,Monmouth,500,Bradley Beach Boro,1688,16|75, 0.101 ,1889,32|75, 0.103 ,1817,20|77, 0.093 
B. K–8/0–400,Monmouth,1000,Deal Boro,1933,35|75, 0.092 ,1871,30|75, 0.089 ,1868,25|77, 0.092 
B. K–8/0–400,Monmouth,1490,Farmingdale Boro,2059,52|75, 0.124 ,2230,63|75, 0.126 ,2108,54|77, 0.110 
B. K–8/0–400,Monmouth,3250,Monmouth Beach Boro,1997,45|75, 0.124 ,2082,54|75, 0.113 ,2137,62|77, 0.118 
B. K–8/0–400,Monmouth,3500,Neptune City,2306,67|75, 0.161 ,2397,71|75, 0.132 ,2143,65|77, 0.110 
B. K–8/0–400,Monmouth,4690,Sea Girt Boro,2072,54|75, 0.093 ,1492,5|75, 0.064 ,2143,65|77, 0.073 
B. K–8/0–400,Monmouth,4980,Spring Lake Boro,2606,70|75, 0.104 ,2822,76|75, 0.099 ,2084,50|77, 0.070 
B. K–8/0–400,Monmouth,4990,Spring Lake Heights Boro,2061,53|75, 0.127 ,2043,50|75, 0.129 ,2040,44|77, 0.110 
B. K–8/0–400,Morris,460,Boonton Twp,2127,64|75, 0.122 ,2341,68|75, 0.123 ,2300,72|77, 0.125 
B. K–8/0–400,Morris,2010,Harding Township,1981,41|75, 0.092 ,2146,59|75, 0.088 ,2124,56|77, 0.086 
B. K–8/0–400,Morris,3410,Mount Arlington Boro,2151,59|75, 0.114 ,2139,58|75, 0.114 ,2302,75|77, 0.115 
B. K–8/0–400,Morris,3520,Netcong Boro,1984,43|75, 0.150 ,2312,66|75, 0.156 ,2302,75|77, 0.153 
B. K–8/0–400,Morris,4440,Riverdale Boro,2123,58|75, 0.147 ,2246,64|75, 0.148 ,2301,73|77, 0.139 
B. K–8/0–400,Ocean,210,Bay Head Boro,1740,22|75, 0.086 ,1829,24|75, 0.084 ,1870,26|77, 0.084 
B. K–8/0–400,Ocean,2500,Lakehurst Boro,1685,15|75, 0.099 ,2075,52|75, 0.118 ,1648,10|77, 0.114 
B. K–8/0–400,Ocean,2550,Lavallette Boro,1882,31|75, 0.093 ,1806,18|75, 0.087 ,2042,45|77, 0.096 
B. K–8/0–400,Salem,60,Alloway Twp,1728,20|75, 0.139 ,2006,47|75, 0.158 ,1994,39|77, 0.146 
B. K–8/0–400,Salem,1350,Elsinboro Twp,2158,60|75, 0.160 ,2294,65|75, 0.145 ,2135,60|77, 0.132 
B. K–8/0–400,Salem,2800,Lower Alloways Creek,2047,51|75, 0.122 ,1945,38|75, 0.110 ,2012,41|77, 0.101 
B. K–8/0–400,Salem,2950,Mannington Twp,1998,47|75, 0.132 ,1967,40|75, 0.131 ,2081,49|77, 0.124 
B. K–8/0–400,Salem,3860,Oldmans Twp,1278,2|75, 0.093 ,1564,7|75, 0.110 ,1652,12|77, 0.109 
B. K–8/0–400,Salem,4280,Quinton Twp,1877,30|75, 0.134 ,1917,33|75, 0.136 ,1878,27|77, 0.117 
B. K–8/0–400,Salem,5320,Upper Pittsgrove Twp,1502,8|75, 0.100 ,1611,10|75, 0.099 ,1571,8|77, 0.091 
B. K–8/0–400,Sussex,1930,Hamburg Boro,1980,40|75, 0.090 ,1869,28|75, 0.086 ,2060,48|77, 0.088 
B. K–8/0–400,Sussex,2490,Lafayette Twp,2232,62|75, 0.128 ,2504,74|75, 0.129 ,2301,73|77, 0.109 
B. K–8/0–400,Sussex,3300,Montague Twp,2744,73|75, 0.139 ,3189,77|75, 0.152 ,2221,68|77, 0.129 
B. K–8/0–400,Sussex,3840,Ogdensburg Boro,2288,66|75, 0.125 ,1829,24|75, 0.102 ,1922,33|77, 0.104 
B. K–8/0–400,Sussex,5030,Stanhope Boro,2270,65|75, 0.135 ,2462,72|75, 0.134 ,2296,70|77, 0.121 
B. K–8/0–400,Union,1710,Garwood Boro,1868,29|75, 0.136 ,1866,27|75, 0.132 ,1935,34|77, 0.137 
B. K–8/0–400,Union,5810,Winfield Twp,1772,24|75, 0.102 ,1816,22|75, 0.095 ,1649,11|77, 0.077 
B. K–8/0–400,Warren,70,Alpha Boro,1997,45|75, 0.131 ,2058,51|75, 0.130 ,1954,37|77, 0.104 
B. K–8/0–400,Warren,2040,Harmony Twp,1949,37|75, 0.111 ,2122,56|75, 0.110 ,2302,75|77, 0.107 
B. K–8/0–400,Warren,2250,Hope Twp,2604,69|75, 0.124 ,2721,75|75, 0.117 ,2292,69|77, 0.102 
B. K–8/0–400,Warren,3890,Oxford Twp,1725,18|75, 0.108 ,1617,11|75, 0.099 ,1716,14|77, 0.108 
B. K–8/0–400,Warren,4200,Pohatcong Twp,1680,14|75, 0.104 ,1808,20|75, 0.107 ,1729,15|77, 0.105 
B. K–8/0–400,Warren,5780,White Twp,1942,36|75, 0.096 ,1809,21|75, 0.094 ,1946,35|77, 0.090 
C. K–8/401–750,Statewide,N.A.,1. State average - Operating Type K-8,1721,N.A., 0.108 ,1762,N.A., 0.107 ,1829,N.A., 0.104 
C. K–8/401–750,Statewide,N.A.,2. State median - Operating Type K-8,1843,N.A., 0.112 ,1876,N.A., 0.111 ,1949,N.A., 0.107 
C. K–8/401–750,Statewide,N.A.,5. State average - All operating types,1732,N.A., 0.111 ,1792,N.A., 0.111 ,1804,N.A., 0.106 
C. K–8/401–750,Statewide,N.A.,6. State median - All operating types,1814,N.A., 0.116 ,1866,N.A., 0.115 ,1918,N.A., 0.113 
C. K–8/401–750,Atlantic,570,Brigantine City,1984,54|70, 0.086 ,2054,46|67, 0.083 ,1947,33|67, 0.073 
C. K–8/401–750,Atlantic,1300,Egg Harbor City,1479,12|70, 0.110 ,1515,11|67, 0.103 ,1566,9|67, 0.101 
C. K–8/401–750,Atlantic,3480,Mullica Twp,1553,15|70, 0.122 ,1842,27|67, 0.135 ,2016,38|67, 0.128 
C. K–8/401–750,Atlantic,5350,Ventnor City,2097,62|70, 0.112 ,2030,44|67, 0.101 ,2131,48|67, 0.100 
C. K–8/401–750,Bergen,740,Carlstadt Boro,2084,59|70, 0.130 ,2170,56|67, 0.131 ,2298,64|67, 0.125 
C. K–8/401–750,Bergen,1070,Demarest Boro,1962,50|70, 0.106 ,1956,36|67, 0.104 ,2191,56|67, 0.099 
C. K–8/401–750,Bergen,1380,Englewood Cliffs Boro,2396,69|70, 0.111 ,2361,62|67, 0.110 ,2275,62|67, 0.100 
C. K–8/401–750,Bergen,2050,Harrington Park Boro,1852,37|70, 0.106 ,1970,38|67, 0.103 ,2153,55|67, 0.106 
C. K–8/401–750,Bergen,2200,Ho Ho Kus Boro,1965,51|70, 0.132 ,2083,48|67, 0.133 ,2197,57|67, 0.131 
C. K–8/401–750,Bergen,3730,Northvale Boro,1973,53|70, 0.121 ,2087,50|67, 0.125 ,2134,49|67, 0.121 
C. K–8/401–750,Bergen,3740,Norwood Boro,1764,27|70, 0.121 ,1698,18|67, 0.116 ,1783,18|67, 0.120 
C. K–8/401–750,Bergen,3850,Old Tappan Boro,1891,44|70, 0.117 ,1958,37|67, 0.116 ,2226,59|67, 0.108 
C. K–8/401–750,Bergen,4470,Rochelle Park Twp,2039,57|70, 0.119 ,2017,43|67, 0.120 ,1967,34|67, 0.113 
C. K–8/401–750,Bergen,5880,Woodcliff Lake Boro,2186,N.R., 0.116 ,2207,59|67, 0.118 ,2301,65|67, 0.113 
C. K–8/401–750,Burlington,1030,Delanco Twp,1853,N.R., 0.123 ,1875,32|67, 0.130 ,1849,24|67, 0.133 
