Co,Dist,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,Distname,Coname,Group,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19
7,1770,32957198,20042336,18525374,334223,1182739,4812177,4145428,3104961,2576058,4313605,1955119,0,675643,867224,Gloucester City,Camden,F. K–12/1801–3500,2433.3,12.2,81215,91,82060,142.1,117637,13.2
7,1780,86356738,58999531,55775288,1819603,1404640,10603533,9520861,8129059,6712746,7669532,4089555,0,729993,302369,Gloucester Twp,Camden,D. K–8/751+,6246.4,11.8,72475,69.1,71025,177.8,110000,17.6
7,1880,20870638,12847359,12189971,334465,322923,2742525,2415954,2357792,1876144,2021970,1207412,0,869147,227373,Haddon Heights Boro,Camden,E. K–12/0–1800,1462.6,11.1,58281,72.7,59981,132.3,119323,13.7
7,1890,30568381,17377215,16633000,594373,149842,4841942,3597808,3631516,3212077,3649219,2324165,0,867801,197452,Haddon Twp,Camden,F. K–12/1801–3500,2075.1,12.3,60460,85.7,72399,127.6,134174,11.9
7,1900,34819873,19859044,18260573,819126,779345,5873552,4195131,4032132,3142130,3787058,817283,0,1176786,263439,Haddonfield Boro,Camden,F. K–12/1801–3500,2739.1,12.7,55736,83.9,56837,160.5,108987,14.6
7,2540,2514680,1559274,1414963,107914,36397,409575,176380,300728,209173,240764,24893,0,454,17999,Laurel Springs Boro,Camden,A. K–6,187.7,13.8,56869,86.1,12616,114.8,46176,9.8
7,2560,4777940,2645348,2495076,110529,39743,1011624,733559,599652,402105,500052,200531,0,21264,0,Lawnside Boro,Camden,B. K–8/0–400,307.4,10.2,58000,158.5,46060,79.3,80388,8.3
7,2670,36144776,21659485,20086924,608650,963911,6258664,4906010,3740172,3096836,3684485,1858785,0,773809,135426,Lindenwold Boro,Camden,F. K–12/1801–3500,2778.9,11.2,55734,91.5,70270,138.2,114996,13.9
7,2890,6990892,4559686,4187529,159664,212493,1009702,679727,778832,470681,560198,309668,0,82474,3640,Magnolia Boro,Camden,B. K–8/0–400,403,10.2,75843,126.3,49216,118.8,94670,12.6
7,3110,4989045,3357975,3101033,160582,96360,500172,459630,590738,391368,480316,225806,0,59844,65772,Merchantville Boro,Camden,C. K–8/401–750,410.2,13,64775,86.8,65000,434,132525,38.5
7,3420,5960150,3745381,3577500,66603,101278,995170,709924,713084,550181,492209,193819,0,14306,473,Mount Ephraim Boro,Camden,C. K–8/401–750,406.4,10.6,58789,78.8,61689,160.8,102375,17.2
7,3770,4596117,2591729,2195281,170317,226131,1121546,303967,364923,178078,497369,0,0,15241,140416,Oaklyn Boro,Camden,A. K–6,246.8,9.7,66782,77.7,57605,116.5,121199,13.5
7,4060,75484511,45507934,41858509,2573981,1075444,10521549,8783106,7378548,6310929,9903360,6162790,0,1462634,786194,Pennsauken Twp,Camden,G. K–12/3501+,4663.3,11.8,75770,86.3,78633,169.5,112450,16.4
7,4110,30428978,17656203,16384317,593093,678793,4162285,3651216,2808697,2317767,4891075,1963734,0,820215,542125,Pine Hill Boro,Camden,F. K–12/1801–3500,1852.4,11,66687,71.5,67030,143.1,125396,15
7,4590,12442453,6947362,6353211,376547,217604,2646156,2067280,1334514,1088978,1348039,730477,0,134619,276620,Runnemede Boro,Camden,D. K–8/751+,828.6,11.9,59083,63.8,64251,145.9,115755,14.5
7,4790,7245532,4580780,4129654,115920,335206,954024,786054,897718,678931,705458,0,0,107553,121171,Somerdale Boro,Camden,C. K–8/401–750,486.2,10.1,58395,78,82226,146.8,93169,16.5
7,5035,14077379,7400176,6619860,441928,338388,2264679,1886751,1671973,1399485,1746601,743911,0,989728,327764,Sterling High School Dist,Camden,H. 7–12/9–12,954.7,13.7,73614,82.5,71614,119.6,104955,10.2
7,5080,12020360,7126777,6658958,133923,333896,2051014,1589473,1405842,1213559,1273496,765955,0,143938,0,Stratford Boro,Camden,D. K–8/751+,891.5,12.4,72673,89,83998,142.3,107021,13.1
7,5400,43749739,29246502,27228764,958143,1059595,5537542,5305600,3965470,3106135,4625849,1695142,0,352655,136012,Voorhees Twp,Camden,D. K–8/751+,2990,12.9,72780,74.3,80364,176.2,129474,16.1
7,5560,15459929,8030492,7466188,494872,69432,3359138,2248962,1630531,1271194,2392215,639701,0,4681,241640,Waterford Twp,Camden,A. K–6,831.7,10.2,60324,56.9,62550,145.4,105593,16.8
7,5820,76398042,45943126,42086738,1582296,2274092,13584440,8745075,7935946,6586129,6747228,166355,0,1262771,1053112,Winslow Twp,Camden,G. K–12/3501+,4707.5,10.5,76404,61.4,86412,165.1,117210,18.4
7,5900,5189129,3103452,2901250,150247,51955,1066492,659476,581834,463003,398351,212696,0,39001,3400,Woodlynne Boro,Camden,B. K–8/0–400,374.9,11.7,57851,94,54334,125.3,78000,12
9,170,2783873,1601143,1275938,87709,237496,494939,370288,184133,137743,454322,154526,5038,30458,36970,Avalon Boro,Cape May,B. K–8/0–400,84.1,6.6,87426,16.7,70716,28.3,101354,6
9,710,3740391,2103828,1932324,122945,48559,660683,471173,392656,322150,532039,240386,0,46006,46563,Cape May City,Cape May,A. K–6,151.2,7.4,58105,76.5,54935,51,85862,7.6
9,715,12022847,6120510,5917562,121080,81868,2449841,2303708,1391613,1156457,2034934,703852,15704,0,252306,Cape May Co Special Serv,Cape May,I. CSSD,229.2,5.6,69965,9.2,81678,44.2,106537,12.7
9,720,14660439,8048712,7361608,571834,115270,1447617,1361669,2111981,1792366,2552829,1076704,82500,355759,171228,Cape May Co Vocational,Cape May,J. Voc,632.4,9.2,65939,95.5,84217,92.8,119625,11
9,1080,10545375,6399355,5835738,537825,25792,1382772,1265821,1078892,829536,1366636,565882,1674,108517,14198,Dennis Twp,Cape May,C. K–8/401–750,499.5,8.5,51637,56.4,62260,141,103946,19
9,2820,23913196,14105578,13639988,402838,62752,2492390,2314738,2456298,1844365,3384951,1589571,157030,1065183,645236,Lower Cape May Regional,Cape May,H. 7–12/9–12,1276.9,11,86642,68.2,77766,129.7,117537,13.7
