CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,COUNTY,enrol1
3,3870,10513347,6484097,6036136,276619,171342,1491727,1046540,1387009,1129912,1113793,615051,0,36721,17915,Oradell Boro,Bergen,A. K-6,1,I,,1,738.6,Bergen,
3,3910,23521796,15060427,14385444,384799,290184,2861942,1951567,2925865,2275654,1998119,1082506,0,562937,21538,Palisades Park,Bergen,F. K-12 / 1801 - 3500,3,CD,,1,1709.7,Bergen,
3,3930,69740473,39358536,36827235,2483946,47355,10636029,8790290,7853673,7073443,10238008,6112170,0,1390912,314215,Paramus Boro,Bergen,G. K-12 / 3501 +,3,GH,,1,3775.7,Bergen,
3,3940,26165766,14934005,12934299,1867507,132199,5383505,4597900,2756952,2445434,2145962,1128609,0,923954,103184,Park Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,I,,1,1185.7,Bergen,
3,3960,41484518,23576681,21058980,444182,2073519,6902996,6004683,3834405,3348017,4843074,2702059,0,2309003,370087,Pascack Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,2021.7,Bergen,
3,4300,42057613,22046152,20321418,707437,1017297,6465989,5792675,4906730,3815248,5513368,2493505,0,3058430,159230,Ramapo-Indian Hill Reg,Bergen,H. 7-12 / 9-12,5,I,,1,2278.3,Bergen,
3,4310,50233681,30464978,29414313,765418,285247,8501416,6806785,4182736,3156513,5590677,2972794,31282,1417835,0,Ramsey Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,2767.2,Bergen,
3,4370,34835036,19202574,18299983,545243,357348,8690823,8277319,3306144,2595059,2846096,1332680,0,668399,146997,Ridgefield Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,1660.6,Bergen,
3,4380,33017171,19395127,17565658,551909,1277560,4655277,4226346,3780965,2755576,3960951,484143,0,868308,85801,Ridgefield Park Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,2319.8,Bergen,
3,4390,87150672,51451628,48769157,1445310,1237161,16691549,13360716,7945735,6980416,9392720,549380,0,1574150,77412,Ridgewood Village,Bergen,G. K-12 / 3501 +,3,J,,1,5664.3,Bergen,
3,4405,27584322,16096856,15042704,502913,551239,3898918,3458016,3378028,2977792,2893084,1445138,0,1308703,83397,River Dell Regional,Bergen,H. 7-12 / 9-12,4,I,,1,1621.3,Bergen,
3,4410,16827427,11016257,10284875,474380,257002,2323212,2152404,2020581,1791736,1452517,842588,0,0,0,River Edge Boro,Bergen,A. K-6,1,I,,1,1198.9,Bergen,
3,4430,19001454,11209023,10589080,310787,309156,3221681,2468695,2523330,2092276,1886306,1150574,0,161115,384705,River Vale Twp,Bergen,D. K-8 / 751 +,2,I,,1,1143.2,Bergen,
3,4470,8273980,5316541,4814234,460251,42056,1055369,781895,984933,541136,874880,464947,0,42257,0,Rochelle Park Twp,Bergen,C. K-8 / 401 - 750,2,FG,,1,483.1,Bergen,
3,4600,36852385,21405144,19934808,568519,901817,5329357,4600377,5115837,4507139,4009414,1684631,15000,872437,96942,Rutherford Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,2548,Bergen,
3,4610,27424803,14632467,13565946,268381,798140,5925202,4919531,3071076,2320557,3012493,1707584,0,721799,28000,Saddle Brook Twp,Bergen,E. K-12 / 0 - 1800,3,DE,,1,1720.8,Bergen,
3,4620,4253370,2033270,1956740,23131,53399,1478896,1284696,299298,233842,425058,234652,0,7535,3988,Saddle River Boro,Bergen,A. K-6,1,J,,1,146.5,Bergen,
3,4870,4887814,2888894,2628740,74847,185307,741944,363935,409973,314604,720149,419680,22422,98637,0,South Hackensack Twp,Bergen,B. K-8 / 0 - 400,2,CD,,1,292.9,Bergen,
3,5150,70560916,44272838,40499666,1669202,2103970,11466810,7481016,6225193,4714744,7258665,2070765,0,1327786,484704,Teaneck Twp,Bergen,G. K-12 / 3501 +,3,GH,,1,3553.8,Bergen,
3,5160,60358204,35725399,33461655,1129417,1134327,10320364,7840067,7405257,6791047,5374252,3333050,31438,1470760,41502,Tenafly Boro,Bergen,G. K-12 / 3501 +,3,I,,1,3684.9,Bergen,
3,5330,20700600,12232468,11401270,754292,76906,3226019,2824805,2347369,1937296,2751206,1453845,0,143537,211569,Upper Saddle River Boro,Bergen,D. K-8 / 751 +,2,J,,1,1165,Bergen,
3,5410,25282121,15761349,15194955,475754,90640,3395773,3169937,3237729,2851269,2079511,1225514,0,775025,116736,Waldwick Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,1585.6,Bergen,
3,5430,15067364,8576848,8325993,250855,0,2366538,2189615,1746498,1572843,1712780,322055,0,664700,176503,Wallington Boro,Bergen,E. K-12 / 0 - 1800,3,B,,1,1268.5,Bergen,
3,5755,46514593,25900029,24649588,1088134,162307,9694427,7767091,5168234,4475401,4372136,2519721,0,1323204,208154,Westwood Regional,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,2795.2,Bergen,
3,5830,15918585,8955533,8620376,256089,79068,2526028,1845041,2315217,1968194,1635022,1114272,0,475137,0,Wood-Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,1236.3,Bergen,
3,5880,13842453,7789739,7410394,268313,111032,2551583,2200104,1610361,1380531,1778681,472417,0,108395,81701,Woodcliff Lake Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,736.5,Bergen,
3,5920,34179065,19805971,18854251,735478,216242,6822407,5504919,3863994,3475955,3499406,672585,68112,116321,148478,Wyckoff Twp,Bergen,D. K-8 / 751 +,2,I,,1,1967.9,Bergen,
5,200,2230225,1393788,1244302,37923,111563,321211,232823,261533,172428,230065,127635,0,23627,0,Bass River Twp,Burlington,A. K-6,1,CD,,1,111.4,Burlington,
5,380,4905497,2749063,2572313,87828,88922,989377,793774,509501,433443,629674,152065,0,17700,18518,Beverly City,Burlington,B. K-8 / 0 - 400,2,B,,1,293.3,Burlington,
5,475,33501697,17457075,16536769,695211,225095,6734911,4539881,3560263,2931679,4447527,2643402,0,963359,227376,Bordentown Regional,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,2561.1,Burlington,
5,600,30436502,17163484,15423801,572605,1167078,5695806,5070692,3245248,2698201,3417217,1576052,0,834833,54131,Burlington City,Burlington,E. K-12 / 0 - 1800,3,B,1,1,1670.7,Burlington,
5,605,38756143,21850219,20817182,308396,724641,7124436,6630715,4100186,2642800,4080879,1978079,1157385,333990,116761,Burlington Co Spec Serv,Burlington,I. CSSD,7,,,1,634.3,Burlington,
5,610,31591300,15768753,14164983,693627,910143,4011373,3292227,4645051,2917076,5591249,2027669,100000,1393883,421818,Burlington Co Vocational,Burlington,J. VOC,8,,,1,1980.6,Burlington,
5,620,53958317,34323209,30353297,626767,3343145,8502017,5333811,4911101,3428174,5294233,585446,0,927757,1167047,Burlington Twp,Burlington,G. K-12 / 3501 +,3,FG,,1,3818.7,Burlington,
5,830,10230896,5195938,4944200,220885,30853,1820405,1147033,1060205,790684,986448,645554,0,2322,0,Chesterfield Twp,Burlington,A. K-6,1,GH,,1,754.5,Burlington,
5,840,38322145,21667666,20716733,674237,276696,6097214,5505463,4309265,3781249,4096223,1926238,0,1741980,66293,Cinnaminson Twp,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,2493.5,Burlington,
5,1030,5977163,3322576,3090851,122682,109043,1133579,845700,735344,473743,715355,451539,0,51153,46818,Delanco Twp,Burlington,C. K-8 / 401 - 750,2,CD,,1,396.8,Burlington,
5,1060,37982372,22895754,21814817,637943,442994,6653353,5078732,3206890,2586763,4162320,1162329,0,1048375,179739,Delran Twp,Burlington,F. K-12 / 1801 - 3500,3,FG,,1,2946.2,Burlington,
5,1250,8436294,5205412,4657326,76761,471325,1103718,838701,1081065,917360,975613,524447,0,70486,0,Eastampton Twp,Burlington,C. K-8 / 401 - 750,2,FG,,1,573.9,Burlington,
5,1280,12322110,7477908,6983442,204333,290133,2077295,1815612,1568370,984439,1051661,664702,0,95159,2427,Edgewater Park Twp,Burlington,D. K-8 / 751 +,2,DE,,1,871.6,Burlington,
5,1420,67647324,41554679,40174276,799090,581313,11487272,9536702,5771387,4883812,7589059,4596707,0,562774,330045,Evesham Twp,Burlington,D. K-8 / 751 +,2,I,,1,4425.2,Burlington,
5,1520,20942098,11387699,10918743,135254,333702,3459776,2345059,2878285,2270372,2689977,1164449,0,522007,18189,Florence Twp,Burlington,E. K-12 / 0 - 1800,3,DE,,1,1539.2,Burlington,
5,1910,8179797,5065633,4719797,170798,175038,1254324,949689,971464,792751,800657,284652,0,79827,9505,Hainesport Twp,Burlington,C. K-8 / 401 - 750,2,FG,,1,603.4,Burlington,
5,2610,121726535,71240103,67984543,2030769,1224791,17794592,15695428,9968365,7885328,15576231,7920845,0,6735282,1728925,Lenape Regional,Burlington,H. 7-12 / 9-12,5,GH,,1,6729.3,Burlington,
5,2850,19794078,11697386,11044191,409123,244072,3350469,2678056,2418013,2014947,2196084,1147519,0,132126,13066,Lumberton Twp,Burlington,D. K-8 / 751 +,2,FG,,1,1252.2,Burlington,
5,2960,10150358,5814982,5536163,223856,54963,2017618,1289648,1265574,1001711,1051021,585359,0,313,45218,Mansfield Twp,Burlington,A. K-6,1,DE,,1,564.8,Burlington,
5,3010,31084833,19007513,17935227,507248,565038,5109985,3781839,3177992,2695750,2913485,1601968,0,723239,60675,Maple Shade Twp,Burlington,F. K-12 / 1801 - 3500,3,CD,,1,2173.3,Burlington,
5,3070,7185196,4591050,4194924,108407,287719,1063402,754754,854924,640129,624607,321248,0,51213,0,Medford Lakes Boro,Burlington,C. K-8 / 401 - 750,2,I,,1,533.5,Burlington,
5,3080,43130493,27325832,22745711,711838,3868283,6079649,5685976,5151381,3965512,4072700,2082669,0,31626,254305,Medford Twp,Burlington,D. K-8 / 751 +,2,I,,1,2707.5,Burlington,
