Group,Coname,Dist,Distname, EX121 , EX221 
C. K-8 / 401 - 750,Middlesex,2370,Jamesburg Boro,"89,448","316,820"
C. K-8 / 401 - 750,Monmouth,270,Belmar Boro, -   , -   
C. K-8 / 401 - 750,Monmouth,560,Brielle Boro, -   , -   
C. K-8 / 401 - 750,Monmouth,3830,Oceanport Boro,"350,948","220,076"
C. K-8 / 401 - 750,Monmouth,4770,Shrewsbury Boro, -   ,"25,000"
C. K-8 / 401 - 750,Monmouth,5230,Union Beach,"573,628","783,775"
C. K-8 / 401 - 750,Monmouth,5640,West Long Branch Boro,"238,514","538,296"
C. K-8 / 401 - 750,Morris,3090,Mendham Boro,"122,769","620,606"
C. K-8 / 401 - 750,Morris,3100,Mendham Twp,"906,111","900,000"
C. K-8 / 401 - 750,Morris,3380,Morris Plains Boro,"700,000","650,000"
C. K-8 / 401 - 750,Morris,4480,Rockaway Boro,"418,927","200,000"
C. K-8 / 401 - 750,Morris,5770,Wharton Boro,"669,088","670,000"
C. K-8 / 401 - 750,Passaic,420,Bloomingdale Boro,"2,360,429","1,210,648"
C. K-8 / 401 - 750,Passaic,3640,North Haledon Boro,"364,929","155,217"
C. K-8 / 401 - 750,Somerset,240,Bedminster Twp,"258,962","213,496"
C. K-8 / 401 - 750,Somerset,4850,South Bound Brook,"560,681","564,264"
C. K-8 / 401 - 750,Somerset,5540,Watchung Boro,"243,851","155,285"
C. K-8 / 401 - 750,Sussex,90,Andover Reg,"389,888","850,503"
C. K-8 / 401 - 750,Sussex,1560,Frankford Twp,"250,000","150,000"
C. K-8 / 401 - 750,Sussex,1570,Franklin Boro,"599,768","500,000"
C. K-8 / 401 - 750,Sussex,1800,Green Twp, -   , -   
C. K-8 / 401 - 750,Sussex,2030,Hardyston Twp,"83,043", -   
C. K-8 / 401 - 750,Union,3470,Mountainside Boro,"140,000","442,802"
C. K-8 / 401 - 750,Warren,30,Allamuchy Twp,"99,232","99,931"
C. K-8 / 401 - 750,Warren,1785,Great Meadows Regional, -   , -   
C. K-8 / 401 - 750,Warren,1840,Greenwich Twp,"102,080","358,333"
C. K-8 / 401 - 750,Warren,2790,Lopatcong Twp, -   , -   
D. K-8 / 751 +,Atlantic,10,Absecon City,"99,016","433,281"
D. K-8 / 751 +,Atlantic,1690,Galloway Twp,"2,478,081","2,403,877"
D. K-8 / 751 +,Atlantic,1940,Hamilton Twp,"1,715,934","1,762,508"
D. K-8 / 751 +,Atlantic,2680,Linwood City,"620,503","602,632"
D. K-8 / 751 +,Atlantic,3720,Northfield City,"453,465","514,073"
D. K-8 / 751 +,Atlantic,4800,Somers Point City,"466,857","350,000"
D. K-8 / 751 +,Bergen,40,Allendale Boro,"1,501,441","1,507,587"
D. K-8 / 751 +,Bergen,930,Closter Boro,"325,000","300,000"
D. K-8 / 751 +,Bergen,1230,East Rutherford Boro, -   , -   
D. K-8 / 751 +,Bergen,1470,Fairview Boro,"47,035","126,944"
D. K-8 / 751 +,Bergen,1580,Franklin Lakes Boro,"500,000","500,000"
D. K-8 / 751 +,Bergen,2180,Hillsdale Boro,"334,009","290,602"
D. K-8 / 751 +,Bergen,2710,Little Ferry Boro,"182,448", -   
D. K-8 / 751 +,Bergen,3060,Maywood Boro,"510,693","368,561"
D. K-8 / 751 +,Bergen,3330,Montvale Boro,"400,000","400,000"
D. K-8 / 751 +,Bergen,3760,Oakland Boro,"759,542","760,100"
D. K-8 / 751 +,Bergen,4430,River Vale Twp,"212,893","877,884"
D. K-8 / 751 +,Bergen,5330,Upper Saddle River Boro,"1,265,105","1,284,149"
D. K-8 / 751 +,Bergen,5920,Wyckoff Twp,"950,000","800,000"
