GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,119.7,18|75,69440,64|75,112.7,16|75,70663,62|75
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,46.2,73|75,59905,51|75,46.3,69|75,61315,53|75
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,59.3,53|75,57745,47|75,76.2,32|75,61218,52|75
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,48.7,66|75,67400,63|75,49.3,65|75,72535,64|75
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,58.1,54|75,36006,12|75,65,44|75,42568,16|75
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,77.1,35|75,32400,9|75,74,34|75,32400,6|75
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,80.9,31|75,40103,19|75,80.9,30|75,48985,26|75
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,81.1,30|75,19931,2|75,96.3,21|75,20705,3|75
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,87.8,27|75,35464,11|75,83.6,26|75,37773,8|75
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,63,47|75,65393,59|75,81.8,29|75,42660,17|75
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,89.5,26|75,65172,58|75,86.7,24|75,68016,61|75
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,61.4,48|75,55160,42|75,69.8,41|75,54545,39|75
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,70.2,40|75,56005,43|75,65.4,43|75,56005,45|75
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,48.5,67|75,71400,67|75,43.3,70|75,72720,65|75
C. K-8 / 401 - 750,,,K-8 Average,72.5,,66520,,71.6,,67057,
C. K-8 / 401 - 750,ATLANTIC,570,BRIGANTINE CITY,61.6,51|65,84320,62|65,57.6,56|65,86036,63|65
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,55.9,58|65,56565,12|65,65.8,45|65,60475,28|65
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,133.4,N.A.,52835,N.A.,103.7,13|65,54963,9|65
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,86.4,24|65,68545,49|65,100.2,16|65,69590,51|65
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,55.8,59|65,69578,52|65,54.7,58|65,69578,50|65
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,60.8,55|65,60140,26|65,72.1,36|65,61385,31|65
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,79.1,30|65,57566,16|65,70.9,38|65,59566,24|65
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,58.1,56|65,70284,56|65,69.8,40|65,80200,58|65
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,111.9,10|65,86315,64|65,108.2,10|65,86968,64|65
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,101,13|65,58323,19|65,103.6,14|65,59420,22|65
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,93.5,16|65,68891,50|65,93.1,19|65,80403,59|65
C. K-8 / 401 - 750,BERGEN,3850,OLD TAPPAN BORO,105.4,12|65,95323,65|65,100.6,15|65,95323,65|65
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,88.1,21|65,60424,27|65,93.2,18|65,56307,14|65
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,70.6,44|65,52950,8|65,63.2,50|65,55770,10|65
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,92.3,19|65,58966,21|65,82,31|65,60669,29|65
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,86.5,23|65,48961,2|65,104,11|65,44741,1|65
C. K-8 / 401 - 750,BURLINGTON,4930,SOUTHAMPTON TWP,83,28|65,67375,44|65,65,47|65,63325,35|65
C. K-8 / 401 - 750,BURLINGTON,5130,TABERNACLE TWP,53.2,N.A.,65426,N.A.,53.9,59|65,65097,39|65
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,78.8,31|65,61639,30|65,91,20|65,68315,47|65
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,52.9,61|65,57207,15|65,56.5,57|65,58980,21|65
