GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,16121,0.759,0.195,0.046,0,0,0,11,282.5,188.3,0.1268
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,18589,0.384,0.585,0.02,0.011,0,0,10.5,75.8,143.7,0.0916
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,23213,0.476,0.465,0.059,0,0,0,12.1,92.7,69.5,0.1079
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,16216,0.709,0.198,0.055,0.003,0,0.035,11.7,386,193,0.1891
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,63786,0.102,0.668,0.008,0.103,0,0.119,4.1,48.5,16.7,0.1800
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,25811,0.176,0.687,0.043,0.095,0,0,8,58.1,89.7,0.1508
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,36913,0.095,0.747,0.004,0.155,0,0,5.3,377.8,40,0.0147
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,29351,0.154,0.829,0.018,0,0,0,7.7,66.8,57.7,0.1457
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,22253,0.701,0.252,0.047,0,0,0,9.1,168.3,50.5,0.1832
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,17929,0.514,0.422,0.036,0.015,0.013,0,11.7,59.5,113,0.1091
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,19992,0.548,0.286,0.037,0.002,0.102,0.025,10.4,191,191,0.1361
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,26004,0.356,0.548,0.042,0.001,0.053,0,2.9,37.9,26.5,0.0943
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,20329,0.453,0.487,0.057,0.003,0,0,6,46.7,56,0.0893
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,14001,0.66,0.28,0.06,0,0,0,13,61.4,135,0.0630
B. K-8 / 0 - 400,HUNTERDON,370,BETHLEHEM TWP,24365,0.256,0.726,0.016,0.002,0,0,8.1,52.5,114,0.1429
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,19301,0.475,0.497,0.024,0.005,0,0,8,203.3,122,0.1557
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,23672,0.189,0.8,0,0.01,0,0.001,7.6,72.7,47.2,0.1284
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,18499,0.236,0.743,0.019,0.002,0,0,8.1,38.5,113,0.1357
B. K-8 / 0 - 400,HUNTERDON,1160,EAST AMWELL TWP,23328,0.169,0.708,0.017,0.026,0.011,0.069,9.5,55.7,116.4,0.1359
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,22326,0.142,0.831,0.016,0,0.011,0,10.5,107.1,103.4,0.0967
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,22227,0.342,0.595,0.029,0.018,0.009,0.007,8.9,57.6,144,0.1458
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,25666,0.387,0.567,0.025,0.013,0.008,0,8.1,74.7,74.7,0.1575
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,21723,0.287,0.683,0.015,0.015,0,0,9.2,50.7,76,0.1658
B. K-8 / 0 - 400,HUNTERDON,2450,KINGWOOD TWP,22295,0.256,0.706,0.017,0.008,0.014,0,9.9,59.7,111.9,0.1285
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,25675,0.188,0.688,0.02,0.024,0.022,0.058,7.6,96,42.7,0.0833
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,20827,0.112,0.735,0.01,0.026,0.093,0.024,10.6,47.7,54.6,0.0000
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,20435,0.225,0.733,0.038,0.004,0,0,8.8,78.6,80.9,0.1413
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,24823,0.488,0.452,0.009,0,0.041,0.01,12.2,153.8,74.1,0.0123
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,16814,0.392,0.575,0.027,0.005,0,0.001,8.6,113.8,82.5,0.1818
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,18992,0.125,0.799,0.027,0,0,0.049,11.9,91.5,134.2,0.0960
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,17057,0.272,0.638,0.029,0.001,0.06,0,12.6,105.3,168.4,0.1873
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,21775,0.098,0.879,0.011,0.012,0,0,8,162,64.8,0.0679
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,28391,0.132,0.819,0.017,0,0.031,0.001,8,50.7,71,0.1080
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,18602,0.118,0.856,0.016,0.011,0,0,9.9,63.7,216.9,0.1037
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,26436,0.098,0.883,0.012,0.007,0,0,9.2,49.4,117.7,0.1275
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,21974,0.127,0.86,0.013,0,0,0,10.5,53.2,82.4,0.1936
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,17486,0.355,0.6,0.034,0.011,0,0,10.8,74,59.2,0.1689
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,18427,0.114,0.861,0.014,0.012,0,0,11.3,67.5,108,0.1173
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,22622,0.094,0.823,0.01,0.074,0,0,11.6,133.6,113.1,0.0544
B. K-8 / 0 - 400,OCEAN,2500,LAKEHURST BORO,19386,0.743,0.128,0.129,0,0,0,11.4,79,139.3,0.1880
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,21853,0.115,0.827,0.016,0.043,0,0,8,81.2,72.6,0.0507
B. K-8 / 0 - 400,SALEM,60,ALLOWAY TWP,16701,0.507,0.44,0.019,0,0.034,0,12.4,90.1,122.6,0.1230
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,17796,0.421,0.543,0.037,0,0,0,9,124,124,0.0806
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,22640,0.241,0.647,0.02,0,0.092,0,9.3,180,180,0.1111
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,19115,0.24,0.715,0.028,0.016,0,0.001,12.8,181,181,0.0829
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,17569,0.435,0.484,0.029,0,0.052,0,12.5,132.5,98.1,0.0642
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,17053,0.57,0.341,0.036,0.009,0.044,0,13.6,86.1,123.8,0.0669
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,17267,0.477,0.495,0.024,0.004,0,0,10.7,119.7,359,0.1574
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,22872,0.343,0.623,0.02,0.012,0,0.002,9.8,46.2,134,0.1791
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,22324,0.245,0.723,0.019,0.012,0,0.001,9.8,59.3,85,0.1451
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,27468,0.342,0.596,0.062,0,0,0,7.6,48.7,73,0.1689
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,19326,0.525,0.449,0.024,0.002,0,0,10.4,58.1,97.5,0.1978
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,20864,0.328,0.646,0.021,0.005,0,0,11.4,77.1,98.8,0.1361
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,17978,0.131,0.835,0.017,0.007,0,0.01,13.9,80.9,195.8,0.1478
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,19244,0.541,0.44,0.018,0.002,0,0,9.9,81.1,102.7,0.1623
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,18666,0.419,0.554,0.026,0,0,0.001,9.7,87.8,99.6,0.0893
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,18478,0.115,0.866,0.014,0.005,0,0,9.3,63,122.9,0.1032
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,19705,0.254,0.72,0.019,0.008,0,0,10.1,89.5,85,0.0941
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,18337,0.451,0.522,0.016,0.011,0,0,10.2,61.4,102.3,0.1270
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,21251,0.284,0.696,0.02,0,0,0,11.4,70.2,107.7,0.0712
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,19985,0.244,0.708,0.015,0.001,0.032,0,9.1,48.5,157.5,0.1968
C. K-8 / 401 - 750,ATLANTIC,570,BRIGANTINE CITY,24353,0.189,0.766,0.026,0.001,0,0.018,10,61.6,135.6,0.0959
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,23594,0.608,0.275,0.087,0.014,0,0.016,10.7,55.9,125.8,0.1889
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,16349,0.567,0.306,0.069,0.048,0,0.01,11.8,133.4,150.7,0.1188
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,22161,0.117,0.859,0.021,0.003,0,0,13.3,86.4,114,0.1211
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,20952,0.113,0.873,0.011,0.002,0,0.001,10.7,55.8,135.6,0.1224
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,21874,0.121,0.827,0.012,0.021,0.007,0.012,9.8,60.8,109.4,0.1097
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,19151,0.133,0.856,0.011,0,0,0,11.5,79.1,158.3,0.0964
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,25233,0.118,0.873,0.009,0,0,0,10.5,58.1,101.8,0.0860
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,17262,0.12,0.859,0.01,0.006,0,0.005,12.5,111.9,212.7,0.0925
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,20127,0.127,0.818,0.011,0.044,0,0,11.8,101,166.7,0.1157
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,19162,0.121,0.855,0.018,0.001,0,0.005,12.2,93.5,177.9,0.0914
C. K-8 / 401 - 750,BERGEN,3850,OLD TAPPAN BORO,18820,0.123,0.865,0.01,0.002,0,0,11.6,105.4,147.6,0.0596
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,19803,0.124,0.834,0.022,0.004,0.015,0.001,11.5,88.1,155,0.1226
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,19262,0.547,0.427,0.026,0,0,0,11.8,70.6,160.3,0.1450
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,16998,0.233,0.738,0.022,0.007,0,0,11.2,92.3,161.5,0.1455
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,14977,0.239,0.745,0.016,0,0,0,12.5,86.5,134,0.1287
C. K-8 / 401 - 750,BURLINGTON,4930,SOUTHAMPTON TWP,20750,0.233,0.746,0.021,0,0,0,10.2,83,116.2,0.1350
C. K-8 / 401 - 750,BURLINGTON,5130,TABERNACLE TWP,19581,0.467,0.5,0.017,0.015,0,0.001,13,53.2,129.3,0.1134
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,16991,0.309,0.665,0.025,0.002,0,0,10.5,78.8,125.5,0.1268
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,20704,0.415,0.503,0.025,0.022,0,0.035,10.4,52.9,105.8,0.1701
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,19534,0.59,0.363,0.039,0.007,0,0.001,8.9,78,143,0.1399
