CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
Bergen,3170,Midland Park Boro,27615549,943,29280,47,27658408,908,30466,50,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,3330,Montvale Boro,20802814,979,21241,32,21327636,997,21398,33,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,3350,Moonachie Boro,10054633,433,23243,28,10208437,450,22701,23,"I. K-12|K-8,0-400",IK-12K-80-400
Bergen,3550,New Milford Boro,44965769,2016,22304,47,45271999,2015,22471,44,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,3600,North Arlington Boro,41139335,1854,22192,46,34305422,1867,18378,4,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,3700,Northern Highlands Reg,37187430,1417,26247,21,36100007,1430,25242,14,"G. G9-12|7-12,9-12",GG9-127-129-12
Bergen,3710,Northern Valley Regional,70065468,2257,31045,40,72367012,2153,33618,45,"G. G9-12|7-12,9-12",GG9-127-129-12
Bergen,3730,Northvale Boro,12622264,535,23594,35,12802277,566,22610,27,"D. K-8|K-8,401-750",DK-8K-8401-750
Bergen,3740,Norwood Boro,13586988,621,21865,24,14293103,619,23102,32,"D. K-8|K-8,401-750",DK-8K-8401-750
Bergen,3760,Oakland Boro,36842746,1364,27011,68,37606369,1370,27457,69,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,3850,Old Tappan Boro,14581595,665,21935,25,15917052,672,23684,38,"D. K-8|K-8,401-750",DK-8K-8401-750
Bergen,3870,Oradell Boro,15499426,761,20371,20,15712939,762,20627,18,A. K-6|K-6,AK-6K-6
Bergen,3910,Palisades Park,32405058,1731,18725,1,31611613,1834,17234,1,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,3930,Paramus Boro,101013065,3823,26422,81,99085208,3804,26051,81,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,3940,Park Ridge Boro,36701225,1238,29638,48,36397604,1251,29091,48,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,3960,Pascack Valley Regional,62662874,2065,30341,36,66180801,2006,32988,44,"G. G9-12|7-12,9-12",GG9-127-129-12
Bergen,4300,Ramapo-Indian Hill Reg,67618793,2321,29138,33,66059808,2273,29060,34,"G. G9-12|7-12,9-12",GG9-127-129-12
Bergen,4310,Ramsey Boro,71822734,2762,26009,68,71085395,2706,26265,67,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,4370,Ridgefield Boro,45496827,1701,26750,42,44711318,1682,26579,41,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,4380,Ridgefield Park Twp,48121922,2266,21234,28,49603063,2248,22063,40,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,4390,Ridgewood Village,126439548,5732,22057,41,126364579,5770,21900,38,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,4405,River Dell Regional,40116500,1615,24835,11,41093604,1630,25218,13,"F. G7-12|7-12,9-12",FG7-127-129-12
Bergen,4410,River Edge Boro,23119778,1241,18631,8,23598360,1258,18759,6,A. K-6|K-6,AK-6K-6
Bergen,4430,River Vale Twp,27655165,1130,24467,53,27115412,1119,24232,52,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,4470,Rochelle Park Twp,14435027,654,22080,27,14541474,658,22112,22,"J. K-12|K-8,401-750",JK-12K-8401-750
Bergen,4500,Rockleigh,805443,33,24407,12,789773,31,25477,10,K-12|Non-Operating,
Bergen,4600,Rutherford Boro,54782618,2605,21027,25,55493753,2616,21212,27,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,4610,Saddle Brook Twp,43382700,1812,23946,32,42710206,1788,23890,33,"L. K-12|K-12,0-1800",LK-12K-120-1800
Bergen,4620,Saddle River Boro,10312196,394,26187,43,10013844,367,27326,45,H. K-12|K-6,HK-12K-6
Bergen,4870,South Hackensack Twp,9957477,396,25138,43,9835320,380,25902,53,"I. K-12|K-8,0-400",IK-12K-80-400
Bergen,5150,Teaneck Twp,107122131,3641,29419,89,117982436,3781,31201,90,"N. K-12|K-12,3500+",NK-12K-123500plus
Bergen,5160,Tenafly Boro,85233273,3750,22728,48,85109418,3778,22527,45,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Bergen,5330,Upper Saddle River Boro,28361090,1143,24818,57,28572734,1112,25700,63,"E. K-8|K-8,751+",EK-8K-8751plus
