cds,fiscal_year,student_count
251260,2015-2016,52827.5
251440,2015-2016,43774.5
251490,2015-2016,7518.5
251640,2015-2016,87945
251650,2015-2016,509168
251660,2015-2016,177474
252105,2015-2016,138836.5
252120,2015-2016,12123
252160,2015-2016,6633
252230,2015-2016,133958
252290,2015-2016,283723
252320,2015-2016,1903
252400,2015-2016,73029
252430,2015-2016,46376
252720,2015-2016,36916
252770,2015-2016,275990
252920,2015-2016,232133
252930,2015-2016,44940.5
253030,2015-2016,230516
253040,2015-2016,182814.5
253160,2015-2016,437998
253200,2015-2016,82956.5
253250,2015-2016,12826
253260,2015-2016,79865.5
253270,2015-2016,46392.5
253500,2015-2016,28583.5
253510,2015-2016,201058
253810,2015-2016,180537.5
253830,2015-2016,25377
254360,2015-2016,78848
254365,2015-2016,45182.5
254520,2015-2016,6160
254570,2015-2016,42526
254580,2015-2016,40931
254680,2015-2016,2200
254690,2015-2016,8365.5
254760,2015-2016,27610
254770,2015-2016,21296
254840,2015-2016,8849.5
254980,2015-2016,11968
254990,2015-2016,21890
255185,2015-2016,70774
255230,2015-2016,43279.5
255310,2015-2016,77858
255420,2015-2016,165929.5
255640,2015-2016,25316.5
270450,2015-2016,50165.5
270460,2015-2016,31691
270630,2015-2016,44825
270785,2015-2016,183232.5
270820,2015-2016,52558
271090,2015-2016,75322.5
271110,2015-2016,146234
271190,2015-2016,43802
271530,2015-2016,43428
271990,2015-2016,71830
272000,2015-2016,66803
272010,2015-2016,17985
272380,2015-2016,147752
272460,2015-2016,90376
272650,2015-2016,58426.5
272870,2015-2016,109296
273090,2015-2016,26631
273100,2015-2016,30921
273240,2015-2016,26735.5
273340,2015-2016,175824
273365,2015-2016,32516
273370,2015-2016,132115.5
273380,2015-2016,37433
273385,2015-2016,246933.5
273410,2015-2016,23727
273450,2015-2016,216485.5
273460,2015-2016,51733
273520,2015-2016,13871
273950,2015-2016,322872
274000,2015-2016,37466
274080,2015-2016,100215.5
274330,2015-2016,219840.5
274440,2015-2016,20174
274480,2015-2016,26939
274490,2015-2016,108075
274560,2015-2016,164109
275380,2015-2016,16060
275520,2015-2016,103235
275660,2015-2016,119685.5
275770,2015-2016,41228
290185,2015-2016,152482
290210,2015-2016,4257
290230,2015-2016,2695
290320,2015-2016,99561
290530,2015-2016,439604
290770,2015-2016,95612
291150,2015-2016,6061
292350,2015-2016,5104
292360,2015-2016,411141.5
292480,2015-2016,205408.5
292500,2015-2016,24948
292520,2015-2016,344509
292550,2015-2016,5852
292690,2015-2016,70147
292760,2015-2016,11225.5
292940,2015-2016,134788.5
292980,2015-2016,132
293790,2015-2016,51793.5
293800,2015-2016,7480
293820,2015-2016,45122
294105,2015-2016,77869
294190,2015-2016,68607
294210,2015-2016,129129
294220,2015-2016,30811
294710,2015-2016,12023
294720,2015-2016,1507
294950,2015-2016,118530.5
295020,2015-2016,99324.5
295190,2015-2016,750150.5
295220,2015-2016,16252.5
310420,2015-2016,40595.5
310900,2015-2016,568832
311920,2015-2016,52910
312100,2015-2016,112167
312510,2015-2016,44577.5
312700,2015-2016,41327
313640,2015-2016,33330
313970,2015-2016,802081.5
313980,2015-2016,49819
313990,2015-2016,65307
313995,2015-2016,141240
314010,2015-2016,1529297
314230,2015-2016,76175
314270,2015-2016,44500.5
314400,2015-2016,55176
315200,2015-2016,48598
315440,2015-2016,45364
315570,2015-2016,368643
315650,2015-2016,167574
315690,2015-2016,55088
330060,2015-2016,23342
331340,2015-2016,10208
331350,2015-2016,7271
332800,2015-2016,9009
332950,2015-2016,7953
333860,2015-2016,15246
334070,2015-2016,115016
334075,2015-2016,83539.5
334150,2015-2016,73854
334280,2015-2016,18986
334630,2015-2016,53300.5
334640,2015-2016,28473.5
335320,2015-2016,23210
335910,2015-2016,56672
350240,2015-2016,37829
350350,2015-2016,254221
350490,2015-2016,89584
350510,2015-2016,104401
350555,2015-2016,390049
351610,2015-2016,390951
351810,2015-2016,60863
352170,2015-2016,324923.5
353000,2015-2016,71577
353210,2015-2016,3795
353320,2015-2016,208747
353670,2015-2016,177540
354510,2015-2016,4092
354810,2015-2016,16808
354815,2015-2016,81191
354820,2015-2016,80041.5
354850,2015-2016,28561.5
355470,2015-2016,82874
355540,2015-2016,29711
355550,2015-2016,78936
370090,2015-2016,36168
370520,2015-2016,2414.5
370640,2015-2016,41305
371560,2015-2016,22148.5
371570,2015-2016,22528
371630,2015-2016,11726
371800,2015-2016,31603
371930,2015-2016,12529
371980,2015-2016,15048
372030,2015-2016,34056
372165,2015-2016,44649
372240,2015-2016,82170
372465,2015-2016,48488
372490,2015-2016,12001
372615,2015-2016,38159
373300,2015-2016,19503
373590,2015-2016,55550
373840,2015-2016,13442
374650,2015-2016,6809
374960,2015-2016,149242.5
375030,2015-2016,14784
375040,2015-2016,14751
375100,2015-2016,56452
375110,2015-2016,28583.5
375360,2015-2016,157195.5
375435,2015-2016,30965
390310,2015-2016,103939
390850,2015-2016,98516
390980,2015-2016,170929
391320,2015-2016,1361074
391710,2015-2016,22836
392190,2015-2016,158048
392420,2015-2016,68315.5
392660,2015-2016,300833.5
393470,2015-2016,46447.5
393560,2015-2016,105396.5
394160,2015-2016,528715
394290,2015-2016,191202
394540,2015-2016,148967.5
394550,2015-2016,96904.5
394670,2015-2016,245206.5
395000,2015-2016,101909.5
395090,2015-2016,186934
395260,2015-2016,58399
395290,2015-2016,360189.5
395730,2015-2016,280725.5
395810,2015-2016,8316
410030,2015-2016,26345
410070,2015-2016,15004
410280,2015-2016,19679
410400,2015-2016,21549
411620,2015-2016,9625
411670,2015-2016,6941
411785,2015-2016,53218
411840,2015-2016,50710
411870,2015-2016,66165
412020,2015-2016,4499
412040,2015-2016,16104
412250,2015-2016,11550
412470,2015-2016,9999
412790,2015-2016,56078
412970,2015-2016,33330
413675,2015-2016,42735
413890,2015-2016,18469
414100,2015-2016,136895
414200,2015-2016,20702
415460,2015-2016,18898
415465,2015-2016,84557
415480,2015-2016,27291
415530,2015-2016,23683
415780,2015-2016,22099
10010,2016-2017,45672
10110,2016-2017,378895
10120,2016-2017,59235
10570,2016-2017,39484.5
10590,2016-2017,90761
10960,2016-2017,3355
11300,2016-2017,26532
11310,2016-2017,367026
11410,2016-2017,10373
11540,2016-2017,25366
11690,2016-2017,166386
11790,2016-2017,164538
11940,2016-2017,147301
11960,2016-2017,140558
12680,2016-2017,37240.5
12780,2016-2017,2288
12910,2016-2017,64603
13020,2016-2017,21406
13480,2016-2017,34149.5
13720,2016-2017,43054
14180,2016-2017,204171
14240,2016-2017,8327
14800,2016-2017,49918
15350,2016-2017,52673.5
15760,2016-2017,11264
30040,2016-2017,40062
30080,2016-2017,9878
30290,2016-2017,79189
30300,2016-2017,172353.5
30440,2016-2017,56771
30740,2016-2017,26466
30745,2016-2017,23842.5
30890,2016-2017,133259.5
30930,2016-2017,49082
30990,2016-2017,78342
31070,2016-2017,30162
31130,2016-2017,117023.5
31230,2016-2017,39957.5
31270,2016-2017,59939
31345,2016-2017,130405
31360,2016-2017,52211.5
31370,2016-2017,165143
31380,2016-2017,25212
31450,2016-2017,223773
31470,2016-2017,90051.5
31550,2016-2017,178244
31580,2016-2017,50435
31700,2016-2017,257301
31760,2016-2017,109329
31860,2016-2017,278971
32050,2016-2017,29194
32080,2016-2017,86999
32090,2016-2017,18909
32180,2016-2017,53724
32200,2016-2017,38153.5
32620,2016-2017,66891
32710,2016-2017,64806.5
32740,2016-2017,171798
32860,2016-2017,115219.5
32900,2016-2017,136653
33060,2016-2017,56936
33170,2016-2017,46233
33330,2016-2017,44693
33350,2016-2017,19976
33550,2016-2017,93060
33600,2016-2017,83985
33700,2016-2017,44869
33710,2016-2017,102327.5
33730,2016-2017,22880
33740,2016-2017,26950
33760,2016-2017,67727
33850,2016-2017,32098
33870,2016-2017,34353
33910,2016-2017,84485.5
33930,2016-2017,173893.5
33940,2016-2017,55247.5
33960,2016-2017,91520
34300,2016-2017,102828
34310,2016-2017,120483
34370,2016-2017,72182
34380,2016-2017,102778.5
34390,2016-2017,255062.5
34405,2016-2017,71192
34410,2016-2017,51711
34430,2016-2017,53075
34470,2016-2017,30184
34500,2016-2017,1584
34600,2016-2017,113608
34610,2016-2017,80707
34620,2016-2017,17545
34870,2016-2017,16423
35150,2016-2017,191576
35160,2016-2017,162222.5
35170,2016-2017,418
35330,2016-2017,53801
35410,2016-2017,70213
35430,2016-2017,65967
35755,2016-2017,125664
35830,2016-2017,52211.5
35880,2016-2017,33924
35920,2016-2017,93181
50200,2016-2017,5208.5
50380,2016-2017,16379
50475,2016-2017,120004.5
50600,2016-2017,73799
50610,2016-2017,82555
50620,2016-2017,184943
50830,2016-2017,33643.5
50840,2016-2017,113696
51030,2016-2017,25080
51060,2016-2017,145101
51250,2016-2017,28820
51280,2016-2017,50803.5
51420,2016-2017,203439.5
51520,2016-2017,84491
51910,2016-2017,28836.5
52610,2016-2017,312405.5
52850,2016-2017,65939.5
52960,2016-2017,28446
53010,2016-2017,109538
53070,2016-2017,23930.5
53080,2016-2017,122947
53360,2016-2017,176462
53430,2016-2017,49654
53440,2016-2017,192258
53540,2016-2017,12441
53650,2016-2017,52602
53690,2016-2017,95205
53920,2016-2017,43175
54040,2016-2017,8349
54050,2016-2017,225951
54320,2016-2017,98428
54450,2016-2017,65961.5
54460,2016-2017,16571.5
54740,2016-2017,34963.5
54930,2016-2017,33440
55010,2016-2017,9889
55130,2016-2017,33891
55490,2016-2017,4521
55720,2016-2017,45980
