district_id,cds_code,district_name
0945,250945,Colts Neck Twp
1000,251000,Deal Boro
1260,251260,Eatontown Boro
1440,251440,Fair Haven Boro
3560,393560,New Providence Boro
2240,372240,Hopatcong
4540,394540,Roselle Boro
4710,294710,Seaside Heights Boro
3000,353000,Manville Boro
3670,353670,North Plainfield Boro
4820,354820,Somerville Boro
4850,354850,South Bound Brook
0090,370090,Andover Reg
0640,370640,Byram Twp
1560,371560,Frankford Twp
1570,371570,Franklin Boro
1630,371630,Fredon Twp
1800,371800,Green Twp
1930,371930,Hamburg Boro
1980,371980,Hampton Twp
2165,372165,High Point Regional
2465,372465,Kittatinny Regional
0530,290530,Brick Twp
1150,291150,Eagleswood Twp
2360,292360,Jackson Twp
2480,292480,Lacey Twp
2500,292500,Lakehurst Boro
2490,372490,Lafayette Twp
2615,372615,Lenape Valley Regional
3300,373300,Montague Twp
3590,373590,Newton Town
3840,373840,Ogdensburg Boro
4650,374650,Sandyston-Walpack Twp
4960,374960,Sparta Twp
5030,375030,Stanhope Boro
5040,375040,Stillwater Twp
5100,375100,Sussex-Wantage Regional
5360,375360,Vernon Twp
5435,375435,Wallkill Valley Regional
0980,390980,Cranford Twp
1710,391710,Garwood Boro
2190,392190,Hillside Twp
2420,392420,Kenilworth Boro
1320,391320,Elizabeth City
0995,110995,Cumberland Co Vocational
3105,213105,Mercer County Vocational
5260,395260,Union County Vocational
