cds_code,district_name
255420,Wall Twp
375040,Stillwater Twp
394550,Roselle Park Boro
250100,Asbury Park City
151330,Elk Twp
032900,Mahwah Twp
272460,Kinnelon Boro
075560,Waterford Twp
030990,Cresskill Boro
154880,South Harrison Twp
292350,Island Heights Boro
055805,Willingboro Twp
274440,Riverdale Boro
250270,Belmar Boro
191160,East Amwell Twp
254580,Rumson-Fair Haven Reg
074110,Pine Hill Boro
011940,Hamilton Twp
193660,N Hunt/Voorhees Regional
234860,South Brunswick Twp
130760,Cedar Grove Twp
254990,Spring Lake Heights Boro
011410,Estell Manor City
234970,Spotswood
070160,Audubon Boro (Audubon Park)
254840,Lake Como
032050,Harrington Park Boro
013020,Margate City
130250,Belleville Town
415465,Warren Hills Regional
033960,Pascack Valley Regional
095800,Wildwood Crest Boro
273240,Mine Hill Twp
031070,Demarest Boro
255230,Union Beach
050200,Bass River Twp
015350,Ventnor City
272650,Lincoln Park Boro
253510,Neptune Twp
393470,Mountainside Boro
335320,Upper Pittsgrove Twp
172060,Harrison Town
032080,Hasbrouck Heights Boro
032710,Little Ferry Boro
035160,Tenafly Boro
295020,Stafford Twp
412790,Lopatcong Twp
030740,Carlstadt Boro
252930,Manasquan Boro
372240,Hopatcong
050610,Burlington Co Vocational
071890,Haddon Twp
031370,Englewood City
414200,Pohatcong Twp
031760,Glen Rock Boro
191680,Frenchtown Boro
034390,Ridgewood Village
390850,Clark Twp
233290,Monroe Twp
394290,Rahway City
413675,North Warren Regional
192600,Lebanon Twp
391710,Garwood Boro
031470,Fairview Boro
254980,Spring Lake Boro
315440,Wanaque Boro
314400,Ringwood Boro
071780,Gloucester Twp
294720,Seaside Park Boro
274480,Rockaway Boro
010120,Atlantic Co Vocational
