CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
3,1470,14565299,9176943,8846862,220300,109781,1736055,1456847,1918275,1666374,1628257,848209,0,55739,0,1428,Fairview Boro,Bergen,D. K-8 / 751 +,2,A,,1,16.3,56150,111.5,56950,161,113512,11.3,Bergen
3,1550,56458907,33419578,31889820,976648,553110,10125354,8118920,6005924,5107307,5686619,2221006,0,1118584,0,3920,Fort Lee Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,13.2,68730,80,74730,186.2,132600,16.4,Bergen
3,1580,27408620,17695723,16954044,645675,96004,4348649,4130480,2546952,2365404,2671053,365199,0,136976,297468,1129,Franklin Lakes Boro,Bergen,D. K-8 / 751 +,2,I,,1,7.9,69384,38.3,59495,125.2,144196,19.2,Bergen
3,1700,81320431,50444040,49905718,503560,34762,12744547,10452253,8759324,7569482,8330096,5217208,0,814935,68307,4904,Garfield City,Bergen,G. K-12 / 3501 +,3,B,1,1,11.2,60475,71.4,82250,129.7,151874,13.4,Bergen
3,1760,41191845,22433445,20674758,955074,803613,7770902,4408710,5373721,4688398,4514765,1091547,0,1083776,154113,2516,Glen Rock Boro,Bergen,F. K-12 / 1801 - 3500,3,J,,1,11.8,72627,69.3,78156,167.3,160705,16.6,Bergen
3,1860,89365169,55977895,51910539,1843510,2223846,13995727,12074570,8602797,7628343,8903881,4622850,0,1873416,596350,5656,Hackensack City,Bergen,G. K-12 / 3501 +,3,CD,,1,13.7,88610,73.3,101375,171.6,168192,14.9,Bergen
3,2050,10630532,6790211,6427827,118573,243811,1589376,1314903,1123597,942489,1018524,427862,0,108824,2499,607,Harrington Park Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,11.5,71805,60.3,58055,151.5,126742,15.6,Bergen
3,2080,26077994,15802071,14920384,371799,509888,3939818,2967964,2752786,2304584,2739651,1499399,0,832733,47411,1800,Hasbrouck Heights Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,12.7,74415,77,72215,178.7,125743,16.4,Bergen
3,2090,8275315,4921099,4594920,127546,198633,1475464,1182724,902607,677598,926383,411935,0,49762,20000,416,Haworth Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,10.2,66834,67.6,80200,104.8,115000,11.8,Bergen
3,2180,20166601,11839996,11576766,218496,44734,4282778,2884732,1956839,1562170,1990764,593366,0,90515,29862,1149,Hillsdale Boro,Bergen,D. K-8 / 751 +,2,GH,,1,10,66728,64.2,77311,143.8,138997,16.7,Bergen
3,2200,8946028,5397520,5282524,67875,47121,1587655,1386133,1183130,800301,776456,404076,0,0,0,602,Ho Ho Kus Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,12.6,81537,89.1,76226,119.4,127000,10.8,Bergen
