CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
80,8065,14324921,7650431,6457680,315894,876857,650637,299147,4025401,2627812,1907419,0,91033,0,0,749,University Heights Cs,Essex,K. Charter,C,,,1,11.2,56160,124.8,77239,124.8,128850,12.2,Essex
80,6030,3731882,2313457,2017465,47855,248137,0,0,666074,575860,752352,377072,0,0,27630,375,The Ethical Community Charter School,Hudson,K. Charter,C,,,1,10.7,44701,125,51515,62.5,59045,6.3,Hudson
80,6036,4419132,2699704,2449619,16115,233970,0,0,1002288,916180,717140,267359,0,0,0,383,Hola Hoboken Dual Lang Cs,Hudson,K. Charter,C,,,1,15.3,53550,191.5,67275,386.9,70000,27,Hudson
80,6064,4782951,2351968,2255915,51232,44821,0,0,1807572,1335516,623411,0,0,0,21289,382,Dr Lena Edwards Academic Charter School,Hudson,K. Charter,C,,,1,13.6,55750,127.3,60750,191,100012,15.5,Hudson
80,6068,8172040,4112024,3587666,129876,394482,472064,389184,1746468,1341744,1819854,274072,0,21630,0,679,M E T S Charter School,Hudson,K. Charter,C,,,1,12.6,47000,339.5,58114,113.2,95000,9.3,Hudson
80,6082,9799645,4669252,4304744,0,364508,0,0,1622550,891107,3507843,1153421,0,0,212459,958,Beloved Community Charter School,Hudson,K. Charter,C,,,1,15.7,54250,319.3,62500,319.3,95000,21.3,Hudson
80,6093,3611655,1893282,1797554,59692,36036,89274,22236,916700,326490,712400,23023,0,0,2380,377,Jersey City Global Cs,Hudson,K. Charter,C,,,1,13,45000,,,125.7,85000,9.7,Hudson
80,6103,4840364,2348541,1991349,0,357192,0,0,948163,666639,1543660,397034,0,0,49500,452,Empowerment Academy Charter School,Hudson,K. Charter,C,,,1,14.6,50000,150.7,49500,113,92500,8.5,Hudson
80,6105,4525386,2386231,1927950,414169,44112,146391,96233,1119565,423805,864569,232345,0,8629,161871,472,Hudson Arts And Science  Charter School,Hudson,K. Charter,C,,,1,15.7,44400,236,55542,472,91800,32,Hudson
80,6420,4394142,2327945,2145466,40520,141959,0,0,1250602,1133082,815595,298567,0,0,0,288,Elysian Cs Of Hoboken,Hudson,K. Charter,C,,,1,11.5,66090,92.3,71120,276.9,75500,28.1,Hudson
80,6720,4720499,2397763,2272906,82044,42813,820425,354568,937319,709036,564992,0,0,0,0,293,Hoboken Cs,Hudson,K. Charter,C,,,1,9.8,58000,67.7,53000,58.6,88291,6.9,Hudson
80,6910,5780646,3298471,3174548,67726,56197,364163,285736,1306330,816727,811682,454998,0,0,24861,575,Jersey City Comm. Cs,Hudson,K. Charter,C,,,1,15.8,53993,191.7,60000,191.7,90000,13.2,Hudson
80,6915,6132101,3536978,3299509,138472,98997,183411,134451,772147,556180,1639565,291216,0,0,168996,520,Jersey City Golden Door Charter School,Hudson,K. Charter,C,,,1,12.4,50160,173.3,66030,104,114009,9,Hudson
80,7115,5897121,3697264,3382625,50749,263890,95558,71192,1229475,979902,874824,257842,0,0,132040,538,Learning Community Cs,Hudson,K. Charter,C,,,1,12.6,48618,134.5,62901,269,112670,23.3,Hudson
80,7830,2831206,1733034,1658620,47297,27117,0,0,461510,310508,636662,107327,0,0,0,241,Soaring Heights Cs,Hudson,K. Charter,C,,,1,18.5,83460,109.5,35286,241,118180,15.2,Hudson
80,8060,6422244,3619517,3370715,38007,210795,0,0,621266,512557,2169392,983618,0,0,65108,434,University Academy Cs,Hudson,K. Charter,C,,,1,10.5,52488,80.4,61118,65.8,79950,7.1,Hudson
80,6017,12135485,6970645,6400632,304385,265628,174375,174375,3497042,2835297,1493422,434083,0,0,194916,1016,Foundation Academy Cs,Mercer,K. Charter,C,,,1,13.5,61680,254,53926,225.8,125440,17.6,Mercer
80,6025,5382828,3012786,2519422,46053,447311,0,0,1554340,1057903,815702,0,0,0,0,375,Paul Robeson Humanities  Charter School,Mercer,K. Charter,C,,,1,12.5,57590,375,56560,125,79560,10.3,Mercer
80,6183,6132296,2673313,2036566,267674,369073,0,0,2551672,2171952,882174,0,25137,0,39284,395,Trenton Stem-To-Civics Cs,Mercer,K. Charter,C,,,1,15,52500,197.5,69500,98.8,120000,7.1,Mercer
80,6810,1266602,642598,560654,34798,47146,0,0,514662,383870,109342,0,0,0,0,89,International Charter School,Mercer,K. Charter,C,,,1,10.6,52468,89,52918,89,110480,9.4,Mercer
80,7500,3686273,2304679,2146458,136230,21991,377374,176109,431558,363967,572662,0,0,0,0,295,Pace Cs Of Hamilton,Mercer,K. Charter,C,,,1,12.8,51000,295,55000,147.5,102500,12,Mercer
80,7540,5939791,3664315,3463136,130381,70798,47094,0,1633599,919424,581479,144885,9156,4148,0,399,Princeton Cs,Mercer,K. Charter,C,,,1,10.6,63537,498.8,74117,199.5,149858,19.3,Mercer
80,7895,,,,,,,,,,,,,,,,Achievers Early College Prep Charter Sch,Mercer,K. Charter,C,,,1,,,,,,,,Mercer
80,8140,4191577,2613209,2276254,168567,168388,250459,243107,754789,614480,573121,169451,0,0,0,357,Village Cs,Mercer,K. Charter,C,,,1,9.6,53000,119,69000,119,120000,13.3,Mercer
80,6032,7502985,3763697,2931592,234000,598105,907339,766005,1466869,1112443,1255330,470106,0,109749,98695,566,Academy For Urban Leadership Charter Sch,Middlesex,K. Charter,C,,,1,11.6,53000,70.8,52000,113.2,105000,11.4,Middlesex
80,6041,5309228,3615680,3295607,55967,264106,0,0,1225927,874177,467621,0,0,0,0,438,Hatikvah International Cs,Middlesex,K. Charter,C,,,1,12.8,51500,120,48000,146,84460,12.7,Middlesex
80,6635,5258828,3428712,3366228,23950,38534,0,0,1648291,1178083,166166,0,15659,0,0,393,Greater Brunswick Cs,Middlesex,K. Charter,C,,,1,11.3,53904,124.8,33927,131,93000,12.6,Middlesex
80,7896,,,,,,,,,,,,,,,,Middlesex Charter School,Middlesex,K. Charter,C,,,1,,,,,,,,Middlesex
80,6010,3274714,1492848,1401472,36405,54971,526868,526868,687125,591564,546837,30062,21036,0,4277,178,Academy Charter High School,Monmouth,K. Charter,C,,,1,10.5,54688,44.5,61552,63.6,124085,7.5,Monmouth
80,6740,2670719,1402346,1288832,48135,65379,0,0,774927,495241,493446,158687,0,0,16303,218,Hope Academy Cs,Monmouth,K. Charter,C,,,1,9.7,49000,107.9,13200,60.6,86708,6.8,Monmouth
80,7720,3078288,1588061,1490379,47655,50027,385273,326810,781667,376237,270215,128671,0,52395,13823,177,The Red Bank Cs,Monmouth,K. Charter,C,,,1,6.7,47475,49.2,36000,88.5,95324,15.1,Monmouth
80,7891,2379042,1193043,921679,125431,145933,0,0,672024,436834,513975,0,0,0,39098,159,College Achieve Greater Asbury Park Char,Monmouth,K. Charter,C,,,1,13.3,56500,79.5,62000,,,,Monmouth
80,8050,3563546,1961890,1799609,78162,84119,345636,278671,727523,528947,528496,41166,0,0,0,238,Unity Cs,Morris,K. Charter,C,,,1,10.8,50000,132.2,40200,82.1,62695,8.2,Morris
