CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,1450,86133375,50459109,48009503,1235471,1214135,14458907,12323549,10100801,8611747,8731676,3448610,0,1708200,446090,12.3,76083,71.6,81985,187.3,160291,17.8,4953,Fair Lawn Public Schools,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen
3,1470,15253653,9124722,8688344,266893,169485,1840019,1559165,2173281,1930309,1819679,759563,0,60443,0,16,54850,124.3,67638,165.7,113512,11.7,1514,Fairview Boro,Bergen,D. K-8 / 751 +,2,A,,1,Bergen
3,1550,60935550,35858653,34512904,972890,372859,11151666,9008463,6192362,5170951,6421486,2480504,0,1204658,18000,13.4,75480,80.7,80730,195.7,130303,16.9,3939,Fort Lee Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,Bergen
3,1580,28574836,18956842,18023904,825685,107253,4613583,4378762,2233704,2105677,2607105,374515,0,149234,74000,8.2,67968,41.2,63233,113.6,145604,16.6,1058,Franklin Lakes Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
3,1700,84747277,52862589,52156664,649845,56080,13265547,10790808,8890281,7622568,8839569,5105377,0,786887,0,11.1,60625,70.1,81125,140.3,159620,14.6,5019,Garfield City,Bergen,G. K-12 / 3501 +,3,B,1,1,Bergen
3,1760,44849307,24562167,22550656,1053691,957820,8661100,4902330,5654465,4911097,4750028,1171731,0,1207649,130000,11.1,70399,73.3,78156,167.2,161000,17.4,2558,Glen Rock Boro,Bergen,F. K-12 / 1801 - 3500,3,J,,1,Bergen
3,1860,96225815,59481758,54991895,2219300,2270563,15825965,13919538,8581959,7532600,10260798,5130175,0,2060536,367435,13.7,91810,72.7,102275,169,168192,14.7,5623,Hackensack City,Bergen,G. K-12 / 3501 +,3,CD,,1,Bergen
3,2050,11696839,7414897,7003744,110000,301153,1867306,1430592,1231620,1042874,1077891,463612,0,105125,0,11.4,74087,63.7,61487,150.5,130380,15.6,615,Harrington Park Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen
3,2080,28149969,16870154,16018358,263300,588496,4679833,3468133,2822560,2370365,2880531,1549484,0,877972,20466,12.6,78475,74.2,75775,160.6,128761,14.9,1775,Hasbrouck Heights Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,Bergen
3,2090,8637166,5150526,4845976,100250,204300,1474238,1162378,926381,729031,1052626,463286,0,33396,0,9.3,69304,87.8,75380,98.8,117200,11.8,423,Haworth Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,Bergen
3,2180,22340801,12980312,12624647,280457,75208,4608323,3159746,2198164,1750183,2432726,616097,0,93134,0,9.6,70098,61.6,83888,141.8,152417,17.1,1151,Hillsdale Boro,Bergen,D. K-8 / 751 +,2,GH,,1,Bergen
3,2200,9482779,5693720,5547453,108614,37653,1683170,1437295,1271776,886140,832169,414043,0,0,0,12.8,79797,78.7,73759,118,129540,10.7,586,Ho Ho Kus Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,Bergen
3,2620,30774840,17647093,16643198,805355,198540,4378777,3895700,3925566,3287766,3846562,2145979,0,870072,100200,11.4,62470,72.1,66945,129.2,123600,13.2,1891,Leonia Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen
3,2710,13537124,8202908,7745642,290015,167251,2231412,1746442,1439792,1138053,1580535,777884,0,55772,53800,11.1,71246,124.9,86206,145.7,123160,14.3,893,Little Ferry Boro,Bergen,D. K-8 / 751 +,2,CD,,1,Bergen
3,2740,42350144,23853052,22708689,813146,331217,7562118,5203385,5350442,4673448,4717843,2323812,0,859189,0,13,60184,95.3,100024,134.4,145540,11.7,3098,Lodi Borough,Bergen,F. K-12 / 1801 - 3500,3,B,,1,Bergen
3,2860,36278623,21717817,20779656,458448,479713,4897475,4222388,4461656,3885796,3665699,1664031,360000,960962,0,13.2,59000,68.5,61195,140,128000,12.6,2552,Lyndhurst Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen
3,2900,58383933,32298011,30047335,1487072,763604,11916645,8599996,5892470,4718405,6563445,869170,0,1573641,0,10.7,69064,76.1,70776,106.4,127428,11.4,2788,Mahwah Twp,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen
3,3060,13797594,8976009,8438417,462092,75500,1905802,1374987,1387685,1121901,1410037,757501,0,109718,0,12.4,58400,98,65000,198,135132,18,973,Maywood Boro,Bergen,D. K-8 / 751 +,2,FG,,1,Bergen
3,3170,19422559,11172679,10772566,263878,136235,3333784,2690946,2067262,1826833,2006802,1308507,0,752676,0,9.2,59500,47.7,76750,111.7,137402,14.5,939,Midland Park Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen
3,3330,16041085,9873324,9389689,369155,114480,2639079,2031999,1922789,1748990,1471501,367533,0,131363,50000,11,69913,84.6,70475,120.6,134625,12.4,991,Montvale Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
3,3350,5861032,3247885,3077547,120338,50000,1384055,510717,550497,442445,594985,309237,45500,31784,0,10.1,65270,79.1,92117,103.3,97613,11.5,307,Moonachie Boro,Bergen,B. K-8 / 0 - 400,2,B,,1,Bergen
3,3550,34382692,18542515,17518443,708677,315395,5529874,4621089,4606949,4043444,4468233,2524344,0,1099012,218100,12.9,63700,64.3,65175,144.8,134658,13.5,2056,New Milford Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,Bergen
3,3600,26040480,14786828,14044802,369497,372529,3154290,2517530,3317934,2824478,3728520,1540546,0,716301,4000,13.6,58333,82.9,54985,122.2,130000,10.5,1802,North Arlington Boro,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen
