CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,7500,3312538,1914745,1753596,142747,18402,326344,186264,507725,420775,563724,0,0,0,0,250,Pace Cs Of Hamilton,Mercer,K. Charter,C,,,1,Mercer
80,7540,5173128,3118161,2941248,101830,75083,411074,239841,1244459,682446,399434,136680,0,0,0,348,Princeton Cs,Mercer,K. Charter,C,,,1,Mercer
80,7895,,,,,,,,,,,,,,,,Achievers Early College Prep Charter Sch,Mercer,K. Charter,C,,,1,Mercer
80,8140,4590148,2320878,2012225,132257,176396,249942,238693,890366,755369,1128963,194044,0,0,0,357,Village Cs,Mercer,K. Charter,C,,,1,Mercer
80,6032,6377471,3366157,2560252,178503,627402,0,0,2326712,1822262,684602,0,0,0,121473,494,Academy For Urban Leadership Charter Sch,Middlesex,K. Charter,C,,,1,Middlesex
80,6041,4704055,2955346,2614954,77679,262713,0,0,1010692,823689,738017,0,0,0,0,376,Hatikvah International Cs,Middlesex,K. Charter,C,,,1,Middlesex
80,6635,5323739,3496311,3442348,17640,36323,0,0,1684408,1239426,143020,0,0,0,0,391,Greater Brunswick Cs,Middlesex,K. Charter,C,,,1,Middlesex
80,7896,,,,,,,,,,,,,,,,Middlesex Charter School,Middlesex,K. Charter,C,,,1,Middlesex
80,6010,3336406,1525403,1400710,60953,63740,516572,516572,708021,599740,566409,29929,20000,0,7920,173,Academy Charter High School,Monmouth,K. Charter,C,,,1,Monmouth
80,6740,2363888,986958,902018,45979,38961,585308,488538,215537,183889,576085,155521,0,0,13084,207,Hope Academy Cs,Monmouth,K. Charter,C,,,1,Monmouth
80,7720,2870477,1631215,1465926,71070,94219,337343,273503,589731,335754,212982,117258,0,98654,0,181,The Red Bank Cs,Monmouth,K. Charter,C,,,1,Monmouth
80,7891,,,,,,,,,,,,,,,,College Achieve Greater Asbury Park Char,Monmouth,K. Charter,C,,,1,Monmouth
80,8050,3519453,1802722,1626323,106641,69758,410873,345123,690269,506169,557113,49311,0,58477,5357,233,Unity Cs,Morris,K. Charter,C,,,1,Morris
80,7893,,,,,,,,,,,,,,,,Ocean Academy Charter School,Ocean,K. Charter,C,,,1,Ocean
80,6021,11780631,5558922,5143186,291831,123905,0,0,2228036,1490164,3993673,1284629,0,0,0,900,Community Charter School Of Paterso,Passaic,K. Charter,C,,,1,Passaic
80,6079,3128870,1295642,1087992,11709,195941,439797,393408,691572,338041,701859,137440,0,0,0,201,John P Holland Charter School,Passaic,K. Charter,C,,,1,Passaic
80,6080,10160568,4717028,4391534,244988,80506,0,0,3941303,2202485,1495224,0,0,0,50827,837,Passaic Arts And Science Charter School,Passaic,K. Charter,C,,,1,Passaic
80,6096,5518413,2954785,2756887,111058,86840,0,0,2164513,853474,395718,0,0,0,163836,540,Paterson Arts And Science Cs,Passaic,K. Charter,C,,,1,Passaic
80,6106,1032917,427882,425809,615,1458,0,0,341826,184403,263208,54957,0,0,0,54,Philip’s Charter School Of Paterson,Passaic,K. Charter,C,,,1,Passaic
80,6230,1203208,613709,537558,30105,46046,0,0,533830,284806,55669,0,0,0,0,118,Classical Academy Charter School Of Clif,Passaic,K. Charter,C,,,1,Passaic
80,7503,13364058,6904153,6569257,73686,261210,0,0,2084787,1772019,4358680,1368553,0,0,728617,1068,Paterson Cs For Sci/Tech,Passaic,K. Charter,C,,,1,Passaic
80,7892,,,,,,,,,,,,,,,,College Achieve Paterson Charter School,Passaic,K. Charter,C,,,1,Passaic
80,6018,6023643,3176644,2849529,194901,132214,299269,276976,1234652,933399,1175046,255666,1620,136412,0,474,Central Jersey College Prep Charter Scho,Somerset,K. Charter,C,,,1,Somerset
80,6081,4803677,2327918,1752602,437196,138120,164768,136835,882977,724565,1413844,229070,0,14170,0,425,Thomas Edison Energysmart Charter School,Somerset,K. Charter,C,,,1,Somerset
80,7850,3362120,1976055,1884117,66726,25212,333034,256976,682495,536547,312899,101781,0,57637,3827,216,Sussex County Technology Charter School,Sussex,K. Charter,C,,,1,Sussex
80,6033,3159553,1487811,1062191,76870,348750,63271,56527,1007227,721548,546515,0,0,10891,0,233,The Barack Obama Green Charter High Scho,Union,K. Charter,C,,,1,Union
80,6101,6677011,3530500,2927014,228536,374950,274805,258849,1765831,302205,981092,8299,119326,5458,0,592,College Achieve Central Charter School,Union,K. Charter,C,,,1,Union
80,6102,1229617,687656,600163,43026,44467,0,0,330020,263847,211941,95278,0,0,27558,75,Cresthaven Academy Charter School,Union,K. Charter,C,,,1,Union
80,7600,3702316,1739239,1664691,60891,13657,475044,245960,1058245,559786,361229,0,0,68558,0,322,Queen City Academy Cs,Union,K. Charter,C,,,1,Union
80,8010,4661503,2426641,1909458,163532,353651,1318808,935715,199661,0,716393,0,0,0,0,386,Union County Teams Cs,Union,K. Charter,C,,,1,Union
80,7727,1646298,1093274,1062829,29845,600,0,0,342315,300930,210709,0,0,0,8637,125,Ridge And Valley Cs,Warren,K. Charter,C,,,1,Warren
