CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY,ENROLL
3,1450,99402006,58017759,54564143,1968699,1484917,17239414,14183711,10669714,8775350,10964351,3516327,0,1857505,511000,12.1,83496,66.3,87443,189.2,166913,18.5,Fair Lawn Public Schools,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen,5447.6
3,1470,26876196,14150224,10362895,2137938,1649391,4485645,3192444,3648751,2725149,4273748,1626043,0,183312,875000,14.9,61560,85.3,62835,153.5,130275,12.1,Fairview Boro,Bergen,D. K-8 / 751 +,2,A,,1,Bergen,1485.0
3,1550,70773466,41174746,38991707,1924125,258914,12858836,10495777,7767813,6070072,7461428,2767327,0,1340210,150000,11.9,80575,70.6,89975,190.7,138000,18.8,Fort Lee Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,Bergen,4112.1
3,1580,32058308,19767266,18640896,1013370,113000,6033554,5566749,2749278,2568428,3308196,516330,20000,166333,67000,8,85945,40.2,80158,118.7,158858,17.9,Franklin Lakes Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,1371.0
3,1700,94219535,57783001,56804803,918898,59300,14658038,11933588,10590649,8841749,9882199,5640573,0,1103222,3500,10.7,74900,59.4,85250,134,168362,14.8,Garfield City,Bergen,G. K-12 / 3501 +,3,B,1,1,Bergen,4481.1
3,1760,49719706,27186456,24284595,894767,2007094,9115331,5655718,6045919,5175964,6139485,1348191,0,1216593,162500,11.7,79574,56.3,82729,136.2,148038,14.1,Glen Rock Boro,Bergen,F. K-12 / 1801 - 3500,3,J,,1,Bergen,2600.9
3,1860,114678467,67331180,59161372,4851422,3318386,19408904,14773417,10459155,8698453,15255956,5442090,0,2187266,540506,11.8,103126,63.3,106795,145.6,181772,14.7,Hackensack City,Bergen,G. K-12 / 3501 +,3,CD,,1,Bergen,5005.0
3,2050,12456122,7796985,7544621,128000,124364,1895524,1467843,1400783,1144708,1222428,470409,0,140403,0,10.7,87050,62.8,73719,123,153658,13.5,Harrington Park Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen,604.0
3,2080,31200580,18004702,16874706,294720,835276,5422884,4444734,3186819,2690500,3565060,1698956,0,1009809,20467,11.7,90806,70.8,78344,130.8,148250,13,Hasbrouck Heights Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,Bergen,1704.0
3,2090,9558538,5781215,5342215,254000,185000,1594343,1207493,1017020,774488,1076762,599614,0,89198,250000,9.3,71807,65.5,66148,106.5,116200,13.1,Haworth Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen,423.0
3,2180,23807845,13812807,13523457,249550,39800,4663416,3053654,2275067,1755447,2933749,588279,0,110267,0,9.1,79461,58.6,91791,137.8,157095,17.5,Hillsdale Boro,Bergen,D. K-8 / 751 +,2,GH,,1,Bergen,1070.0
3,2200,10561543,6031033,5829271,166537,35225,2188999,1887466,1315674,1071538,1009858,559061,0,15979,0,10.8,76472,62.9,81961,90.2,129905,9.8,Ho Ho Kus Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,Bergen,563.0
3,2620,34462115,19780247,18977435,662550,140262,5408406,4979130,4481251,3496856,3748364,2305496,0,809253,295439,12.3,68925,69.9,75570,161.8,150759,15.5,Leonia Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen,2069.1
3,2710,16242557,9294684,8756525,234124,304035,2605738,1599015,2203886,1684636,2058229,1050441,0,57036,150020,9.1,76788,113.4,71598,113.4,131452,13.4,Little Ferry Boro,Bergen,D. K-8 / 751 +,2,CD,,1,Bergen,1122.0
3,2740,47842256,26668852,25514952,657900,496000,10479513,7770973,4643211,3797232,4751315,2524065,0,1299365,148152,12.5,65236,72.9,78043,136.2,153818,12.8,Lodi Borough,Bergen,F. K-12 / 1801 - 3500,3,B,,1,Bergen,2742.5
3,2860,40675590,23253788,22567050,478241,208497,5896445,4912858,5150095,4507161,5002505,2677055,50000,1134582,0,13.1,89730,67.9,85630,151.8,161723,13.8,Lyndhurst Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen,2487.0
3,2900,62920729,33169070,30464294,1070035,1634741,14029588,10969723,6632950,4992026,7219818,926071,0,1755697,280000,9.8,82284,59.5,79406,99.1,143296,11.8,Mahwah Twp,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen,2753.0
3,3060,15164823,9881812,9117807,689923,74082,2191875,1708742,1442049,1151428,1538230,805580,0,74432,0,11.4,66499,69.9,73150,190,136792,19.3,Maywood Boro,Bergen,D. K-8 / 751 +,2,FG,,1,Bergen,955.0
3,3170,21087968,12383068,11889846,265147,228075,3562938,2765397,2190592,1999800,2094792,1324487,0,766639,0,8.6,67550,44.2,87300,108.4,179528,15.1,Midland Park Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen,883.5
3,3330,17816219,11197448,10756541,331407,109500,2815578,2075908,2118183,1895083,1539585,340154,0,142912,0,10.3,76037,67.9,80668,118.8,152119,13.3,Montvale Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,949.0
3,3350,6991666,3986241,3790176,118065,78000,1613824,564854,651406,463606,681906,374506,0,52805,0,10.1,64344,357,103805,89.3,115037,9.1,Moonachie Boro,Bergen,B. K-8 / 0 - 400,2,B,,1,Bergen,346.0
3,3550,39298510,21258274,20154698,704294,399282,6838817,5400219,5235285,4585333,4719405,2314278,0,1134447,597878,11.9,73345,58.6,75735,120,141192,12.1,New Milford Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,Bergen,2136.9
3,3600,33968330,19759000,17928417,1156100,674483,4596995,3462968,3844952,3168567,4778418,2142622,0,899584,190000,12.7,64650,78.5,56885,130.9,144196,12,North Arlington Boro,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen,1965.0
3,3700,27562675,16140277,15083761,751693,304823,3941488,3634694,2283553,1833307,3385803,1476930,10000,1735187,682000,11.6,92852,71,105464,85.7,136000,8.6,Northern Highlands Reg,Bergen,H. 7-12 / 9-12,5,J,,1,Bergen,1281.0
3,3710,54504191,31585974,28965767,648966,1971241,9298484,7803914,5217143,4241200,5271536,2996021,0,3129665,0,9,117410,36,106247,75.1,157064,10.5,Northern Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen,2197.5
3,3730,9839880,5658199,5498940,141279,17980,1934761,1476248,1190190,875861,939666,296639,0,111138,25068,10.2,81538,66.5,74513,133,137143,15,Northvale Boro,Bergen,C. K-8 / 401 - 750,2,FG,,1,Bergen,540.0
3,3740,10270253,6007399,5553344,353473,100582,1726810,1367214,1265165,1111315,1180999,584906,20000,51881,13611,12.8,73057,55.1,82432,151.5,136250,14.6,Norwood Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen,615.0
3,3760,31099965,18264489,17505291,637039,122159,6032210,4091104,3159042,2843365,3307223,1720415,0,248555,38993,10,88441,48.3,86182,107.9,153463,13.1,Oakland Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,1277.0
3,3850,15589453,9437482,8962911,273901,200670,2683686,2322993,1630406,1322626,1698187,589605,0,139692,0,11.8,92392,59.9,84279,104.4,130600,10.6,Old Tappan Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen,748.0
3,3870,12414855,7500748,7030335,249049,221364,2181626,1648807,1369697,1165150,1336355,730708,0,26429,0,12.8,70230,79.6,87451,113.7,135960,10.3,Oradell Boro,Bergen,A. K-6,1,I,,1,Bergen,774.0
3,3910,27240637,17314367,16705061,340856,268450,3331509,2615676,3308487,2567793,2591789,1276261,0,668602,20000,12.1,73485,73.5,67205,196,105680,18.8,Palisades Park,Bergen,E. K-12 / 0 - 1800,3,CD,,1,Bergen,1740.9
3,3930,80857457,45161488,42790217,2275171,96100,13790541,10990065,8221557,7310502,12091825,6865524,0,1341284,584500,10.8,77883,53.1,87238,133.2,173311,14.9,Paramus Boro,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen,3601.5
3,3940,30337311,15751304,15050420,493764,207120,7534133,6116878,2917839,2448428,2937498,1547159,0,1168624,7750,9.4,81125,50.4,92871,73.7,153554,9.3,Park Ridge Boro,Bergen,E. K-12 / 0 - 1800,3,I,,1,Bergen,1180.0
3,3960,50043386,27638679,25355273,522623,1760783,8372969,6951041,4351413,3703714,6966900,3223885,0,2695494,0,10.2,111723,54.3,99775,80.3,162609,9.3,Pascack Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen,1812.0
3,4300,49890711,25667037,23806721,629894,1230422,8567407,7144023,5002408,3947063,6857014,3017014,0,3714029,100000,10.1,83661,68,86396,70.4,146306,8,Ramapo-Indian Hill Reg,Bergen,H. 7-12 / 9-12,5,I,,1,Bergen,2061.5
3,4310,61320287,37512883,36102907,1165530,244446,10001898,7723825,5080506,3744536,6907897,3837489,50000,1663202,0,9.5,95220,57.8,100400,123.8,158588,15.1,Ramsey Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen,2457.0
3,4370,38092875,21325476,20521923,273964,529589,8961688,8208988,3731404,2911884,3167864,1420134,0,806615,0,10.2,80030,44.1,103398,99.2,129775,12,Ridgefield Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen,1543.5
3,4380,42560328,24844369,22382227,2313397,148745,6052672,5024962,5355944,3871475,4661305,931857,0,1267846,551000,11,79301,66.2,79326,120.7,137917,12.8,Ridgefield Park Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen,2418.5
3,4390,104343876,60369842,57521077,1418798,1429967,21203711,17262102,9118070,7136065,11812938,742064,0,1768183,53165,12.4,96342,69.4,100843,180.2,163198,17.1,Ridgewood Village,Bergen,G. K-12 / 3501 +,3,J,,1,Bergen,5582.0
3,4405,32074981,19198490,17799238,591127,808125,4260925,3659776,3716676,3137312,3298051,1662307,0,1594269,0,11.5,96189,79.5,108880,122.3,161600,12.2,River Dell Regional,Bergen,H. 7-12 / 9-12,4,I,,1,Bergen,1603.0
3,4410,20796937,13630456,12926775,469206,234475,2931186,2457457,2287154,2041179,1889723,1069853,0,39638,0,11.6,70592,62.1,79492,131.1,167544,13.4,River Edge Boro,Bergen,A. K-6,1,I,,1,Bergen,1194.0
3,4430,22763361,13537832,12485708,659806,392318,3959790,3063941,2499895,2156947,2580790,1478779,0,185053,60000,10.3,101490,58,77835,144.1,140319,16.4,River Vale Twp,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,1013.0
3,4470,9413911,5907494,5598529,77601,231364,1611585,1391626,1088992,836924,726998,470466,0,73927,0,10.3,82986,60.2,71303,102.9,119831,11.7,Rochelle Park Twp,Bergen,C. K-8 / 401 - 750,2,FG,,1,Bergen,533.0
3,4600,43253679,25107423,23680979,649493,776951,6140166,5256287,6001383,5056714,4707616,1721272,0,1174509,204660,11.4,74327,67.8,98285,132,165759,13.5,Rutherford Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen,2525.5
