GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
B. K-8 / 0 - 400,Union,1710,Garwood Boro,0.275,0.268,0.309
B. K-8 / 0 - 400,Union,5810,Winfield Twp,0.283,0.219,0.201
B. K-8 / 0 - 400,Warren,70,Alpha Boro,0.266,0.290,0.340
B. K-8 / 0 - 400,Warren,2040,Harmony Twp,0.308,0.268,0.361
B. K-8 / 0 - 400,Warren,2250,Hope Twp,0.288,0.302,0.344
B. K-8 / 0 - 400,Warren,3890,Oxford Twp,0.322,0.321,0.368
B. K-8 / 0 - 400,Warren,4200,Pohatcong Twp,0.342,0.344,0.379
B. K-8 / 0 - 400,Warren,5780,White Twp,0.406,0.418,0.479
C. K-8 / 401 - 750,Statewide,N.A.,1. State average - Operating Type K-8,0.310,0.298,0.331
C. K-8 / 401 - 750,Statewide,N.A.,2. State median - Operating Type K-8,0.304,0.292,0.329
C. K-8 / 401 - 750,Statewide,N.A.,5. State average - All operating types,0.310,0.300,0.319
C. K-8 / 401 - 750,Statewide,N.A.,6. State median - All operating types,0.295,0.283,0.311
C. K-8 / 401 - 750,Atlantic,1300,Egg Harbor City,0.342,0.370,0.380
C. K-8 / 401 - 750,Atlantic,3480,Mullica Twp,0.291,0.286,0.292
C. K-8 / 401 - 750,Atlantic,4800,Somers Point City,0.357,0.360,0.394
C. K-8 / 401 - 750,Atlantic,5350,Ventnor City,0.328,0.346,0.363
C. K-8 / 401 - 750,Bergen,740,Carlstadt Boro,0.298,0.289,0.337
C. K-8 / 401 - 750,Bergen,1230,East Rutherford Boro,0.244,0.221,0.229
C. K-8 / 401 - 750,Bergen,2050,Harrington Park Boro,0.331,0.283,0.301
C. K-8 / 401 - 750,Bergen,2090,Haworth Boro,0.268,0.256,0.277
C. K-8 / 401 - 750,Bergen,2200,Ho Ho Kus Boro,0.267,0.248,0.254
C. K-8 / 401 - 750,Bergen,3730,Northvale Boro,0.234,0.216,0.233
C. K-8 / 401 - 750,Bergen,3740,Norwood Boro,0.272,0.242,0.265
C. K-8 / 401 - 750,Bergen,3850,Old Tappan Boro,0.253,0.248,0.341
C. K-8 / 401 - 750,Bergen,4470,Rochelle Park Twp,0.256,0.231,0.255
C. K-8 / 401 - 750,Bergen,5880,Woodcliff Lake Boro,0.283,0.268,0.365
C. K-8 / 401 - 750,Burlington,1250,Eastampton Twp,0.338,0.313,0.359
C. K-8 / 401 - 750,Burlington,1910,Hainesport Twp,0.303,0.304,0.328
C. K-8 / 401 - 750,Burlington,3070,Medford Lakes Boro,0.240,0.248,0.287
C. K-8 / 401 - 750,Burlington,4740,Shamong Twp,0.333,0.322,0.369
C. K-8 / 401 - 750,Burlington,4930,Southampton Township School District,0.249,0.279,0.281
C. K-8 / 401 - 750,Burlington,5130,Tabernacle Twp,0.411,0.398,0.431
C. K-8 / 401 - 750,Camden,190,Barrington Boro,0.291,0.321,0.312
C. K-8 / 401 - 750,Camden,340,Berlin Twp,0.287,0.348,0.369
C. K-8 / 401 - 750,Camden,880,Clementon Boro,0.391,0.350,0.405
C. K-8 / 401 - 750,Camden,3420,Mount Ephraim Boro,0.321,0.346,0.346
C. K-8 / 401 - 750,Camden,4790,Somerdale Boro,0.326,0.356,0.374
C. K-8 / 401 - 750,Cape May,1080,Dennis Twp,0.357,0.410,0.386
C. K-8 / 401 - 750,Cumberland,950,Commercial Twp,0.299,0.293,0.343
C. K-8 / 401 - 750,Cumberland,1460,Fairfield Twp,0.485,0.347,0.431
C. K-8 / 401 - 750,Cumberland,2270,Hopewell Twp,0.260,0.278,0.253
C. K-8 / 401 - 750,Cumberland,2570,Lawrence Twp,0.249,0.319,0.343
C. K-8 / 401 - 750,Gloucester,1830,Greenwich Twp,0.320,0.329,0.325
C. K-8 / 401 - 750,Hunterdon,20,Alexandria Twp,0.288,0.292,0.300
C. K-8 / 401 - 750,Hunterdon,1040,Delaware Twp,0.310,0.269,0.321
C. K-8 / 401 - 750,Hunterdon,2220,Holland Twp,0.428,0.420,0.354
C. K-8 / 401 - 750,Hunterdon,2600,Lebanon Twp,0.382,0.369,0.408
C. K-8 / 401 - 750,Hunterdon,5180,Tewksbury Twp,0.407,0.383,0.479
C. K-8 / 401 - 750,Hunterdon,5270,Union Twp,0.338,0.332,0.359
C. K-8 / 401 - 750,Middlesex,970,Cranbury Twp,0.340,0.338,0.375
C. K-8 / 401 - 750,Middlesex,2370,Jamesburg Boro,0.281,0.294,0.296
C. K-8 / 401 - 750,Monmouth,270,Belmar Boro,0.328,0.339,0.359
C. K-8 / 401 - 750,Monmouth,560,Brielle Boro,0.262,0.254,0.278
C. K-8 / 401 - 750,Monmouth,2720,Little Silver Boro,0.307,0.292,0.337
C. K-8 / 401 - 750,Monmouth,3830,Oceanport Boro,0.304,0.253,0.314
C. K-8 / 401 - 750,Monmouth,4770,Shrewsbury Boro,0.237,0.245,0.287
C. K-8 / 401 - 750,Monmouth,5230,Union Beach,0.335,0.239,0.390
C. K-8 / 401 - 750,Monmouth,5640,West Long Branch Boro,0.289,0.300,0.293
C. K-8 / 401 - 750,Morris,3090,Mendham Boro,0.277,0.292,0.291
C. K-8 / 401 - 750,Morris,3380,Morris Plains Boro,0.261,0.266,0.277
C. K-8 / 401 - 750,Morris,4480,Rockaway Boro,0.259,0.231,0.267
C. K-8 / 401 - 750,Morris,5770,Wharton Boro,0.303,0.300,0.350
C. K-8 / 401 - 750,Passaic,420,Bloomingdale Boro,0.310,0.247,0.293
C. K-8 / 401 - 750,Passaic,3640,North Haledon Boro,0.273,0.275,0.280
C. K-8 / 401 - 750,Somerset,240,Bedminster Twp,0.355,0.350,0.402
C. K-8 / 401 - 750,Somerset,1810,Green Brook Twp,0.305,0.296,0.373
C. K-8 / 401 - 750,Somerset,4850,South Bound Brook,0.294,0.257,0.266
C. K-8 / 401 - 750,Somerset,5540,Watchung Boro,0.343,0.334,0.351
C. K-8 / 401 - 750,Sussex,90,Andover Reg,0.261,0.228,0.279
C. K-8 / 401 - 750,Sussex,1560,Frankford Twp,0.275,0.265,0.290
C. K-8 / 401 - 750,Sussex,1570,Franklin Boro,0.320,0.291,0.340
C. K-8 / 401 - 750,Sussex,2030,Hardyston Twp,0.295,0.281,0.305
C. K-8 / 401 - 750,Union,3470,Mountainside Boro,0.357,0.355,0.373
C. K-8 / 401 - 750,Warren,30,Allamuchy Twp,0.343,0.359,0.376
C. K-8 / 401 - 750,Warren,1785,Great Meadows Regional,0.396,0.325,0.454
C. K-8 / 401 - 750,Warren,1840,Greenwich Twp,0.354,0.373,0.416
C. K-8 / 401 - 750,Warren,2790,Lopatcong Twp,0.289,0.274,0.408
D. K-8 / 751 +,Statewide,N.A.,1. State average - Operating Type K-8,0.310,0.298,0.331
D. K-8 / 751 +,Statewide,N.A.,2. State median - Operating Type K-8,0.304,0.292,0.329
D. K-8 / 751 +,Statewide,N.A.,5. State average - All operating types,0.310,0.300,0.319
D. K-8 / 751 +,Statewide,N.A.,6. State median - All operating types,0.295,0.283,0.311
D. K-8 / 751 +,Atlantic,10,Absecon City,0.298,0.292,0.319
D. K-8 / 751 +,Atlantic,1690,Galloway Twp,0.384,0.365,0.427
D. K-8 / 751 +,Atlantic,1940,Hamilton Twp,0.330,0.320,0.356
D. K-8 / 751 +,Atlantic,2680,Linwood City,0.330,0.298,0.381
D. K-8 / 751 +,Atlantic,3720,Northfield City,0.322,0.282,0.287
D. K-8 / 751 +,Bergen,40,Allendale Boro,0.305,0.272,0.308
D. K-8 / 751 +,Bergen,930,Closter Boro,0.240,0.212,0.252
D. K-8 / 751 +,Bergen,1070,Demarest Boro,0.302,0.257,0.306
D. K-8 / 751 +,Bergen,1470,Fairview Boro,0.319,0.302,0.329
D. K-8 / 751 +,Bergen,1580,Franklin Lakes Boro,0.329,0.293,0.313
D. K-8 / 751 +,Bergen,2180,Hillsdale Boro,0.238,0.212,0.254
D. K-8 / 751 +,Bergen,2710,Little Ferry Boro,0.260,0.242,0.289
D. K-8 / 751 +,Bergen,3060,Maywood Boro,0.278,0.214,0.255
D. K-8 / 751 +,Bergen,3330,Montvale Boro,0.249,0.203,0.247
D. K-8 / 751 +,Bergen,3760,Oakland Boro,0.311,0.279,0.308
D. K-8 / 751 +,Bergen,4430,River Vale Twp,0.249,0.217,0.252
D. K-8 / 751 +,Bergen,5330,Upper Saddle River Boro,0.342,0.305,0.330
D. K-8 / 751 +,Bergen,5920,Wyckoff Twp,0.243,0.212,0.241
D. K-8 / 751 +,Burlington,1280,Edgewater Park Twp,0.379,0.384,0.441
D. K-8 / 751 +,Burlington,1420,Evesham Twp,0.336,0.351,0.327
D. K-8 / 751 +,Burlington,2850,Lumberton Twp,0.307,0.307,0.375
D. K-8 / 751 +,Burlington,3080,Medford Twp,0.275,0.287,0.283
D. K-8 / 751 +,Burlington,3430,Mount Holly Twp,0.279,0.294,0.347
D. K-8 / 751 +,Burlington,3440,Mount Laurel Twp,0.292,0.291,0.329
D. K-8 / 751 +,Burlington,5720,Westampton,0.236,0.236,0.241
D. K-8 / 751 +,Camden,260,Bellmawr Boro,0.273,0.296,0.301
D. K-8 / 751 +,Camden,330,Berlin Boro,0.271,0.266,0.278
D. K-8 / 751 +,Camden,1780,Gloucester Twp,0.315,0.297,0.330
D. K-8 / 751 +,Camden,4590,Runnemede Boro,0.399,0.395,0.440
D. K-8 / 751 +,Camden,5080,Stratford Boro,0.304,0.294,0.297
D. K-8 / 751 +,Camden,5400,Voorhees Twp,0.321,0.311,0.372
D. K-8 / 751 +,Cape May,5340,Upper Twp,0.288,0.302,0.349
D. K-8 / 751 +,Cumberland,5300,Upper Deerfield Twp,0.272,0.336,0.363
D. K-8 / 751 +,Gloucester,2750,Logan Twp,0.284,0.286,0.307
D. K-8 / 751 +,Hudson,1850,Guttenberg Town,0.298,0.273,0.303
D. K-8 / 751 +,Hunterdon,920,Clinton Twp,0.345,0.306,0.335
D. K-8 / 751 +,Hunterdon,1510,Flemington-Raritan Reg,0.254,0.264,0.269
D. K-8 / 751 +,Hunterdon,4350,Readington Twp,0.279,0.282,0.311
D. K-8 / 751 +,Middlesex,3220,Milltown Boro,0.288,0.302,0.283
D. K-8 / 751 +,Monmouth,945,Colts Neck Twp,0.301,0.291,0.287
D. K-8 / 751 +,Monmouth,1260,Eatontown Boro,0.312,0.306,0.358
D. K-8 / 751 +,Monmouth,1440,Fair Haven Boro,0.325,0.344,0.346
D. K-8 / 751 +,Monmouth,1640,Freehold Boro,0.340,0.291,0.363
D. K-8 / 751 +,Monmouth,1660,Freehold Twp,0.368,0.353,0.420
D. K-8 / 751 +,Monmouth,2290,Howell Twp,0.300,0.342,0.339
D. K-8 / 751 +,Monmouth,2920,Manalapan-Englishtown Reg,0.333,0.295,0.340
D. K-8 / 751 +,Monmouth,3030,Marlboro Twp,0.287,0.262,0.285
D. K-8 / 751 +,Monmouth,3200,Millstone Twp,0.308,0.310,0.401
D. K-8 / 751 +,Monmouth,4360,Red Bank Boro,0.431,0.434,0.538
D. K-8 / 751 +,Monmouth,4570,Rumson Boro,0.366,0.370,0.380
D. K-8 / 751 +,Monmouth,5185,Tinton Falls,0.307,0.256,0.337
D. K-8 / 751 +,Morris,820,Chester Twp,0.276,0.274,0.305
D. K-8 / 751 +,Morris,1090,Denville Twp,0.333,0.298,0.337
D. K-8 / 751 +,Morris,1190,East Hanover Twp,0.303,0.275,0.338
D. K-8 / 751 +,Morris,1530,Florham Park Boro,0.369,0.338,0.360
D. K-8 / 751 +,Morris,2000,Hanover Twp,0.331,0.336,0.350
D. K-8 / 751 +,Morris,2650,Lincoln Park Boro,0.271,0.273,0.280
D. K-8 / 751 +,Morris,3100,Mendham Twp,0.384,0.390,0.414
D. K-8 / 751 +,Morris,4000,Long Hill Twp,0.277,0.265,0.329
D. K-8 / 751 +,Morris,4490,Rockaway Twp,0.308,0.274,0.330
D. K-8 / 751 +,Morris,5520,Washington Twp,0.325,0.326,0.327
D. K-8 / 751 +,Passaic,1920,Haledon Boro,0.308,0.300,0.350
D. K-8 / 751 +,Passaic,2700,Little Falls Twp,0.275,0.287,0.282
D. K-8 / 751 +,Passaic,4270,Prospect Park Boro,0.337,0.319,0.351
D. K-8 / 751 +,Passaic,4400,Ringwood Boro,0.277,0.242,0.275
D. K-8 / 751 +,Passaic,5200,Totowa Boro,0.328,0.288,0.301
D. K-8 / 751 +,Passaic,5440,Wanaque Boro,0.251,0.230,0.265
D. K-8 / 751 +,Passaic,5690,Woodland Park,0.275,0.245,0.251
D. K-8 / 751 +,Somerset,510,Branchburg Twp,0.402,0.352,0.389
D. K-8 / 751 +,Somerset,5470,Warren Twp,0.307,0.275,0.309
D. K-8 / 751 +,Sussex,640,Byram Twp,0.284,0.295,0.340
D. K-8 / 751 +,Sussex,5100,Sussex-Wantage Regional,0.342,0.272,0.309
