GROUP,CONAME,DIST,DISTNAME,EX121,EX221
C. K-8 / 401 - 750,Camden,4790,Somerdale Boro,294119,306458
C. K-8 / 401 - 750,Cape May,1080,Dennis Twp,176520,153328
C. K-8 / 401 - 750,Cumberland,950,Commercial Twp,929477,832133
C. K-8 / 401 - 750,Cumberland,1460,Fairfield Twp,0,200080
C. K-8 / 401 - 750,Cumberland,2270,Hopewell Twp,561962,221600
C. K-8 / 401 - 750,Cumberland,2570,Lawrence Twp,431987,468812
C. K-8 / 401 - 750,Gloucester,1830,Greenwich Twp,242336,537525
C. K-8 / 401 - 750,Hunterdon,20,Alexandria Twp,0,250000
C. K-8 / 401 - 750,Hunterdon,1040,Delaware Twp,150000,550000
C. K-8 / 401 - 750,Hunterdon,2220,Holland Twp,250000,250000
C. K-8 / 401 - 750,Hunterdon,2600,Lebanon Twp,825179,599140
C. K-8 / 401 - 750,Hunterdon,5180,Tewksbury Twp,407860,561671
C. K-8 / 401 - 750,Hunterdon,5270,Union Twp,0,0
C. K-8 / 401 - 750,Middlesex,970,Cranbury Twp,0,0
C. K-8 / 401 - 750,Middlesex,2370,Jamesburg Boro,0,66767
C. K-8 / 401 - 750,Monmouth,270,Belmar Boro,382142,411337
C. K-8 / 401 - 750,Monmouth,560,Brielle Boro,139204,357000
C. K-8 / 401 - 750,Monmouth,2720,Little Silver Boro,0,0
C. K-8 / 401 - 750,Monmouth,3830,Oceanport Boro,219016,0
C. K-8 / 401 - 750,Monmouth,4770,Shrewsbury Boro,100000,0
C. K-8 / 401 - 750,Monmouth,5230,Union Beach,349726,0
C. K-8 / 401 - 750,Monmouth,5640,West Long Branch Boro,362668,41029
C. K-8 / 401 - 750,Morris,3090,Mendham Boro,886542,572486
C. K-8 / 401 - 750,Morris,3380,Morris Plains Boro,600000,790000
C. K-8 / 401 - 750,Morris,4480,Rockaway Boro,200000,300000
C. K-8 / 401 - 750,Morris,5770,Wharton Boro,670000,670000
C. K-8 / 401 - 750,Passaic,420,Bloomingdale Boro,1309825,1303340
C. K-8 / 401 - 750,Passaic,3640,North Haledon Boro,114747,232244
C. K-8 / 401 - 750,Somerset,240,Bedminster Twp,1346589,892716
C. K-8 / 401 - 750,Somerset,1810,Green Brook Twp,300000,300000
C. K-8 / 401 - 750,Somerset,4850,South Bound Brook,376753,374016
C. K-8 / 401 - 750,Somerset,5540,Watchung Boro,456977,623908
C. K-8 / 401 - 750,Sussex,90,Andover Reg,570762,1984610
C. K-8 / 401 - 750,Sussex,1560,Frankford Twp,150000,135000
C. K-8 / 401 - 750,Sussex,1570,Franklin Boro,500000,500000
C. K-8 / 401 - 750,Sussex,2030,Hardyston Twp,549567,549567
C. K-8 / 401 - 750,Union,3470,Mountainside Boro,375000,375000
C. K-8 / 401 - 750,Warren,30,Allamuchy Twp,0,0
C. K-8 / 401 - 750,Warren,1785,Great Meadows Regional,0,0
C. K-8 / 401 - 750,Warren,1840,Greenwich Twp,0,0
C. K-8 / 401 - 750,Warren,2790,Lopatcong Twp,0,0
D. K-8 / 751 +,Atlantic,10,Absecon City,589484,862128
D. K-8 / 751 +,Atlantic,1690,Galloway Twp,2112441,1958322
D. K-8 / 751 +,Atlantic,1940,Hamilton Twp,2947680,3959428
D. K-8 / 751 +,Atlantic,2680,Linwood City,512589,554007
D. K-8 / 751 +,Atlantic,3720,Northfield City,339987,509400
D. K-8 / 751 +,Bergen,40,Allendale Boro,1338251,1468145
D. K-8 / 751 +,Bergen,930,Closter Boro,500000,500000
D. K-8 / 751 +,Bergen,1070,Demarest Boro,1200000,1000000
D. K-8 / 751 +,Bergen,1470,Fairview Boro,229743,465820
D. K-8 / 751 +,Bergen,1580,Franklin Lakes Boro,800000,500000
D. K-8 / 751 +,Bergen,2180,Hillsdale Boro,250000,750000
D. K-8 / 751 +,Bergen,2710,Little Ferry Boro,335745,340385
D. K-8 / 751 +,Bergen,3060,Maywood Boro,728371,598524
D. K-8 / 751 +,Bergen,3330,Montvale Boro,400000,400000
D. K-8 / 751 +,Bergen,3760,Oakland Boro,760000,760000
D. K-8 / 751 +,Bergen,4430,River Vale Twp,0,658755
D. K-8 / 751 +,Bergen,5330,Upper Saddle River Boro,1223526,2108679
D. K-8 / 751 +,Bergen,5920,Wyckoff Twp,650000,650000
D. K-8 / 751 +,Burlington,1280,Edgewater Park Twp,292106,600077
D. K-8 / 751 +,Burlington,1420,Evesham Twp,670848,2483521
D. K-8 / 751 +,Burlington,2850,Lumberton Twp,2190554,3369092
D. K-8 / 751 +,Burlington,3080,Medford Twp,2403676,1897141
D. K-8 / 751 +,Burlington,3430,Mount Holly Twp,2075000,2000000
D. K-8 / 751 +,Burlington,3440,Mount Laurel Twp,2908924,3326826
D. K-8 / 751 +,Burlington,5720,Westampton,277552,217304
D. K-8 / 751 +,Camden,260,Bellmawr Boro,408381,921638
D. K-8 / 751 +,Camden,330,Berlin Boro,0,0
D. K-8 / 751 +,Camden,1780,Gloucester Twp,7038211,6877605
D. K-8 / 751 +,Camden,4590,Runnemede Boro,41709,39581
D. K-8 / 751 +,Camden,5080,Stratford Boro,2661724,2796607
D. K-8 / 751 +,Camden,5400,Voorhees Twp,1314871,1113807
D. K-8 / 751 +,Cape May,5340,Upper Twp,978000,975000
D. K-8 / 751 +,Cumberland,5300,Upper Deerfield Twp,854101,769831
D. K-8 / 751 +,Gloucester,2750,Logan Twp,1567983,1474381
D. K-8 / 751 +,Hudson,1850,Guttenberg Town,3502692,4531628
D. K-8 / 751 +,Hunterdon,920,Clinton Twp,0,0
D. K-8 / 751 +,Hunterdon,1510,Flemington-Raritan Reg,1268025,1498806
D. K-8 / 751 +,Hunterdon,4350,Readington Twp,815000,800000
D. K-8 / 751 +,Middlesex,3220,Milltown Boro,601314,317067
D. K-8 / 751 +,Monmouth,945,Colts Neck Twp,0,0
