CONAME,DISTNAME,DIST,GENERAL_CURR_EXP,L76400,GRANTS_ENTITLE,L92180,DEBT_SERVICE,SDA_DEBT_SERVICE,EXP22,TOTENR2A,PP22
Bergen,Leonia Boro,2620,20461.906909,1233.4006324,775.19078178,358.63169973,1193.9851182,221.48244173,51889466.49,2140.2486188,24245
Bergen,Little Ferry Boro,2710,23743.848013,1339.246869,1296.5180452,313.08052177,0,7.6829024462,29646169.54,1110.3277778,26700
Bergen,Lodi Borough,2740,21956.709692,1112.0418532,2676.5421522,520.52290095,72.139167485,97.231626954,83275099.29,3150.1611111,26435
Bergen,Lyndhurst Twp,2860,22508.035353,687.45269472,1668.3031803,654.16098202,384.41313319,104.67431597,63689361.84,2448.9277778,26007
Bergen,Mahwah Twp,2900,30048.84547,487.19959272,960.41528176,458.22492128,529.95427788,338.37203213,91277893.71,2780.9116022,32823
Bergen,Maywood Boro,3060,20355.496951,133.3862669,819.81187661,307.88716262,644.91594925,432.91460133,27518362.41,1212.5611111,22694
Bergen,Midland Park Boro,3170,31155.634805,466.58723075,1053.4533843,614.65578766,1064.5268439,580.04635793,30819553.58,882.19945355,34935
Bergen,Montvale Boro,3330,22628.510472,38.264775196,533.45518608,7.9178569988,616.10251165,332.40531993,23162496.28,958.84530387,24157
Bergen,Moonachie Boro,3350,21715.310028,1992.5553433,2495.4651885,670.51481876,0,25.53025278,12751947.9,474.06111111,26899
Bergen,New Milford Boro,3550,23273.016998,435.67488225,838.17872,488.15459087,0,245.52200746,51807104.13,2049.2872928,25281
Bergen,North Arlington Boro,3600,18508.87654,1650.147212,1297.5730313,0,172.76524128,53.974094435,42445009.99,1957.4944444,21683
Bergen,Northern Highlands Reg,3700,26677.578047,1571.7778541,1299.2805027,769.47323456,1166.1151958,241.57306691,42386892.96,1336.038674,31726
Bergen,Northern Valley Regional,3710,30719.923441,1071.5415299,1235.4828471,437.66770497,1129.4776185,316.86752913,82312032.91,2357.7704918,34911
Bergen,Northvale Boro,3730,24053.028834,83.826054789,471.05240952,15.727564487,589.03719256,373.44018806,14138800.81,552.59668508,25586
