CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,County
3,1070,15980032,9266698,8698239,354628,213831,2754121,2233520,1727535,1442185,1999442,965328,0,162637,11189,Demarest Boro,Bergen,D. K-8 / 751 +,23,I,,1,774.2,9.7,76681,50.9,74956,127.2,169483,15.7,Bergen
3,1130,41635500,25755561,24407390,1186548,161623,4526044,4082881,5400710,4781564,4876093,3083342,0,956859,0,Dumont Boro,Bergen,F. K-12 / 1801 - 3500,32,FG,,1,2528.4,12,84732,79.2,79522,140.8,150031,13.5,Bergen
3,1230,17862850,11496781,10608489,230039,658253,2376666,2027245,2058944,1580142,1823692,883947,0,62535,33681,East Rutherford Boro,Bergen,D. K-8 / 751 +,23,CD,,1,763.8,9.5,88112,58.9,76786,127.7,147000,15.7,Bergen
3,1270,13968297,7779978,6994119,491895,293964,2656786,1515292,1593019,1387335,1821387,889965,0,39943,0,Edgewater Boro,Bergen,A. K-6,1,DE,,1,683.2,9.8,66701,97.1,64824,113.3,143377,12.8,Bergen
3,1345,39524952,20049940,19496828,234216,318896,7183989,5534560,5760710,4861426,5508987,2376232,150000,813798,138582,Elmwood Park,Bergen,F. K-12 / 1801 - 3500,32,CD,,1,2569.6,12.8,58284,64.3,61238,142.9,113808,13.4,Bergen
3,1360,21307144,11795824,11311182,349899,134743,2833425,2290924,2686043,2484626,2879269,1561048,0,1038407,56604,Emerson Boro,Bergen,E. K-12 / 0 - 1800,31,GH,,1,1097.8,11.6,75900,64.5,81400,98.5,154898,10,Bergen
3,1370,57671515,35071327,30523144,1087194,3460989,8525008,7231938,6325876,4933532,6398154,1182841,0,1331631,518546,Englewood City,Bergen,F. K-12 / 1801 - 3500,32,DE,,1,2863.5,10.8,82251,63,95108,142.7,166412,15.4,Bergen
3,1380,11941953,6640409,6279517,154121,206771,2760335,2182018,1107938,912459,1381673,832563,0,30849,76040,Englewood Cliffs Boro,Bergen,C. K-8 / 401 - 750,22,I,,1,418.6,8.7,84476,46.6,84476,83.8,149972,11.4,Bergen
3,1450,101772260,60110362,56447846,986457,2676059,16823817,13380003,10807341,8900550,11710383,3569681,0,1749501,313163,Fair Lawn Public Schools,Bergen,G. K-12 / 3501 +,33,GH,,1,5517.3,11.6,85806,68.7,90779,183.2,166141,18.5,Bergen
3,1470,20616133,11459520,10479452,718647,261421,3457644,2755611,3046625,2637439,2540453,1111558,0,55393,0,Fairview Boro,Bergen,D. K-8 / 751 +,23,A,,1,1619,13.7,65200,81.6,65200,141,132047,12,Bergen
3,1550,71042905,41763789,38761685,1998743,1003361,13358002,10416161,7096623,5718117,7209002,2585418,0,1396631,47918,Fort Lee Boro,Bergen,G. K-12 / 3501 +,33,FG,,1,3790,12.2,83775,69,91975,202,142162,19.5,Bergen
3,1580,33907207,21304047,20476960,716146,110941,6171462,5922882,3147988,2846708,3160961,367804,30211,92539,246075,Franklin Lakes Boro,Bergen,D. K-8 / 751 +,23,I,,1,1194.3,8.3,90227,42.1,81666,109.2,166091,15.7,Bergen
3,1700,95289424,59710541,58448780,414937,846824,14393714,11468587,10323104,9042282,9488526,5811117,0,1081124,170112,Garfield City,Bergen,G. K-12 / 3501 +,33,B,1,1,4778.6,11.2,74900,66,85250,129.4,167962,13.5,Bergen
3,1760,49143886,26549232,24027742,568715,1952775,8339532,5671041,6113828,5270243,6698753,1441117,47662,1380080,206244,Glen Rock Boro,Bergen,F. K-12 / 1801 - 3500,32,J,,1,2580.1,11.6,82174,53.7,83479,128.8,151629,13.5,Bergen
3,1860,114416442,68627229,61248547,2731547,4647135,20641164,14839489,10685390,9380690,12671293,5488792,0,1747626,822198,Hackensack City,Bergen,G. K-12 / 3501 +,33,CD,,1,5234.3,11.8,104596,58.8,108295,142.9,186317,14.6,Bergen
3,2050,12874344,7785476,7528369,133436,123671,2173881,1575204,1390577,1131282,1388760,499716,0,127947,4995,Harrington Park Boro,Bergen,C. K-8 / 401 - 750,22,I,,1,625.8,11.3,88630,64,77974,125.4,158574,13.1,Bergen
3,2080,32557463,18635381,17567828,428394,639159,5391271,4407024,3020427,2594822,4372332,1943407,0,1122151,69521,Hasbrouck Heights Boro,Bergen,E. K-12 / 0 - 1800,31,FG,,1,1657.9,11.9,93945,66.1,81738,142.4,149381,14.1,Bergen
3,2090,9898294,6053066,5785171,161024,106871,1517492,1169395,1066386,803047,1187391,675523,0,73959,0,Haworth Boro,Bergen,C. K-8 / 401 - 750,22,I,,1,454.2,9.5,69767,69.8,66148,113.5,115000,13.6,Bergen
3,2180,24013868,14447130,14194915,219155,33060,4586540,3087901,2216502,1849514,2646389,550220,0,98280,356872,Hillsdale Boro,Bergen,D. K-8 / 751 +,23,GH,,1,1126.4,8.9,80725,61.6,96078,140.3,162294,18.1,Bergen
3,2200,11220167,6122088,5919157,80932,121999,2408782,2018257,1408383,1235689,1249869,741887,0,31046,23139,Ho Ho Kus Boro,Bergen,C. K-8 / 401 - 750,22,J,,1,558.1,10.9,82668,64.5,91964,92.5,143639,9.9,Bergen
