CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,County,enrol1
3,2620,34570242,19877390,18817176,941568,118646,5083228,4562514,4791050,3641507,3691077,2408126,0,876184,395413,Leonia Boro,Bergen,F. K-12 / 1801 - 3500,32,GH,,1,2109.1,Bergen,
3,2710,14805916,8914353,8470516,238709,205128,2210804,1397900,1797941,1549775,1829434,956465,0,44628,237346,Little Ferry Boro,Bergen,D. K-8 / 751 +,23,CD,,1,793.1,Bergen,
3,2740,44661961,25234888,23502316,661912,1070660,9647953,7107540,4522576,3706360,4170561,2415288,0,1085982,581172,Lodi Borough,Bergen,F. K-12 / 1801 - 3500,32,B,,1,3011.4,Bergen,
3,2860,42165729,23668825,22294673,1041918,332234,6222336,5171887,5234262,4571777,5293261,2934680,345000,1170534,45303,Lyndhurst Twp,Bergen,F. K-12 / 1801 - 3500,32,DE,,1,2572.2,Bergen,
3,2900,61275859,31763101,29525074,738528,1499499,13796264,10580296,6346104,4891222,7466990,861084,0,1791656,171032,Mahwah Twp,Bergen,F. K-12 / 1801 - 3500,32,I,,1,2686,Bergen,
3,3060,15266907,9688034,9207508,408768,71758,2236445,1585765,1498483,1181246,1623513,775767,0,88242,253302,Maywood Boro,Bergen,D. K-8 / 751 +,23,FG,,1,952.9,Bergen,
3,3170,20971627,11987470,11517533,269117,200820,3310792,2748035,2659776,2451226,2150988,1240792,0,729695,112009,Midland Park Boro,Bergen,E. K-12 / 0 - 1800,31,GH,,1,858.1,Bergen,
3,3330,16791815,10710976,10302476,327451,81049,2479795,1885673,1997225,1789313,1496614,316933,0,104842,0,Montvale Boro,Bergen,D. K-8 / 751 +,23,I,,1,953.1,Bergen,
3,3350,6305345,3633202,3470981,88301,73920,1462710,519581,582619,452496,590128,288004,0,30791,106852,Moonachie Boro,Bergen,B. K-8 / 0 - 400,21,B,,1,376.2,Bergen,
3,3550,38463898,21638539,20625674,526600,486265,5699534,4519067,5564133,4721166,4325141,2220872,0,1104570,573658,New Milford Boro,Bergen,F. K-12 / 1801 - 3500,32,FG,,1,2021.6,Bergen,
3,3600,28940601,16787364,15497131,914409,375824,3998331,2921740,3411196,2979540,4026342,1892005,0,650512,186436,North Arlington Boro,Bergen,F. K-12 / 1801 - 3500,32,DE,,1,1995.6,Bergen,
3,3700,25767549,14775277,14000939,548714,225624,4085369,3859582,2155284,1809371,3113047,1441815,9402,1549200,1445575,Northern Highlands Regional High School,Bergen,H. 7-12 / 9-12,45,J,,1,1286.4,Bergen,
3,3710,53432547,31271118,28318297,1677494,1275327,9294828,7983454,4921691,4093950,4956942,2859954,0,2987255,166260,Northern Valley Regional,Bergen,H. 7-12 / 9-12,45,I,,1,2023.5,Bergen,
3,3730,9792176,5679108,5508061,157250,13797,1897302,1512504,1229894,882230,873348,305338,3200,101828,26266,Northvale Boro,Bergen,C. K-8 / 401 - 750,22,FG,,1,513.9,Bergen,
3,3740,10243284,5883321,5372119,380994,130208,1896378,1370109,1333355,1124142,1060365,581872,9861,60004,13476,Norwood Boro,Bergen,C. K-8 / 401 - 750,22,I,,1,611.1,Bergen,
3,3760,28817383,16839503,16307847,454041,77615,5435830,3936696,3211581,2859388,3089879,1559799,0,172903,302849,Oakland Boro,Bergen,D. K-8 / 751 +,23,I,,1,1302,Bergen,
3,3850,12838639,6619210,6213030,274512,131668,1644327,1373531,1159393,989535,996845,358967,0,97357,47648,Old Tappan Boro,Bergen,C. K-8 / 401 - 750,22,I,,1,737.9,Bergen,
3,3870,11979189,7259018,6775961,287925,195132,2098826,1588786,1316909,1136326,1272738,673760,0,31698,198665,Oradell Boro,Bergen,A. K-6,1,I,,1,796.1,Bergen,
3,3910,26152878,16114668,15632987,253110,228571,3574808,2333884,3029687,2427982,2952084,1385303,0,457209,33695,Palisades Park,Bergen,E. K-12 / 0 - 1800,31,CD,,1,1790.4,Bergen,
3,3930,78857387,43884338,41277798,2211044,395496,13805809,10512267,8150847,7344690,11340984,6591721,0,1434903,2203485,Paramus Boro,Bergen,G. K-12 / 3501 +,33,GH,,1,3613.3,Bergen,
3,3940,28747165,15310901,14583741,548220,178940,6968154,6082394,2766860,2460301,2654272,1443714,0,1042398,45690,Park Ridge Boro,Bergen,E. K-12 / 0 - 1800,31,I,,1,1174.7,Bergen,
3,3960,47931214,26360070,24482098,470118,1407854,7742361,6819180,4281193,3692883,6853312,2952979,0,2672395,369218,Pascack Valley Regional,Bergen,H. 7-12 / 9-12,45,I,,1,1738.3,Bergen,
3,4300,48982476,25333448,23133348,485787,1714313,8414650,7318995,5277981,4005234,6483130,2301998,0,3411539,159932,Ramapo-Indian Hill Reg,Bergen,H. 7-12 / 9-12,45,I,,1,1973,Bergen,
