GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
H. 7-12 / 9-12,BERGEN,3700,NORTHERN HIGHLANDS REG,21421,0.114,0.728,0.007,0.151,0,0,11.5,102,160.2,0.118,3,-43217080
H. 7-12 / 9-12,BERGEN,3710,NORTHERN VALLEY REGIONAL,25005,0.134,0.843,0.012,0.005,0.005,0.001,9.5,49.2,114,0.196,3,-94565171
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,19035,0.118,0.828,0.011,0.044,0,0,11.6,85,210.8,0.120,3,-16461437
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,18759,0.115,0.865,0.017,0.002,0.001,0,12.5,84.9,158,0.109,3,-17712848
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,17539,0.113,0.873,0.013,0,0,0.001,12.9,55.7,199.8,0.128,3,-51403757
C. K-8 / 401 - 750,BERGEN,3850,OLD TAPPAN BORO,19095,0.12,0.862,0.01,0.001,0.008,0,11.5,94.1,125.5,0.073,3,-24456096
A. K-6,BERGEN,3870,ORADELL BORO,15365,0.123,0.844,0.017,0.016,0,0,12.4,120.6,193.7,0.127,3,-19909569
E. K-12 / 0 - 1800,BERGEN,3910,PALISADES PARK,15708,0.159,0.788,0.031,0,0.007,0.015,10.2,76.7,206.5,0.110,3,-39832320
G. K-12 / 3501 +,BERGEN,3930,PARAMUS BORO,20617,0.125,0.846,0.02,0.009,0,0,12.5,64.4,172.8,0.160,3,-142500871
E. K-12 / 0 - 1800,BERGEN,3940,PARK RIDGE BORO,23340,0.109,0.827,0.012,0.002,0,0.05,11.1,65.7,107.8,0.150,3,-47742701
H. 7-12 / 9-12,BERGEN,3960,PASCACK VALLEY REGIONAL,24447,0.112,0.868,0.01,0.01,0,0,12.4,72.3,99.5,0.167,3,-83840042
H. 7-12 / 9-12,BERGEN,4300,RAMAPO-INDIAN HILL REG,24050,0.112,0.876,0.01,0.002,0,0,10.7,94.6,93.1,0.142,3,-90536099
F. K-12 / 1801 - 3500,BERGEN,4310,RAMSEY BORO,19601,0.106,0.798,0.013,0.029,0.037,0.017,11.4,64,166.7,0.118,3,-97745303
E. K-12 / 0 - 1800,BERGEN,4370,RIDGEFIELD BORO,21660,0.162,0.521,0.019,0.266,0.023,0.009,11.1,58.1,112.2,0.240,3,-47106520
F. K-12 / 1801 - 3500,BERGEN,4380,RIDGEFIELD PARK TWP,16430,0.234,0.621,0.03,0.115,0,0,13.1,80.5,136.1,0.113,3,-49583963
G. K-12 / 3501 +,BERGEN,4390,RIDGEWOOD VILLAGE,18260,0.121,0.858,0.012,0.008,0,0.001,13.1,87.2,211.9,0.134,3,-169298702
H. 7-12 / 9-12,BERGEN,4405,RIVER DELL REGIONAL,19782,0.117,0.854,0.014,0.015,0,0,12.6,87.6,138.7,0.144,3,-52836696
A. K-6,BERGEN,4410,RIVER EDGE BORO,15874,0.152,0.787,0.019,0.042,0,0,13.8,68.4,145.3,0.113,3,-27300421
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,20945,0.116,0.867,0.016,0.001,0,0,12.8,87.2,153.5,0.126,3,-38929844
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,18829,0.117,0.867,0.017,0,0,0,10,74.1,150.7,0.114,3,-19341143
F. K-12 / 1801 - 3500,BERGEN,4600,RUTHERFORD BORO,17896,0.158,0.829,0.013,0,0,0,12.3,84.7,156.1,0.090,3,-72018297
E. K-12 / 0 - 1800,BERGEN,4610,SADDLE BROOK TWP,20175,0.119,0.861,0.017,0.003,0,0,11.2,49.5,162.4,0.188,3,-54265802
A. K-6,BERGEN,4620,SADDLE RIVER BORO,21425,0.094,0.879,0.015,0.012,0,0,9.1,100.5,67,0.119,3,-14847181
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,24661,0.093,0.89,0.015,0.002,0,0,11.7,230,101.2,0.091,3,-13096313
G. K-12 / 3501 +,BERGEN,5150,TEANECK TWP,25182,0.139,0.81,0.017,0.001,0,0.033,9.8,63,145.5,0.200,3,-161102654
G. K-12 / 3501 +,BERGEN,5160,TENAFLY BORO,18941,0.117,0.856,0.012,0.014,0.001,0,12.3,81.5,141.3,0.129,3,-112707479
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,18547,0.114,0.865,0.012,0.009,0,0,12.4,97.6,136.3,0.127,3,-40118639
E. K-12 / 0 - 1800,BERGEN,5410,WALDWICK BORO,18996,0.125,0.86,0.014,0.001,0,0,11.2,70.4,151.4,0.142,3,-50570757
E. K-12 / 0 - 1800,BERGEN,5430,WALLINGTON BORO,16119,0.247,0.723,0.029,0,0,0.001,0,0,0,0.087,3,-26295120
F. K-12 / 1801 - 3500,BERGEN,5755,WESTWOOD REGIONAL,19906,0.121,0.862,0.016,0.001,0,0,11.6,62.6,122.3,0.124,3,-93584689
E. K-12 / 0 - 1800,BERGEN,5830,WOOD-RIDGE BORO,17292,0.105,0.793,0.014,0.051,0.024,0.013,12.7,113.3,161.8,0.105,3,-29824321
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,21524,0.101,0.795,0.01,0.007,0,0.087,10.5,69.7,95.9,0.124,3,-25924107
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,21043,0.119,0.866,0.013,0.002,0,0,11.6,60.7,164.9,0.101,3,-65368868
K. CHARTER,BERGEN,6013,BERGEN ARTS AND SCIENCES CS,13419,0.465,0.515,0.02,0,0,0,11.1,174.8,874,0.035,80,-8043989
