GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,18822,0.22,0.756,0.018,0.003,0.003,0,7.9,38.2,112,0.098,19,-12676212
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,20733,0.179,0.746,0.018,0.013,0.007,0.037,9.8,53.6,193,0.142,19,-47227868
B. K-8 / 0 - 400,HUNTERDON,1040,DELAWARE TWP,24778,0.211,0.764,0.021,0.004,0,0,9.7,75.7,93,0.156,19,-14886598
H. 7-12 / 9-12,HUNTERDON,1050,DELAWARE VALLEY REGIONAL,21325,0.274,0.671,0.01,0.003,0.042,0,12.9,76.1,114.1,0.144,19,-26268599
B. K-8 / 0 - 400,HUNTERDON,1160,EAST AMWELL TWP,21477,0.148,0.717,0.019,0.026,0.022,0.068,10.1,58.6,122.4,0.107,19,-13869109
E. K-12 / 0 - 1800,HUNTERDON,1376,SOUTH HUNTERDON,0,0,0,0,0,0,0,0,0,0,0,19,0
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,18295,0.178,0.773,0.017,0.002,0.03,0,10.9,79.7,147.2,0.131,19,-97224973
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,23031,0.135,0.831,0.017,0,0.016,0.001,10.4,132.3,100.3,0.107,19,-10140543
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,22284,0.338,0.607,0.032,0.024,0,0,8.7,51.9,116.7,0.121,19,-3533049
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,26567,0.376,0.576,0.026,0.022,0,0,6.6,79.3,111,0.162,19,-3673028
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,20892,0.29,0.679,0.017,0.014,0,0,8.9,49.3,90,0.153,19,-10240220
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,19202,0.243,0.726,0.014,0.004,0.009,0.004,9.8,70.3,150,0.163,19,-17002325
H. 7-12 / 9-12,HUNTERDON,2300,HUNTERDON CENTRAL REG,20773,0.151,0.721,0.009,0.001,0.094,0.024,12.6,74.9,151,0.154,19,-108627196
J. VOC,HUNTERDON,2308,HUNTERDON CO VOCATIONAL,19242,0.269,0.322,0.008,0.301,0.099,0.001,18.5,92.7,77.2,0.351,19,-4259777
B. K-8 / 0 - 400,HUNTERDON,2450,KINGWOOD TWP,20458,0.235,0.667,0.015,0.005,0.013,0.065,9.3,65.7,115,0.122,19,-11032644
A. K-6,HUNTERDON,2590,LEBANON BORO,23744,0.13,0.802,0.018,0.007,0.043,0,4.2,0,89,0.067,19,-4841582
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,18486,0.252,0.662,0.012,0.008,0.066,0,10.8,66,146.6,0.166,19,-22499685
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,27656,0.196,0.737,0.028,0.019,0.001,0.019,8.3,57.8,49.5,0.106,19,-3570184
H. 7-12 / 9-12,HUNTERDON,3660,N HUNT/VOORHEES REGIONAL,19315,0.155,0.74,0.009,0.001,0.096,0,12,68.2,114,0.153,19,-94484695
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,20465,0.126,0.783,0.013,0.004,0.043,0.031,10.4,63.5,154.2,0.127,19,-57198071
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,20723,0.14,0.784,0.009,0.002,0.02,0.045,10.2,71.5,114.3,0.093,19,-22993034
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,21222,0.136,0.804,0.013,0.003,0.009,0.035,12.1,73.5,127.8,0.133,19,-17687062
G. K-12 / 3501 +,MERCER,1245,EAST WINDSOR REGIONAL,18496,0.292,0.68,0.022,0.006,0,0,12.5,87,175.6,0.107,21,-118758243
G. K-12 / 3501 +,MERCER,1430,EWING TWP,20566,0.213,0.758,0.023,0.006,0,0,11,71,169.5,0.158,21,-98663145
G. K-12 / 3501 +,MERCER,1950,HAMILTON TWP,17103,0.457,0.51,0.033,0,0,0,12.1,71.5,221.2,0.141,21,-201707803
G. K-12 / 3501 +,MERCER,2280,HOPEWELL VALLEY REGIONAL,22449,0.115,0.858,0.012,0.004,0,0.011,10.9,65.8,156.9,0.115,21,-132578285
G. K-12 / 3501 +,MERCER,2580,LAWRENCE TWP,18509,0.143,0.813,0.023,0.002,0,0.019,12.4,60.7,160.1,0.127,21,-119020487
I. CSSD,MERCER,3103,MERCER CO SPECIAL SERVICE,64853,0.096,0.101,0.004,0.799,0,0,5.8,8.4,50.1,1.000,21,-37278697
J. VOC,MERCER,3105,MERCER COUNTY VOCATIONAL,23325,0.241,0.619,0.036,0.103,0,0.001,18.2,130,112.1,0.375,21,-10046283
G. K-12 / 3501 +,MERCER,4255,PRINCETON,24614,0.138,0.788,0.018,0.055,0,0.001,9.9,50.6,117.9,0.097,21,-136761189
G. K-12 / 3501 +,MERCER,5210,TRENTON CITY,23181,0.88,0.075,0.045,0,0,0,8.8,50.7,111.3,0.151,21,-62894303
F. K-12 / 1801 - 3500,MERCER,5510,ROBBINSVILLE TWP,16228,0.137,0.841,0.012,0.003,0,0.007,12.3,76.1,225.7,0.111,21,-65202102
G. K-12 / 3501 +,MERCER,5715,W WINDSOR-PLAINSBORO REG,17262,0.126,0.808,0.015,0.001,0,0.05,13.1,88.8,215.7,0.085,21,-290163396
K. CHARTER,MERCER,6017,FOUNDATION ACADEMY CS,16571,0.862,0.096,0.043,0,0,0,10.7,263,75.1,0.106,80,-982930
K. CHARTER,MERCER,6025,PAUL ROBESON HUMANITIES  CS,18314,0.099,0.832,0.069,0,0,0,10.9,120.3,0,0.122,80,-911090
K. CHARTER,MERCER,6810,INTERNATIONAL CS OF TRENTON,17002,0.846,0.082,0.072,0,0,0,8.7,90,45,0.011,80,-316731
K. CHARTER,MERCER,7500,PACE CS OF HAMILTON,15938,0.714,0.174,0.112,0,0,0,10.5,0,73.5,0.000,80,-582965
K. CHARTER,MERCER,7540,PRINCETON CS,17549,0.179,0.813,0.008,0,0,0,10.8,344,127.4,0.029,80,-9133647
K. CHARTER,MERCER,8140,VILLAGE CS,18160,0.848,0.091,0.061,0,0,0,11.2,119.7,59.8,0.090,80,-1153777
G. K-12 / 3501 +,MIDDLESEX,750,CARTERET BORO,17120,0.556,0.411,0.033,0,0,0,13.4,153.8,188.4,0.088,23,-48873416
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,21621,0.085,0.905,0.01,0,0,0,10.2,89.7,136.8,0.102,23,-30514421
E. K-12 / 0 - 1800,MIDDLESEX,1140,DUNELLEN BORO,15502,0.398,0.563,0.034,0.003,0.002,0,11.8,98.9,158.6,0.083,23,-18460057
G. K-12 / 3501 +,MIDDLESEX,1170,EAST BRUNSWICK TWP,18740,0.208,0.774,0.015,0.002,0,0.001,11.9,75.7,176.2,0.108,23,-225471987
G. K-12 / 3501 +,MIDDLESEX,1290,EDISON TWP,16173,0.155,0.818,0.022,0.005,0,0,12.9,102.3,248.5,0.093,23,-379573893
E. K-12 / 0 - 1800,MIDDLESEX,2150,HIGHLAND PARK BORO,20264,0.204,0.696,0.025,0.004,0.048,0.023,11.9,73.4,112.2,0.127,23,-43745437
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,15086,0.428,0.539,0.031,0,0.002,0,14,83.4,133.4,0.088,23,-13871372
F. K-12 / 1801 - 3500,MIDDLESEX,3120,METUCHEN BORO,18766,0.133,0.845,0.019,0.003,0,0,12.3,89.9,132.5,0.122,23,-61636169
F. K-12 / 1801 - 3500,MIDDLESEX,3140,MIDDLESEX BORO,16663,0.343,0.629,0.026,0.003,0,0,12.4,69,151.6,0.111,23,-42824054
J. VOC,MIDDLESEX,3150,MIDDLESEX CO VOCATIONAL,22666,0.352,0.596,0.035,0.014,0,0.003,14,70.6,101.5,0.239,23,-26854582
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,16612,0.127,0.856,0.016,0.002,0,0,12.4,85.1,134.5,0.109,23,-25464693
G. K-12 / 3501 +,MIDDLESEX,3290,MONROE TWP,18742,0.104,0.818,0.011,0.036,0,0.031,12.3,78.3,269.4,0.141,23,-168284120
G. K-12 / 3501 +,MIDDLESEX,3530,NEW BRUNSWICK CITY,21741,0.809,0.159,0.028,0,0,0.004,10.6,63,180.5,0.127,23,-68966878
G. K-12 / 3501 +,MIDDLESEX,3620,NORTH BRUNSWICK TWP,16678,0.202,0.775,0.022,0.001,0,0,13,96.5,159.6,0.104,23,-139953620
G. K-12 / 3501 +,MIDDLESEX,3845,OLD BRIDGE TWP,17258,0.385,0.592,0.023,0,0,0,12.6,91.3,234.2,0.140,23,-180463108
G. K-12 / 3501 +,MIDDLESEX,4090,PERTH AMBOY CITY,19950,0.852,0.105,0.035,0,0,0.008,12.8,89,193.6,0.084,23,-57974581
G. K-12 / 3501 +,MIDDLESEX,4130,PISCATAWAY TWP,15795,0.233,0.738,0.025,0.003,0,0.001,13.9,90.3,207.7,0.110,23,-163935525
G. K-12 / 3501 +,MIDDLESEX,4660,SAYREVILLE BORO,15237,0.325,0.645,0.027,0,0,0.003,12.9,94.9,239,0.149,23,-109077494
E. K-12 / 0 - 1800,MIDDLESEX,4830,SOUTH AMBOY CITY,16037,0.468,0.483,0.041,0,0,0.008,13.3,78.8,137.8,0.138,23,-16926113
G. K-12 / 3501 +,MIDDLESEX,4860,SOUTH BRUNSWICK TWP,16421,0.238,0.692,0.016,0.002,0.039,0.013,13.5,94.8,181.3,0.108,23,-197343012
G. K-12 / 3501 +,MIDDLESEX,4910,SOUTH PLAINFIELD BORO,17830,0.244,0.735,0.021,0,0,0,11.7,83.8,157.3,0.115,23,-83818065
F. K-12 / 1801 - 3500,MIDDLESEX,4920,SOUTH RIVER BORO,14524,0.493,0.462,0.043,0.002,0,0,13.4,97,177.3,0.145,23,-27379568
E. K-12 / 0 - 1800,MIDDLESEX,4970,SPOTSWOOD BORO,16243,0.3,0.519,0.021,0.159,0,0.001,9.5,74.3,135,0.106,23,-33236369
G. K-12 / 3501 +,MIDDLESEX,5850,WOODBRIDGE TWP,16161,0.208,0.764,0.022,0,0,0.006,11.9,102.8,215.9,0.104,23,-323238614
K. CHARTER,MIDDLESEX,6032,ACADEMY FOR URBAN LEADERSHIP CS,13237,0.846,0.133,0.021,0,0,0,158.1,1633.3,98,0.020,80,-734316
K. CHARTER,MIDDLESEX,6041,HATIKVAH INTERNATIONAL CS,12290,0.259,0.725,0.016,0,0,0,13,137.2,134.5,0.057,80,-2637295
K. CHARTER,MIDDLESEX,6635,GREATER BRUNSWICK CS,17345,0.592,0.255,0.074,0,0,0.079,9.9,189,94.5,0.116,80,-3089986
F. K-12 / 1801 - 3500,MONMOUTH,100,ASBURY PARK CITY,33109,0.838,0.081,0.039,0.002,0,0.04,6.7,30.6,81.9,0.189,25,-17490880
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,18328,0.149,0.771,0.019,0.051,0,0.01,10.5,177.8,150.2,0.128,25,-9158818
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,19763,0.109,0.772,0.01,0.025,0.082,0.002,10.5,54.4,55.7,0.051,25,-6862461
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,18079,0.178,0.633,0.045,0.144,0,0,10.5,77.2,139,0.140,25,-17162581
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,21326,0.219,0.73,0.051,0.001,0,0,9.8,104.1,97.2,0.136,25,-10257029
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,16568,0.104,0.882,0.013,0.002,0,0,11.4,84,285.5,0.110,25,-23577150
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,25743,0.14,0.825,0.034,0,0,0.001,8.4,52.3,110.7,0.159,25,-40159425
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,27769,0.517,0.436,0.008,0,0.04,0,17,92.9,78.5,0.013,25,-4580207
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,20586,0.291,0.671,0.037,0.001,0,0,10.3,60.3,139.6,0.189,25,-27695856
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,14793,0.117,0.859,0.014,0.01,0,0,12.7,90.1,149.4,0.125,25,-24240651
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,17935,0.388,0.577,0.028,0.008,0,0,7.6,92.5,74.5,0.181,25,-3076525
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,15282,0.501,0.407,0.085,0,0,0.007,13.6,109.3,142.1,0.150,25,-17820840
H. 7-12 / 9-12,MONMOUTH,1650,FREEHOLD REGIONAL,17078,0.352,0.633,0.015,0,0,0,14.8,117.6,167.2,0.140,25,-240924428
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,19400,0.144,0.837,0.017,0.002,0,0,11.2,66.1,168.9,0.133,25,-116454215
F. K-12 / 1801 - 3500,MONMOUTH,2105,HAZLET TWP,18633,0.326,0.654,0.018,0.002,0,0,11.8,98.4,141.4,0.156,25,-69765631
H. 7-12 / 9-12,MONMOUTH,2120,HENRY HUDSON REGIONAL,30806,0.173,0.8,0.02,0.004,0,0.003,7.8,50.7,75.6,0.200,25,-15181095
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,25646,0.219,0.622,0.033,0,0.097,0.029,8.2,62.1,98.9,0.201,25,-6078082
F. K-12 / 1801 - 3500,MONMOUTH,2230,HOLMDEL TWP,19995,0.138,0.841,0.013,0.006,0,0.002,11.7,70.7,171.4,0.134,25,-97907795
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,19386,0.347,0.569,0.018,0.004,0,0.062,10.8,69.7,209.2,0.156,25,-136200806
E. K-12 / 0 - 1800,MONMOUTH,2400,KEANSBURG BORO,30290,0.816,0.115,0.066,0.003,0,0,7.7,41.3,103.6,0.187,25,-12225711
E. K-12 / 0 - 1800,MONMOUTH,2430,KEYPORT BORO,19748,0.355,0.406,0.039,0.136,0.012,0.052,8.9,77.1,108,0.131,25,-21777970
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,16173,0.118,0.859,0.015,0.008,0,0,12.1,75.4,143.3,0.098,25,-21733515
G. K-12 / 3501 +,MONMOUTH,2770,LONG BRANCH CITY,20998,0.665,0.297,0.032,0.001,0,0.005,10.3,73.4,167.4,0.084,25,-69569048
D. K-8 / 751 +,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,17181,0.301,0.626,0.018,0.004,0.028,0.023,12.3,83.6,179.4,0.126,25,-108881647
E. K-12 / 0 - 1800,MONMOUTH,2930,MANASQUAN BORO,16221,0.115,0.491,0.013,0.333,0,0.048,12.5,83.8,139,0.139,25,-35661094
D. K-8 / 751 +,MONMOUTH,3030,MARLBORO TWP,17176,0.223,0.754,0.016,0.007,0,0,12.1,80.9,218.2,0.124,25,-132408472
G. K-12 / 3501 +,MONMOUTH,3040,MATAWAN-ABERDEEN REGIONAL,18806,0.263,0.716,0.019,0.002,0,0,11.4,86.6,181,0.110,25,-93284802
G. K-12 / 3501 +,MONMOUTH,3160,MIDDLETOWN TWP,17779,0.206,0.771,0.02,0.001,0,0.002,12.8,76,216.7,0.148,25,-260195262
D. K-8 / 751 +,MONMOUTH,3200,MILLSTONE TWP,19986,0.183,0.799,0.012,0.006,0,0,13.4,95.4,213.2,0.131,25,-55080661
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,18255,0.121,0.816,0.002,0,0,0.061,10.9,106.7,126.7,0.081,25,-8278388
J. VOC,MONMOUTH,3260,MONMOUTH CO VOCATIONAL,24716,0.255,0.469,0.015,0.239,0,0.022,10,79,103.8,0.173,25,-32788734
H. 7-12 / 9-12,MONMOUTH,3270,MONMOUTH REGIONAL,27557,0.202,0.784,0.014,0,0,0,10,64.7,89.9,0.181,25,-39646438
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,15932,0.275,0.6,0.03,0.003,0.092,0,11.5,98.3,157.2,0.154,25,-11226797
G. K-12 / 3501 +,MONMOUTH,3510,NEPTUNE TWP,22288,0.58,0.343,0.021,0.056,0,0,11.9,74.6,146.8,0.148,25,-79378739
G. K-12 / 3501 +,MONMOUTH,3810,OCEAN TWP,20721,0.19,0.787,0.021,0.001,0,0.001,10.4,66.1,150.6,0.143,25,-116890972
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,17553,0.12,0.796,0.018,0.023,0,0.043,10.5,73.7,194,0.129,25,-18584691
D. K-8 / 751 +,MONMOUTH,4360,RED BANK BORO,16035,0.367,0.566,0.059,0,0,0.008,11.3,93.5,152.3,0.109,25,-25291072
H. 7-12 / 9-12,MONMOUTH,4365,RED BANK REGIONAL,24102,0.137,0.71,0.02,0.134,0,0,11.4,62,98.1,0.127,25,-42419566
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,17416,0.404,0.567,0.017,0.012,0,0,9.8,44.8,32,0.053,25,-3084013
D. K-8 / 751 +,MONMOUTH,4570,RUMSON BORO,17386,0.123,0.848,0.018,0.011,0,0,11.8,84.9,139.4,0.106,25,-27265356
H. 7-12 / 9-12,MONMOUTH,4580,RUMSON-FAIR HAVEN REG,22261,0.118,0.863,0.008,0.01,0,0.001,11,71.3,103.8,0.131,25,-31296009
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,21448,0.095,0.874,0.011,0.02,0,0,8.2,173,173,0.052,25,-8331875
H. 7-12 / 9-12,MONMOUTH,4760,SHORE REGIONAL,27879,0.103,0.831,0.009,0.007,0,0.05,10.8,78.6,89.8,0.146,25,-29611042
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,17951,0.11,0.869,0.015,0.007,0,0,10.7,68.1,73.4,0.124,25,-13844529
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,24409,0.123,0.809,0.019,0.016,0,0.033,9,40.7,81.3,0.107,25,-12003593
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,17874,0.106,0.87,0.016,0.009,0,0,11,65.1,150,0.084,25,-14206923
D. K-8 / 751 +,MONMOUTH,5185,TINTON FALLS,18409,0.217,0.742,0.022,0.002,0.014,0.003,11.2,75,151.1,0.135,25,-39725456
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,17702,0.559,0.333,0.038,0,0,0.07,11.5,81.1,129.8,0.145,25,-13346814
F. K-12 / 1801 - 3500,MONMOUTH,5310,UPPER FREEHOLD REGIONAL,17949,0.233,0.572,0.01,0.184,0,0.001,0,0,0,0.162,25,-48524396
G. K-12 / 3501 +,MONMOUTH,5420,WALL TWP,19527,0.133,0.845,0.017,0.005,0,0,10.4,64.9,184.2,0.145,25,-118038556
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,20222,0.131,0.823,0.02,0.026,0,0,9.9,141.7,132.2,0.158,25,-18633838
K. CHARTER,MONMOUTH,6740,HOPE ACADEMY CS,18956,0.665,0.162,0.172,0,0,0.001,10.7,68,42.5,0.082,80,-1217998
K. CHARTER,MONMOUTH,7720,THE RED BANK CS,17903,0.526,0.432,0.042,0,0,0,6.6,68.8,89.5,0.079,80,-2934958
E. K-12 / 0 - 1800,MORRIS,450,BOONTON TOWN,21869,0.127,0.625,0.017,0.23,0.002,0,11.5,55.7,119.5,0.162,27,-37539309
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,18549,0.097,0.879,0.012,0.012,0,0,12.1,97.1,147.2,0.138,27,-23396470
E. K-12 / 0 - 1800,MORRIS,630,BUTLER BORO,20628,0.182,0.649,0.016,0.153,0,0,11.3,57.4,125.8,0.204,27,-32098183
G. K-12 / 3501 +,MORRIS,785,SCH DIST OF THE CHATHAMS,16685,0.12,0.862,0.013,0.003,0,0.002,13.5,81.2,170.5,0.129,27,-108621028
D. K-8 / 751 +,MORRIS,820,CHESTER TWP,20487,0.135,0.814,0.013,0.007,0,0.031,10.7,68,169.1,0.120,27,-39252853
D. K-8 / 751 +,MORRIS,1090,DENVILLE TWP,18075,0.12,0.859,0.017,0.004,0,0,11.8,65.2,214.5,0.160,27,-52081878
F. K-12 / 1801 - 3500,MORRIS,1110,DOVER TOWN,15293,0.586,0.279,0.051,0.042,0,0.042,13,114.4,144.5,0.094,27,-31107201
D. K-8 / 751 +,MORRIS,1190,EAST HANOVER TWP,20027,0.135,0.842,0.014,0.004,0,0.005,10.2,72.5,169.2,0.144,27,-34365185
D. K-8 / 751 +,MORRIS,1530,FLORHAM PARK BORO,19352,0.112,0.866,0.012,0.011,0,0,11.3,56.8,200,0.113,27,-30746976
H. 7-12 / 9-12,MORRIS,1990,HANOVER PARK REGIONAL,22107,0.128,0.861,0.009,0.002,0,0,11.8,81.9,120.3,0.132,27,-53044796
D. K-8 / 751 +,MORRIS,2000,HANOVER TWP,17658,0.129,0.857,0.014,0,0,0,12.1,63.8,164.3,0.098,27,-43819174
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,24927,0.092,0.886,0.01,0.012,0,0,9.2,50.8,157.5,0.133,27,-18034097
F. K-12 / 1801 - 3500,MORRIS,2380,JEFFERSON TWP,19159,0.346,0.637,0.014,0.001,0,0.002,11.8,62.3,137.5,0.150,27,-74464200
F. K-12 / 1801 - 3500,MORRIS,2460,KINNELON BORO,19307,0.13,0.855,0.011,0.004,0,0,12,58,149.1,0.121,27,-63621251
D. K-8 / 751 +,MORRIS,2650,LINCOLN PARK BORO,17453,0.134,0.844,0.02,0.002,0,0,12.8,95.7,188.8,0.121,27,-35694275
F. K-12 / 1801 - 3500,MORRIS,2870,MADISON BORO,17622,0.116,0.827,0.016,0.04,0,0.001,12.8,65.3,139.2,0.136,27,-68975083
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,19233,0.124,0.855,0.017,0.004,0,0,11,78.2,108.9,0.107,27,-18160194
C. K-8 / 401 - 750,MORRIS,3100,MENDHAM TWP,25016,0.12,0.869,0.01,0.002,0,0,10,63.6,147.6,0.106,27,-29292906
A. K-6,MORRIS,3240,MINE HILL TWP,16822,0.324,0.65,0.026,0,0,0,12.5,153.2,191.5,0.104,27,-12023394
G. K-12 / 3501 +,MORRIS,3340,MONTVILLE TWP,18871,0.126,0.86,0.013,0.002,0,0,10.6,50.8,165.6,0.134,27,-125739409
J. VOC,MORRIS,3365,MORRIS COUNTY VOCATIONAL,20463,0.148,0.358,0.045,0.449,0,0,14.3,87.6,107.1,0.135,27,-15907635
H. 7-12 / 9-12,MORRIS,3370,MORRIS HILLS REGIONAL,25761,0.201,0.787,0.011,0.001,0,0,11.1,68.1,124.6,0.160,27,-101912801
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,19304,0.118,0.868,0.011,0.004,0,0,11.3,127.2,159,0.122,27,-27831209
G. K-12 / 3501 +,MORRIS,3385,MORRIS SCHOOL DISTRICT,20037,0.147,0.788,0.024,0.041,0,0,11.8,65.2,179.4,0.119,27,-172288590
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,22423,0.117,0.868,0.016,0,0,0,10,45.1,111.3,0.145,27,-18265086
G. K-12 / 3501 +,MORRIS,3450,MOUNT OLIVE TWP,18864,0.266,0.717,0.015,0.002,0,0,13,68.5,210.1,0.154,27,-118510252
E. K-12 / 0 - 1800,MORRIS,3460,MOUNTAIN LAKES BORO,24062,0.122,0.527,0.008,0.343,0,0,10.3,33.2,110.5,0.197,27,-52844146
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,17484,0.361,0.596,0.04,0.003,0,0,10.6,86.6,63.8,0.162,27,-5757768
G. K-12 / 3501 +,MORRIS,3950,PARSIPPANY-TROY HILLS TWP,20320,0.116,0.866,0.013,0.002,0,0.003,11.3,59.2,212,0.141,27,-238178308
D. K-8 / 751 +,MORRIS,4000,LONG HILL TWP,21012,0.118,0.796,0.013,0.003,0.044,0.026,11.6,56.3,168.4,0.138,27,-28995982
F. K-12 / 1801 - 3500,MORRIS,4080,PEQUANNOCK TWP,17861,0.155,0.808,0.015,0.008,0,0.014,12,72.1,125.3,0.132,27,-64257501
G. K-12 / 3501 +,MORRIS,4330,RANDOLPH TWP,19062,0.225,0.761,0.013,0.001,0,0,12.1,75.1,151.2,0.146,27,-133485886
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,18123,0.103,0.847,0.014,0.006,0.029,0.001,11.6,69,110.3,0.111,27,-13265244
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,13770,0.141,0.796,0.035,0.013,0,0.015,16.6,208.7,313,0.115,27,-14549347
D. K-8 / 751 +,MORRIS,4490,ROCKAWAY TWP,20570,0.144,0.833,0.02,0.003,0,0,10.7,51.5,184.2,0.173,27,-83737115
G. K-12 / 3501 +,MORRIS,4560,ROXBURY TWP,20036,0.258,0.69,0.016,0.036,0,0,11.6,66.7,149.4,0.132,27,-102617843
D. K-8 / 751 +,MORRIS,5520,WASHINGTON TWP,19692,0.271,0.714,0.014,0,0,0.001,11.7,58.8,194,0.156,27,-63751632
H. 7-12 / 9-12,MORRIS,5660,WEST MORRIS REGIONAL,19261,0.178,0.81,0.011,0.002,0,0,13.3,85.8,166.4,0.154,27,-81282606
D. K-8 / 751 +,MORRIS,5770,WHARTON BORO,18496,0.363,0.583,0.037,0.016,0,0.001,11,113.8,154.6,0.154,27,-16015345
K. CHARTER,MORRIS,8050,UNITY CS,15240,0.208,0.782,0.011,0,0,0,9.8,161.7,46.2,0.120,80,-3973994
F. K-12 / 1801 - 3500,OCEAN,185,BARNEGAT TWP,18212,0.433,0.427,0.019,0.002,0,0.119,11.9,68.2,211.9,0.145,29,-55946237
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,21476,0.091,0.821,0.008,0.069,0,0.011,11,125.5,106.2,0.058,29,-6323541
A. K-6,OCEAN,230,BEACH HAVEN BORO,23315,0.128,0.843,0.029,0,0,0,7.5,25.9,75,0.107,29,-2949217
A. K-6,OCEAN,320,BERKELEY TWP,16660,0.149,0.805,0.024,0.012,0,0.01,12.4,79.9,191.8,0.160,29,-55525736
G. K-12 / 3501 +,OCEAN,530,BRICK TWP,17306,0.326,0.636,0.031,0.002,0,0.005,12.2,73,212.1,0.182,29,-204615312
H. 7-12 / 9-12,OCEAN,770,CENTRAL REGIONAL,20025,0.184,0.734,0.023,0.007,0,0.052,13.2,83.8,145.8,0.193,29,-56432371
A. K-6,OCEAN,1150,EAGLESWOOD TWP,19036,0.332,0.63,0.032,0.006,0,0,9.9,129.4,70.5,0.177,29,-3366504
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,20366,0.134,0.831,0.017,0.019,0,0,8.5,128.2,72.7,0.092,29,-3456469
G. K-12 / 3501 +,OCEAN,2360,JACKSON TWP,16614,0.43,0.55,0.019,0,0,0.001,13.3,76,220.8,0.134,29,-149481128
G. K-12 / 3501 +,OCEAN,2480,LACEY TWP,17229,0.37,0.594,0.022,0.001,0,0.013,12.3,99.3,159.6,0.186,29,-83800101
B. K-8 / 0 - 400,OCEAN,2500,LAKEHURST BORO,17333,0.764,0.143,0.08,0,0,0.013,13.2,106,125.5,0.172,29,-4187310
G. K-12 / 3501 +,OCEAN,2520,LAKEWOOD TWP,24919,0.362,0.502,0.136,0,0,0,12,66.7,202.5,0.140,29,-148716613
