CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,1450,72218012,42668079,41374951,959171,333957,11221958,10016737,8187362,6927115,8122061,3325178,30850,1407346,260858,4677,FAIR LAWN BORO,BERGEN,G. K-12 / 3501 +,3,GH,,1,BERGEN
3,1470,12626709,7321752,6850399,316415,154938,1691847,1363108,1970457,1635608,1551759,837250,4799,40176,0,1272,FAIRVIEW BORO,BERGEN,D. K-8 / 751 +,2,A,,1,BERGEN
3,1550,51276854,30625850,28991825,1300045,333980,8621219,6774698,5661846,4634652,5162946,1911620,0,1106638,43667,3749,FORT LEE BORO,BERGEN,G. K-12 / 3501 +,3,FG,,1,BERGEN
3,1580,25208186,15944894,15033690,808696,102508,3847753,3598809,2487137,2166537,2813427,242205,0,111384,131103,1283,FRANKLIN LAKES BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,1700,77101784,46299407,45280581,974612,44214,12015910,9345982,8164819,6789132,9434730,5272328,0,917621,173873,4907,GARFIELD CITY,BERGEN,G. K-12 / 3501 +,3,B,1,1,BERGEN
3,1760,37442433,19740956,17972509,1031933,736514,7088216,4221479,5053990,4345076,4610191,1414276,0,941540,136155,2394,GLEN ROCK BORO,BERGEN,F. K-12 / 1801 - 3500,3,J,,1,BERGEN
3,1860,81863172,53668709,51023598,1934893,710218,12467499,10988271,6691309,5657233,7626199,3965929,0,1405183,381068,5464,HACKENSACK CITY,BERGEN,G. K-12 / 3501 +,3,CD,,1,BERGEN
3,2050,9493560,6526937,6362343,95249,69345,1160929,901448,796613,618963,898644,343661,0,110437,20308,636,HARRINGTON PARK BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,2080,23013019,13649189,13212806,357151,79232,3843780,2985694,2425865,1856427,2343807,1251620,0,736301,93191,1884,HASBROUCK HEIGHTS BORO,BERGEN,F. K-12 / 1801 - 3500,3,FG,,1,BERGEN
3,2090,7068897,4223424,4073484,86310,63630,1166221,1017341,765936,487023,791056,350881,0,49011,172741,434,HAWORTH BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,2180,17933506,10511560,10116883,256119,138558,3393500,2598593,1920177,1604083,1997549,621691,0,87964,121907,1305,HILLSDALE BORO,BERGEN,D. K-8 / 751 +,2,GH,,1,BERGEN
3,2200,8584736,5129045,4949984,136084,42977,1406783,1170514,1122710,817077,867438,413687,0,58706,26931,657,HO HO KUS BORO,BERGEN,C. K-8 / 401 - 750,2,J,,1,BERGEN
3,2620,25990649,15292205,14358548,879258,54399,3596751,3325108,3341438,2770289,2900963,1071510,0,733791,131933,1687,LEONIA BORO,BERGEN,F. K-12 / 1801 - 3500,3,GH,,1,BERGEN
3,2710,10314424,6867099,6606140,194583,66376,1262030,991062,869018,600246,1153534,629674,0,43437,0,995,LITTLE FERRY BORO,BERGEN,D. K-8 / 751 +,2,CD,,1,BERGEN
3,2740,37741761,22017316,20706386,994234,316696,5615766,4228946,4762305,4129856,4511667,2031068,0,614707,98464,3310,LODI BOROUGH,BERGEN,F. K-12 / 1801 - 3500,3,B,,1,BERGEN
3,2860,31460413,17899583,17096006,463716,339861,4515712,4119130,4091072,3256918,3560568,1642062,272000,874207,5499,2312,LYNDHURST TWP,BERGEN,F. K-12 / 1801 - 3500,3,DE,,1,BERGEN
3,2900,49510314,27472104,26173611,808061,490432,8094091,6371522,6081364,4484959,6456513,752990,0,1312401,215122,3177,MAHWAH TWP,BERGEN,F. K-12 / 1801 - 3500,3,I,,1,BERGEN
3,3060,10632964,6986751,6631200,211274,144277,1497108,1007228,1037972,863144,1032965,534724,0,73268,0,973,MAYWOOD BORO,BERGEN,D. K-8 / 751 +,2,FG,,1,BERGEN
3,3170,16559919,9368051,8934548,335020,98483,2537764,2150259,2178376,1788209,1845345,873826,0,602721,170076,996,MIDLAND PARK BORO,BERGEN,E. K-12 / 0 - 1800,3,GH,,1,BERGEN
3,3330,13393263,8318304,7893540,335909,88855,2040746,1564812,1714111,1566081,1217163,715218,0,101446,7221,1047,MONTVALE BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,3350,6519457,2983592,2744598,216645,22349,1250864,445326,529173,375819,1673375,270603,32730,45680,13840,288,MOONACHIE BORO,BERGEN,B. K-8 / 0 - 400,2,B,,1,BERGEN
3,3550,27711098,14478063,13512097,742431,223535,4475578,3881813,3853250,3316750,3955693,2265687,0,876911,139848,2013,NEW MILFORD BORO,BERGEN,F. K-12 / 1801 - 3500,3,FG,,1,BERGEN
3,3600,20193950,11919804,11028383,635686,255735,2043230,1605658,2833186,2317445,2850064,1164652,0,484532,60112,1737,NORTH ARLINGTON BORO,BERGEN,E. K-12 / 0 - 1800,3,DE,,1,BERGEN
3,3700,21436530,12308028,11406233,792574,109221,3203055,2865498,1958667,1559327,2599754,1197086,1075,1332918,86538,1349,NORTHERN HIGHLANDS REG,BERGEN,H. 7-12 / 9-12,5,J,,1,BERGEN
3,3710,44272231,25122327,23416412,1110504,595411,6917325,5928212,5041218,3934630,4852635,3039904,0,2308775,64798,2360,NORTHERN VALLEY REGIONAL,BERGEN,H. 7-12 / 9-12,5,I,,1,BERGEN
3,3730,7330377,4456599,4215820,183342,57437,1142635,906554,942339,709202,701755,270092,0,80569,125085,525,NORTHVALE BORO,BERGEN,C. K-8 / 401 - 750,2,FG,,1,BERGEN
3,3740,8249174,5257547,4740237,496054,21256,1123089,901080,978422,711626,840039,526865,0,50078,0,583,NORWOOD BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,3760,22688209,13819400,13136964,648246,34190,3663950,3052290,2986346,2621292,2066835,1364667,0,108273,78218,1604,OAKLAND BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,3850,10344813,6886024,6607986,196889,81149,1287592,1038692,1180608,1009843,920414,288972,0,70176,0,750,OLD TAPPAN BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,3870,9495764,5667031,5330798,271692,64541,1597976,1266460,1266053,1011897,935116,530718,0,22767,2309,774,ORADELL BORO,BERGEN,A. K-6,1,I,,1,BERGEN
